config,run,norm,eps,acc
mnist_mlp_opb,1,none,0,0.9550000429153442
mnist_mlp_opb,1,linf,0.1,0.6690000295639038
mnist_mlp_opb,1,linf,0.2,0.28700000047683716
mnist_mlp_opb,1,linf,0.3,0.10200000554323196
mnist_mlp_opb,1,l2,0.5,0.921000063419342
mnist_mlp_opb,1,l2,1,0.8490000367164612
mnist_mlp_opb,1,l2,1.5,0.7660000324249268
mnist_mlp_opb,1,l2,2,0.687000036239624
mnist_mlp_opb,2,none,0,0.971000075340271
mnist_mlp_opb,2,linf,0.1,0.7800000309944153
mnist_mlp_opb,2,linf,0.2,0.31800001859664917
mnist_mlp_opb,2,linf,0.3,0.12300000339746475
mnist_mlp_opb,2,l2,0.5,0.9530000686645508
mnist_mlp_opb,2,l2,1,0.9270000457763672
mnist_mlp_opb,2,l2,1.5,0.8690000176429749
mnist_mlp_opb,2,l2,2,0.784000039100647
mnist_mlp_opb,3,none,0,0.9770000576972961
mnist_mlp_opb,3,linf,0.1,0.7970000505447388
mnist_mlp_opb,3,linf,0.2,0.31300002336502075
mnist_mlp_opb,3,linf,0.3,0.09600000083446503
mnist_mlp_opb,3,l2,0.5,0.9540000557899475
mnist_mlp_opb,3,l2,1,0.937000036239624
mnist_mlp_opb,3,l2,1.5,0.8760000467300415
mnist_mlp_opb,3,l2,2,0.7990000247955322
mnist_mlp_opb,4,none,0,0.9750000238418579
mnist_mlp_opb,4,linf,0.1,0.6920000314712524
mnist_mlp_opb,4,linf,0.2,0.1980000138282776
mnist_mlp_opb,4,linf,0.3,0.06700000166893005
mnist_mlp_opb,4,l2,0.5,0.9500000476837158
mnist_mlp_opb,4,l2,1,0.9230000376701355
mnist_mlp_opb,4,l2,1.5,0.8500000238418579
mnist_mlp_opb,4,l2,2,0.7240000367164612
mnist_mlp_opb,5,none,0,0.9750000238418579
mnist_mlp_opb,5,linf,0.1,0.8070000410079956
mnist_mlp_opb,5,linf,0.2,0.3540000021457672
mnist_mlp_opb,5,linf,0.3,0.11800000816583633
mnist_mlp_opb,5,l2,0.5,0.9580000638961792
mnist_mlp_opb,5,l2,1,0.9330000281333923
mnist_mlp_opb,5,l2,1.5,0.8870000243186951
mnist_mlp_opb,5,l2,2,0.8140000104904175
