dataset,variant,beta,anchor,metric_mean,metric_std,n_runs
california,Base,,,0.7617999999999999,0.023810501884672663,5
california,CEB,0.0001,,0.7893600000000001,0.00175869269629462,5
california,CEB,0.001,,0.7857,0.0039956226048014215,5
california,CEB,0.01,,0.74956,0.014207498020411598,5
california,CEB,0.1,,0.49135999999999996,0.05398099665623079,5
california,CEB,1.0,,0.03752,0.03505805185688446,5
california,CEB,10.0,,-0.00033999999999999997,0.00011401754250991381,5
california,CEB-tied,0.0001,,0.71316,0.06463109158911058,5
california,CEB-tied,0.001,,0.6927,0.09431230036426852,5
california,CEB-tied,0.01,,0.7813000000000001,0.005705698905480361,5
california,CEB-tied,0.1,,0.778,0.006541788746206962,5
california,CEB-tied,1.0,,0.7762800000000001,0.00381732890906717,5
california,CEB-tied,10.0,,0.77322,0.006085392345609302,5
california,EPB,0.0001,1.0,0.69754,0.08954441914491379,5
california,EPB,0.0001,6.0,0.78758,0.0035251950300657212,5
california,EPB,0.0001,12.0,0.7848599999999999,0.007009493562305359,5
california,EPB,0.001,1.0,0.71622,0.10346710588394749,5
california,EPB,0.001,6.0,0.78588,0.008567788512796074,5
california,EPB,0.001,12.0,0.77996,0.011625962325760374,5
california,EPB,0.01,1.0,0.77756,0.011279538997671836,5
california,EPB,0.01,6.0,0.78124,0.010675345427666485,5
california,EPB,0.01,12.0,0.78426,0.008653207497801,5
california,EPB,0.1,1.0,0.7757799999999999,0.007960967277912883,5
california,EPB,0.1,6.0,0.7818799999999999,0.009278038585821888,5
california,EPB,0.1,12.0,0.77796,0.005076219065406832,5
california,EPB,1.0,1.0,0.77088,0.005765587567629179,5
california,EPB,1.0,6.0,0.78068,0.007064488658070008,5
california,EPB,1.0,12.0,0.76456,0.003963331931594934,5
california,EPB,10.0,1.0,0.7725,0.00813941029804988,5
california,EPB,10.0,6.0,0.76924,0.0035352510519056474,5
california,EPB,10.0,12.0,0.7639,0.005252142420003495,5
california,EPB-FA,0.0001,1.0,0.7599400000000001,0.025794631224345888,5
california,EPB-FA,0.0001,6.0,0.78694,0.006937795038771347,5
california,EPB-FA,0.0001,12.0,0.78362,0.0035009998571836837,5
california,EPB-FA,0.001,1.0,0.7664,0.01703965962101358,5
california,EPB-FA,0.001,6.0,0.7821999999999999,0.008666891022737043,5
california,EPB-FA,0.001,12.0,0.78764,0.0022611943746613213,5
california,EPB-FA,0.01,1.0,0.77622,0.0072915704755560015,5
california,EPB-FA,0.01,6.0,0.77698,0.011288578298439529,5
california,EPB-FA,0.01,12.0,0.78594,0.0034406394754463976,5
california,EPB-FA,0.1,1.0,0.76744,0.0074965325317776065,5
california,EPB-FA,0.1,6.0,0.7862,0.003470590727815676,5
california,EPB-FA,0.1,12.0,0.78466,0.007021253449349356,5
california,EPB-FA,1.0,1.0,0.74278,0.008111843193750733,5
california,EPB-FA,1.0,6.0,0.7903,0.0028098042636454214,5
california,EPB-FA,1.0,12.0,0.78942,0.0005540758070878168,5
california,EPB-FA,10.0,1.0,0.75576,0.0052519520180596075,5
california,EPB-FA,10.0,6.0,0.7847999999999999,0.01010791768862409,5
california,EPB-FA,10.0,12.0,0.7896799999999999,0.00042071367935924846,5
california,EPB-FS,0.0001,1.0,0.69138,0.09692885019435646,5
california,EPB-FS,0.0001,6.0,0.78718,0.007105420466094861,5
california,EPB-FS,0.0001,12.0,0.78456,0.006719970238029318,5
california,EPB-FS,0.001,1.0,0.69294,0.09643043088154281,5
california,EPB-FS,0.001,6.0,0.78734,0.008194998474679565,5
california,EPB-FS,0.001,12.0,0.78522,0.007445602729128089,5
california,EPB-FS,0.01,1.0,0.7769999999999999,0.011093466545674552,5
california,EPB-FS,0.01,6.0,0.78454,0.01103870463414977,5
california,EPB-FS,0.01,12.0,0.78038,0.009101758071933098,5
california,EPB-FS,0.1,1.0,0.77988,0.0055876649863784884,5
california,EPB-FS,0.1,6.0,0.7831400000000001,0.009627980058143026,5
california,EPB-FS,0.1,12.0,0.77938,0.005483338399187111,5
california,EPB-FS,1.0,1.0,0.77878,0.0031538864912992568,5
california,EPB-FS,1.0,6.0,0.78296,0.003827270567911301,5
california,EPB-FS,1.0,12.0,0.76438,0.004203807797699585,5
california,EPB-FS,10.0,1.0,0.7649,0.007865430693865404,5
california,EPB-FS,10.0,6.0,0.77096,0.004358669521769232,5
california,EPB-FS,10.0,12.0,0.76298,0.004109379515206614,5
california,EPB-L,0.0001,1.0,0.7907200000000001,0.0029439769020832974,5
california,EPB-L,0.0001,6.0,0.79142,0.003431034829318989,5
california,EPB-L,0.0001,12.0,0.79074,0.0029082640870457203,5
california,EPB-L,0.001,1.0,0.78882,0.004421764353739333,5
california,EPB-L,0.001,6.0,0.78818,0.003425930530527434,5
california,EPB-L,0.001,12.0,0.78468,0.0038310572953168015,5
california,EPB-L,0.01,1.0,0.7628,0.008385105843100597,5
california,EPB-L,0.01,6.0,0.76374,0.006903839511460279,5
california,EPB-L,0.01,12.0,0.76276,0.009078711362302459,5
california,EPB-L,0.1,1.0,0.30500000000000005,0.04183748319390161,5
california,EPB-L,0.1,6.0,0.67736,0.011880782802492468,5
california,EPB-L,0.1,12.0,0.73652,0.003190141062711816,5
california,EPB-L,1.0,1.0,0.06870000000000001,0.002648584527629806,5
california,EPB-L,1.0,6.0,0.6541,0.016302147097851882,5
california,EPB-L,1.0,12.0,0.73236,0.006935632631562887,5
california,EPB-L,10.0,1.0,0.0486,0.0022737634001804134,5
california,EPB-L,10.0,6.0,0.65022,0.01782630079405144,5
california,EPB-L,10.0,12.0,0.7308600000000001,0.006058300091609846,5
california,EPB-RV,0.0001,1.0,0.75502,0.022286139190088563,5
california,EPB-RV,0.0001,6.0,0.7863800000000001,0.0014652644812456555,5
california,EPB-RV,0.0001,12.0,0.78354,0.002489578277540186,5
california,EPB-RV,0.001,1.0,0.78524,0.0025442091109026408,5
california,EPB-RV,0.001,6.0,0.78908,0.002478305872970499,5
california,EPB-RV,0.001,12.0,0.78578,0.002950762613291693,5
california,EPB-RV,0.01,1.0,0.77896,0.003463091104779111,5
california,EPB-RV,0.01,6.0,0.78748,0.0024519380090043176,5
california,EPB-RV,0.01,12.0,0.78652,0.0032306346125800015,5
california,EPB-RV,0.1,1.0,0.7806200000000001,0.007728971471030256,5
california,EPB-RV,0.1,6.0,0.7859,0.003653080891521559,5
california,EPB-RV,0.1,12.0,0.78492,0.0023134389985473743,5
california,EPB-RV,1.0,1.0,0.78252,0.005358824497965957,5
california,EPB-RV,1.0,6.0,0.78312,0.004822032766375597,5
california,EPB-RV,1.0,12.0,0.78336,0.0016935170504013438,5
california,EPB-RV,10.0,1.0,0.779,0.007625286879849173,5
california,EPB-RV,10.0,6.0,0.7825,0.00492442890089805,5
california,EPB-RV,10.0,12.0,0.78208,0.0023972901368003014,5
cora,GPB,0.0001,1.0,0.8737999999999999,0.00672495353143794,5
cora,GPB,0.0001,2.0,0.8800600000000001,0.00612070257405145,5
cora,GPB,0.0001,4.0,0.8572,0.007430679645900493,5
cora,GPB,0.0001,6.0,0.85274,0.022590883116868188,5
cora,GPB,0.0001,8.0,0.86754,0.008478973994534955,5
cora,GPB,0.0001,10.0,0.8520199999999999,0.022727780357967214,5
cora,GPB,0.0001,12.0,0.8465,0.027246559415823504,5
cora,GPB,0.0001,14.0,0.84724,0.03361075720658494,5
cora,GPB,0.0001,16.0,0.8413,0.02230605299016393,5
cora,GPB,0.001,1.0,0.8708600000000001,0.004875756351582775,5
cora,GPB,0.001,2.0,0.86974,0.009089169378991686,5
cora,GPB,0.001,4.0,0.8660399999999999,0.013060742704762231,5
cora,GPB,0.001,6.0,0.86862,0.010056440722243612,5
cora,GPB,0.001,8.0,0.8579399999999999,0.01601727192751622,5
cora,GPB,0.001,10.0,0.86714,0.005963891347098808,5
cora,GPB,0.001,12.0,0.84982,0.009459228298333868,5
cora,GPB,0.001,14.0,0.8424400000000001,0.026243723059047843,5
cora,GPB,0.001,16.0,0.8420799999999999,0.0281625993118533,5
cora,GPB,0.01,1.0,0.86494,0.003971523637094456,5
cora,GPB,0.01,2.0,0.8612400000000001,0.0058896519421778905,5
cora,GPB,0.01,4.0,0.87196,0.0089946094968042,5
cora,GPB,0.01,6.0,0.8630800000000001,0.017879373590816892,5
cora,GPB,0.01,8.0,0.85978,0.023801722626734377,5
cora,GPB,0.01,10.0,0.86678,0.012480464734936744,5
cora,GPB,0.01,12.0,0.85092,0.013378415451764105,5
cora,GPB,0.01,14.0,0.84354,0.023188962891858702,5
cora,GPB,0.01,16.0,0.85646,0.01616378668505619,5
cora,GPB,0.1,1.0,0.8782399999999999,0.007843022376609703,5
cora,GPB,0.1,2.0,0.8771000000000001,0.003616628264005011,5
