2026-09-14 22:32:34 | Device: cuda
2026-09-14 22:32:34 | Args: {'model': 'opb-fixed-axis', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 1.0, 'energy_classifier': False, 'tied_head': False, 'max_len': 250, 'random_labels': False, 'beta': 0.1, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_opb-fixed-axis/california_mlp_opb-fixed-axis.pt', 'log_path': '/root/autodl-tmp/IB/output/ablation/california_mlp_opb-fixed-axis_beta_0.1_anchor_1/train.log', 'no_save': True}
2026-09-14 22:32:34 | ===== Run 1/5 (seed 0) =====
2026-09-14 22:32:38 | Epoch   1/100 | Train Loss 0.9664 | Val Loss 0.1055 MAE 0.6847 R2 0.4213
2026-09-14 22:32:38 |   Val R2 improved to 0.4213, model saved
2026-09-14 22:32:39 | Epoch   2/100 | Train Loss 0.4263 | Val Loss 0.1201 MAE 0.5055 R2 0.5416
2026-09-14 22:32:39 |   Val R2 improved to 0.5416, model saved
2026-09-14 22:32:39 | Epoch   3/100 | Train Loss 0.2863 | Val Loss 0.1269 MAE 0.4860 R2 0.5110
2026-09-14 22:32:39 | Epoch   4/100 | Train Loss 0.2333 | Val Loss 0.1190 MAE 0.4729 R2 0.6615
2026-09-14 22:32:39 |   Val R2 improved to 0.6615, model saved
2026-09-14 22:32:40 | Epoch   5/100 | Train Loss 0.2096 | Val Loss 0.1202 MAE 0.4810 R2 0.6493
2026-09-14 22:32:40 | Epoch   6/100 | Train Loss 0.1965 | Val Loss 0.1148 MAE 0.4546 R2 0.6980
2026-09-14 22:32:40 |   Val R2 improved to 0.6980, model saved
2026-09-14 22:32:40 | Epoch   7/100 | Train Loss 0.1862 | Val Loss 0.1218 MAE 0.4397 R2 0.7077
2026-09-14 22:32:40 |   Val R2 improved to 0.7077, model saved
2026-09-14 22:32:41 | Epoch   8/100 | Train Loss 0.1834 | Val Loss 0.1206 MAE 0.4540 R2 0.7027
2026-09-14 22:32:41 | Epoch   9/100 | Train Loss 0.1797 | Val Loss 0.1204 MAE 0.4470 R2 0.6889
2026-09-14 22:32:41 | Epoch  10/100 | Train Loss 0.1780 | Val Loss 0.1192 MAE 0.4293 R2 0.7293
2026-09-14 22:32:41 |   Val R2 improved to 0.7293, model saved
2026-09-14 22:32:42 | Epoch  11/100 | Train Loss 0.1763 | Val Loss 0.1186 MAE 0.4339 R2 0.7279
