2026-09-14 22:32:34 | Device: cuda
2026-09-14 22:32:34 | Args: {'model': 'opb-fixed-axis', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 1.0, 'energy_classifier': False, 'tied_head': False, 'max_len': 250, 'random_labels': False, 'beta': 10.0, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_opb-fixed-axis/california_mlp_opb-fixed-axis.pt', 'log_path': '/root/autodl-tmp/IB/output/ablation/california_mlp_opb-fixed-axis_beta_10_anchor_1/train.log', 'no_save': True}
2026-09-14 22:32:34 | ===== Run 1/5 (seed 0) =====
2026-09-14 22:32:38 | Epoch   1/100 | Train Loss 4.1761 | Val Loss 0.8914 MAE 1.1329 R2 -0.6996
2026-09-14 22:32:38 |   Val R2 improved to -0.6996, model saved
2026-09-14 22:32:39 | Epoch   2/100 | Train Loss 1.6739 | Val Loss 0.4295 MAE 0.7043 R2 0.2678
2026-09-14 22:32:39 |   Val R2 improved to 0.2678, model saved
2026-09-14 22:32:39 | Epoch   3/100 | Train Loss 1.3309 | Val Loss 0.2561 MAE 0.5418 R2 0.5901
2026-09-14 22:32:39 |   Val R2 improved to 0.5901, model saved
2026-09-14 22:32:39 | Epoch   4/100 | Train Loss 1.1788 | Val Loss 0.2009 MAE 0.4921 R2 0.6482
2026-09-14 22:32:39 |   Val R2 improved to 0.6482, model saved
2026-09-14 22:32:40 | Epoch   5/100 | Train Loss 1.1198 | Val Loss 0.1881 MAE 0.4831 R2 0.6819
2026-09-14 22:32:40 |   Val R2 improved to 0.6819, model saved
2026-09-14 22:32:40 | Epoch   6/100 | Train Loss 1.0988 | Val Loss 0.1829 MAE 0.4584 R2 0.6799
2026-09-14 22:32:40 | Epoch   7/100 | Train Loss 1.0600 | Val Loss 0.1761 MAE 0.4496 R2 0.7115
2026-09-14 22:32:40 |   Val R2 improved to 0.7115, model saved
2026-09-14 22:32:41 | Epoch   8/100 | Train Loss 1.0726 | Val Loss 0.1793 MAE 0.4478 R2 0.7136
2026-09-14 22:32:41 |   Val R2 improved to 0.7136, model saved
2026-09-14 22:32:41 | Epoch   9/100 | Train Loss 1.0497 | Val Loss 0.1830 MAE 0.4480 R2 0.7058
2026-09-14 22:32:41 | Epoch  10/100 | Train Loss 1.0398 | Val Loss 0.1677 MAE 0.4323 R2 0.7229
2026-09-14 22:32:41 |   Val R2 improved to 0.7229, model saved
2026-09-14 22:32:42 | Epoch  11/100 | Train Loss 1.0360 | Val Loss 0.1674 MAE 0.4441 R2 0.7313
2026-09-14 22:32:42 |   Val R2 improved to 0.7313, model saved
2026-09-14 22:32:42 | Epoch  12/100 | Train Loss 1.0413 | Val Loss 0.1765 MAE 0.4355 R2 0.7103
2026-09-14 22:32:42 | Epoch  13/100 | Train Loss 1.0472 | Val Loss 0.1723 MAE 0.4350 R2 0.7139
2026-09-14 22:32:43 | Epoch  14/100 | Train Loss 1.0347 | Val Loss 0.1675 MAE 0.4251 R2 0.7335
2026-09-14 22:32:43 |   Val R2 improved to 0.7335, model saved
2026-09-14 22:32:43 | Epoch  15/100 | Train Loss 1.0521 | Val Loss 0.1660 MAE 0.4305 R2 0.7251
2026-09-14 22:32:43 | Epoch  16/100 | Train Loss 1.0407 | Val Loss 0.1648 MAE 0.4253 R2 0.7420
2026-09-14 22:32:43 |   Val R2 improved to 0.7420, model saved
2026-09-14 22:32:44 | Epoch  17/100 | Train Loss 1.0660 | Val Loss 0.1665 MAE 0.4149 R2 0.7466
2026-09-14 22:32:44 |   Val R2 improved to 0.7466, model saved
2026-09-14 22:32:44 | Epoch  18/100 | Train Loss 1.0487 | Val Loss 0.1649 MAE 0.4180 R2 0.7453
2026-09-14 22:32:44 | Epoch  19/100 | Train Loss 1.0322 | Val Loss 0.1634 MAE 0.4255 R2 0.7256
2026-09-14 22:32:45 | Epoch  20/100 | Train Loss 1.0329 | Val Loss 0.1644 MAE 0.4196 R2 0.7470
2026-09-14 22:32:45 |   Val R2 improved to 0.7470, model saved
2026-09-14 22:32:45 | Epoch  21/100 | Train Loss 1.0301 | Val Loss 0.1719 MAE 0.4265 R2 0.7299
2026-09-14 22:32:45 | Epoch  22/100 | Train Loss 1.0250 | Val Loss 0.1567 MAE 0.4144 R2 0.7475
2026-09-14 22:32:45 |   Val R2 improved to 0.7475, model saved
2026-09-14 22:32:46 | Epoch  23/100 | Train Loss 1.0174 | Val Loss 0.1640 MAE 0.4200 R2 0.7468
2026-09-14 22:32:46 | Epoch  24/100 | Train Loss 1.0166 | Val Loss 0.1582 MAE 0.4168 R2 0.7504
2026-09-14 22:32:46 |   Val R2 improved to 0.7504, model saved
2026-09-14 22:32:46 | Epoch  25/100 | Train Loss 1.0294 | Val Loss 0.1694 MAE 0.4180 R2 0.7383
2026-09-14 22:32:47 | Epoch  26/100 | Train Loss 1.0288 | Val Loss 0.1658 MAE 0.4175 R2 0.7385
2026-09-14 22:32:47 | Epoch  27/100 | Train Loss 1.0059 | Val Loss 0.1655 MAE 0.4143 R2 0.7438
2026-09-14 22:32:48 | Epoch  28/100 | Train Loss 1.0179 | Val Loss 0.1623 MAE 0.4135 R2 0.7446
2026-09-14 22:32:48 | Epoch  29/100 | Train Loss 1.0447 | Val Loss 0.1685 MAE 0.4147 R2 0.7453
2026-09-14 22:32:48 | Epoch  30/100 | Train Loss 1.0161 | Val Loss 0.1604 MAE 0.4085 R2 0.7505
2026-09-14 22:32:48 |   Val R2 improved to 0.7505, model saved
2026-09-14 22:32:49 | Epoch  31/100 | Train Loss 1.0125 | Val Loss 0.1619 MAE 0.4083 R2 0.7560
2026-09-14 22:32:49 |   Val R2 improved to 0.7560, model saved
2026-09-14 22:32:49 | Epoch  32/100 | Train Loss 1.0163 | Val Loss 0.1644 MAE 0.4095 R2 0.7550
2026-09-14 22:32:49 | Epoch  33/100 | Train Loss 1.0248 | Val Loss 0.1622 MAE 0.4176 R2 0.7522
2026-09-14 22:32:50 | Epoch  34/100 | Train Loss 1.0242 | Val Loss 0.1728 MAE 0.4192 R2 0.7393
2026-09-14 22:32:50 | Epoch  35/100 | Train Loss 1.0132 | Val Loss 0.1707 MAE 0.4149 R2 0.7370
2026-09-14 22:32:50 | Epoch  36/100 | Train Loss 0.9992 | Val Loss 0.1610 MAE 0.4129 R2 0.7431
2026-09-14 22:32:51 | Epoch  37/100 | Train Loss 1.0245 | Val Loss 0.1667 MAE 0.4081 R2 0.7580
2026-09-14 22:32:51 |   Val R2 improved to 0.7580, model saved
2026-09-14 22:32:51 | Epoch  38/100 | Train Loss 1.0163 | Val Loss 0.1600 MAE 0.4049 R2 0.7604
2026-09-14 22:32:51 |   Val R2 improved to 0.7604, model saved
2026-09-14 22:32:51 | Epoch  39/100 | Train Loss 1.0110 | Val Loss 0.1620 MAE 0.4058 R2 0.7554
2026-09-14 22:32:52 | Epoch  40/100 | Train Loss 1.0245 | Val Loss 0.1683 MAE 0.4114 R2 0.7464
2026-09-14 22:32:52 | Epoch  41/100 | Train Loss 1.0077 | Val Loss 0.1633 MAE 0.4077 R2 0.7564
2026-09-14 22:32:52 | Epoch  42/100 | Train Loss 1.0257 | Val Loss 0.1659 MAE 0.4067 R2 0.7584
2026-09-14 22:32:53 | Epoch  43/100 | Train Loss 1.0139 | Val Loss 0.1634 MAE 0.4142 R2 0.7519
2026-09-14 22:32:53 | Epoch  44/100 | Train Loss 1.0140 | Val Loss 0.1632 MAE 0.4096 R2 0.7607
2026-09-14 22:32:53 |   Val R2 improved to 0.7607, model saved
2026-09-14 22:32:53 | Epoch  45/100 | Train Loss 1.0032 | Val Loss 0.1590 MAE 0.4158 R2 0.7611
2026-09-14 22:32:53 |   Val R2 improved to 0.7611, model saved
2026-09-14 22:32:54 | Epoch  46/100 | Train Loss 1.0249 | Val Loss 0.1640 MAE 0.4113 R2 0.7650
2026-09-14 22:32:54 |   Val R2 improved to 0.7650, model saved
2026-09-14 22:32:54 | Epoch  47/100 | Train Loss 1.0054 | Val Loss 0.1606 MAE 0.4189 R2 0.7589
2026-09-14 22:32:54 | Epoch  48/100 | Train Loss 1.0124 | Val Loss 0.1619 MAE 0.4077 R2 0.7649
2026-09-14 22:32:55 | Epoch  49/100 | Train Loss 1.0132 | Val Loss 0.1625 MAE 0.4100 R2 0.7599
2026-09-14 22:32:55 | Epoch  50/100 | Train Loss 1.0088 | Val Loss 0.1638 MAE 0.4068 R2 0.7594
2026-09-14 22:32:56 | Epoch  51/100 | Train Loss 1.0085 | Val Loss 0.1620 MAE 0.4095 R2 0.7560
2026-09-14 22:32:56 | Epoch  52/100 | Train Loss 1.0011 | Val Loss 0.1595 MAE 0.4094 R2 0.7669
2026-09-14 22:32:56 |   Val R2 improved to 0.7669, model saved
2026-09-14 22:32:56 | Epoch  53/100 | Train Loss 1.0319 | Val Loss 0.1644 MAE 0.4137 R2 0.7578
2026-09-14 22:32:57 | Epoch  54/100 | Train Loss 1.0076 | Val Loss 0.1603 MAE 0.4066 R2 0.7647
2026-09-14 22:32:57 | Epoch  55/100 | Train Loss 0.9996 | Val Loss 0.1620 MAE 0.4078 R2 0.7648
2026-09-14 22:32:57 | Epoch  56/100 | Train Loss 1.0208 | Val Loss 0.1601 MAE 0.4085 R2 0.7581
2026-09-14 22:32:58 | Epoch  57/100 | Train Loss 1.0209 | Val Loss 0.1650 MAE 0.4074 R2 0.7607
2026-09-14 22:32:58 | Epoch  58/100 | Train Loss 1.0021 | Val Loss 0.1606 MAE 0.4040 R2 0.7654
2026-09-14 22:32:58 | Epoch  59/100 | Train Loss 0.9885 | Val Loss 0.1584 MAE 0.4089 R2 0.7667
2026-09-14 22:32:59 | Epoch  60/100 | Train Loss 1.0061 | Val Loss 0.1619 MAE 0.4081 R2 0.7677
2026-09-14 22:32:59 |   Val R2 improved to 0.7677, model saved
2026-09-14 22:32:59 | Epoch  61/100 | Train Loss 1.0192 | Val Loss 0.1604 MAE 0.4045 R2 0.7656
2026-09-14 22:32:59 | Epoch  62/100 | Train Loss 1.0319 | Val Loss 0.1606 MAE 0.4074 R2 0.7643
2026-09-14 22:33:00 | Epoch  63/100 | Train Loss 1.0303 | Val Loss 0.1653 MAE 0.4069 R2 0.7556
2026-09-14 22:33:00 | Epoch  64/100 | Train Loss 1.0180 | Val Loss 0.1729 MAE 0.4183 R2 0.7453
2026-09-14 22:33:00 | Epoch  65/100 | Train Loss 1.0089 | Val Loss 0.1635 MAE 0.4086 R2 0.7544
2026-09-14 22:33:01 | Epoch  66/100 | Train Loss 1.0310 | Val Loss 0.1641 MAE 0.4028 R2 0.7644
2026-09-14 22:33:01 | Epoch  67/100 | Train Loss 1.0052 | Val Loss 0.1608 MAE 0.4081 R2 0.7647
2026-09-14 22:33:01 | Epoch  68/100 | Train Loss 1.0159 | Val Loss 0.1570 MAE 0.4013 R2 0.7705
2026-09-14 22:33:01 |   Val R2 improved to 0.7705, model saved
2026-09-14 22:33:02 | Epoch  69/100 | Train Loss 1.0068 | Val Loss 0.1612 MAE 0.4043 R2 0.7654
2026-09-14 22:33:02 | Epoch  70/100 | Train Loss 1.0128 | Val Loss 0.1593 MAE 0.3980 R2 0.7711
2026-09-14 22:33:02 |   Val R2 improved to 0.7711, model saved
2026-09-14 22:33:02 | Epoch  71/100 | Train Loss 0.9964 | Val Loss 0.1580 MAE 0.4040 R2 0.7681
2026-09-14 22:33:03 | Epoch  72/100 | Train Loss 1.0318 | Val Loss 0.1576 MAE 0.4087 R2 0.7671
2026-09-14 22:33:03 | Epoch  73/100 | Train Loss 1.0125 | Val Loss 0.1632 MAE 0.4121 R2 0.7665
2026-09-14 22:33:04 | Epoch  74/100 | Train Loss 0.9989 | Val Loss 0.1569 MAE 0.3987 R2 0.7723
2026-09-14 22:33:04 |   Val R2 improved to 0.7723, model saved
