2026-09-14 22:32:34 | Device: cuda
2026-09-14 22:32:34 | Args: {'model': 'opb-fixed-axis', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 1.0, 'energy_classifier': False, 'tied_head': False, 'max_len': 250, 'random_labels': False, 'beta': 1.0, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_opb-fixed-axis/california_mlp_opb-fixed-axis.pt', 'log_path': '/root/autodl-tmp/IB/output/ablation/california_mlp_opb-fixed-axis_beta_1_anchor_1/train.log', 'no_save': True}
2026-09-14 22:32:34 | ===== Run 1/5 (seed 0) =====
2026-09-14 22:32:38 | Epoch   1/100 | Train Loss 1.3176 | Val Loss 0.0862 MAE 0.6124 R2 0.4988
2026-09-14 22:32:38 |   Val R2 improved to 0.4988, model saved
2026-09-14 22:32:39 | Epoch   2/100 | Train Loss 0.9099 | Val Loss 0.0842 MAE 0.6875 R2 0.5056
2026-09-14 22:32:39 |   Val R2 improved to 0.5056, model saved
2026-09-14 22:32:39 | Epoch   3/100 | Train Loss 0.7600 | Val Loss 0.1742 MAE 0.5836 R2 0.5932
2026-09-14 22:32:39 |   Val R2 improved to 0.5932, model saved
2026-09-14 22:32:39 | Epoch   4/100 | Train Loss 0.6373 | Val Loss 0.2435 MAE 0.5033 R2 0.6346
2026-09-14 22:32:39 |   Val R2 improved to 0.6346, model saved
2026-09-14 22:32:40 | Epoch   5/100 | Train Loss 0.6092 | Val Loss 0.2520 MAE 0.5225 R2 0.6639
2026-09-14 22:32:40 |   Val R2 improved to 0.6639, model saved
2026-09-14 22:32:40 | Epoch   6/100 | Train Loss 0.6052 | Val Loss 0.2180 MAE 0.4886 R2 0.6459
2026-09-14 22:32:40 | Epoch   7/100 | Train Loss 0.5880 | Val Loss 0.2429 MAE 0.4604 R2 0.7013
2026-09-14 22:32:40 |   Val R2 improved to 0.7013, model saved
2026-09-14 22:32:41 | Epoch   8/100 | Train Loss 0.5972 | Val Loss 0.2290 MAE 0.4526 R2 0.7004
2026-09-14 22:32:41 | Epoch   9/100 | Train Loss 0.5863 | Val Loss 0.2345 MAE 0.4575 R2 0.6839
2026-09-14 22:32:41 | Epoch  10/100 | Train Loss 0.5849 | Val Loss 0.2302 MAE 0.4446 R2 0.7125
2026-09-14 22:32:41 |   Val R2 improved to 0.7125, model saved
2026-09-14 22:32:42 | Epoch  11/100 | Train Loss 0.5854 | Val Loss 0.2284 MAE 0.4606 R2 0.7196
2026-09-14 22:32:42 |   Val R2 improved to 0.7196, model saved
2026-09-14 22:32:42 | Epoch  12/100 | Train Loss 0.5881 | Val Loss 0.2506 MAE 0.4373 R2 0.7118
2026-09-14 22:32:42 | Epoch  13/100 | Train Loss 0.5916 | Val Loss 0.2449 MAE 0.4518 R2 0.6992
2026-09-14 22:32:43 | Epoch  14/100 | Train Loss 0.5888 | Val Loss 0.2329 MAE 0.4406 R2 0.7169
2026-09-14 22:32:43 | Epoch  15/100 | Train Loss 0.5947 | Val Loss 0.2334 MAE 0.4487 R2 0.7142
2026-09-14 22:32:43 | Epoch  16/100 | Train Loss 0.5916 | Val Loss 0.2485 MAE 0.4727 R2 0.7146
2026-09-14 22:32:44 | Epoch  17/100 | Train Loss 0.6024 | Val Loss 0.2395 MAE 0.4300 R2 0.7330
2026-09-14 22:32:44 |   Val R2 improved to 0.7330, model saved
2026-09-14 22:32:44 | Epoch  18/100 | Train Loss 0.5946 | Val Loss 0.2344 MAE 0.4284 R2 0.7256
