2026-09-06 03:23:14 | Device: cuda
2026-09-06 03:23:14 | Args: {'model': 'opb-free-scale', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 12.0, 'energy_classifier': False, 'tied_head': True, 'max_len': 250, 'random_labels': False, 'beta': 0.0001, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_opb-free-scale/california_mlp_opb-free-scale.pt', 'log_path': '/root/autodl-tmp/IB/output/ablation/california_mlp_opb-free-scale_beta_0.0001_anchor_12_th/train.log', 'no_save': True}
2026-09-06 03:23:15 | ===== Run 1/5 (seed 0) =====
2026-09-06 03:23:15 | Epoch   1/100 | Train Loss 0.0817 | Val Loss 0.0447 MAE 0.6542 R2 0.2739
2026-09-06 03:23:15 |   Val R2 improved to 0.2739, model saved
2026-09-06 03:23:16 | Epoch   2/100 | Train Loss 0.0332 | Val Loss 0.0279 MAE 0.5738 R2 0.5360
2026-09-06 03:23:16 |   Val R2 improved to 0.5360, model saved
2026-09-06 03:23:16 | Epoch   3/100 | Train Loss 0.0265 | Val Loss 0.0231 MAE 0.5169 R2 0.6140
2026-09-06 03:23:16 |   Val R2 improved to 0.6140, model saved
2026-09-06 03:23:16 | Epoch   4/100 | Train Loss 0.0229 | Val Loss 0.0196 MAE 0.4757 R2 0.6733
2026-09-06 03:23:16 |   Val R2 improved to 0.6733, model saved
2026-09-06 03:23:16 | Epoch   5/100 | Train Loss 0.0212 | Val Loss 0.0183 MAE 0.4731 R2 0.6957
2026-09-06 03:23:16 |   Val R2 improved to 0.6957, model saved
2026-09-06 03:23:17 | Epoch   6/100 | Train Loss 0.0199 | Val Loss 0.0175 MAE 0.4485 R2 0.7100
2026-09-06 03:23:17 |   Val R2 improved to 0.7100, model saved
2026-09-06 03:23:17 | Epoch   7/100 | Train Loss 0.0192 | Val Loss 0.0168 MAE 0.4457 R2 0.7207
2026-09-06 03:23:17 |   Val R2 improved to 0.7207, model saved
2026-09-06 03:23:17 | Epoch   8/100 | Train Loss 0.0187 | Val Loss 0.0166 MAE 0.4457 R2 0.7245
2026-09-06 03:23:17 |   Val R2 improved to 0.7245, model saved
2026-09-06 03:23:18 | Epoch   9/100 | Train Loss 0.0182 | Val Loss 0.0162 MAE 0.4317 R2 0.7298
2026-09-06 03:23:18 |   Val R2 improved to 0.7298, model saved
2026-09-06 03:23:18 | Epoch  10/100 | Train Loss 0.0179 | Val Loss 0.0156 MAE 0.4255 R2 0.7397
2026-09-06 03:23:18 |   Val R2 improved to 0.7397, model saved
2026-09-06 03:23:18 | Epoch  11/100 | Train Loss 0.0176 | Val Loss 0.0156 MAE 0.4267 R2 0.7415
2026-09-06 03:23:18 |   Val R2 improved to 0.7415, model saved
2026-09-06 03:23:19 | Epoch  12/100 | Train Loss 0.0177 | Val Loss 0.0158 MAE 0.4163 R2 0.7366
2026-09-06 03:23:19 | Epoch  13/100 | Train Loss 0.0172 | Val Loss 0.0156 MAE 0.4189 R2 0.7408
2026-09-06 03:23:19 | Epoch  14/100 | Train Loss 0.0171 | Val Loss 0.0153 MAE 0.4152 R2 0.7458
2026-09-06 03:23:19 |   Val R2 improved to 0.7458, model saved
2026-09-06 03:23:19 | Epoch  15/100 | Train Loss 0.0170 | Val Loss 0.0152 MAE 0.4147 R2 0.7490
2026-09-06 03:23:19 |   Val R2 improved to 0.7490, model saved
2026-09-06 03:23:20 | Epoch  16/100 | Train Loss 0.0168 | Val Loss 0.0151 MAE 0.4170 R2 0.7496
2026-09-06 03:23:20 |   Val R2 improved to 0.7496, model saved
2026-09-06 03:23:20 | Epoch  17/100 | Train Loss 0.0167 | Val Loss 0.0147 MAE 0.4042 R2 0.7559
2026-09-06 03:23:20 |   Val R2 improved to 0.7559, model saved
2026-09-06 03:23:20 | Epoch  18/100 | Train Loss 0.0163 | Val Loss 0.0147 MAE 0.4090 R2 0.7564
2026-09-06 03:23:20 |   Val R2 improved to 0.7564, model saved
2026-09-06 03:23:21 | Epoch  19/100 | Train Loss 0.0160 | Val Loss 0.0147 MAE 0.4002 R2 0.7558
2026-09-06 03:23:21 | Epoch  20/100 | Train Loss 0.0160 | Val Loss 0.0146 MAE 0.4099 R2 0.7578
2026-09-06 03:23:21 |   Val R2 improved to 0.7578, model saved
2026-09-06 03:23:21 | Epoch  21/100 | Train Loss 0.0158 | Val Loss 0.0149 MAE 0.3980 R2 0.7568
2026-09-06 03:23:22 | Epoch  22/100 | Train Loss 0.0158 | Val Loss 0.0143 MAE 0.4000 R2 0.7627
2026-09-06 03:23:22 |   Val R2 improved to 0.7627, model saved
2026-09-06 03:23:22 | Epoch  23/100 | Train Loss 0.0157 | Val Loss 0.0143 MAE 0.3991 R2 0.7631
2026-09-06 03:23:22 |   Val R2 improved to 0.7631, model saved
2026-09-06 03:23:22 | Epoch  24/100 | Train Loss 0.0155 | Val Loss 0.0150 MAE 0.4018 R2 0.7495
2026-09-06 03:23:22 | Epoch  25/100 | Train Loss 0.0155 | Val Loss 0.0152 MAE 0.4006 R2 0.7474
2026-09-06 03:23:23 | Epoch  26/100 | Train Loss 0.0155 | Val Loss 0.0141 MAE 0.3917 R2 0.7655
2026-09-06 03:23:23 |   Val R2 improved to 0.7655, model saved
2026-09-06 03:23:23 | Epoch  27/100 | Train Loss 0.0155 | Val Loss 0.0142 MAE 0.3916 R2 0.7629
2026-09-06 03:23:23 | Epoch  28/100 | Train Loss 0.0153 | Val Loss 0.0140 MAE 0.3912 R2 0.7668
2026-09-06 03:23:23 |   Val R2 improved to 0.7668, model saved
2026-09-06 03:23:24 | Epoch  29/100 | Train Loss 0.0152 | Val Loss 0.0141 MAE 0.3963 R2 0.7648
2026-09-06 03:23:24 | Epoch  30/100 | Train Loss 0.0148 | Val Loss 0.0144 MAE 0.3879 R2 0.7604
2026-09-06 03:23:24 | Epoch  31/100 | Train Loss 0.0152 | Val Loss 0.0137 MAE 0.3931 R2 0.7711
2026-09-06 03:23:24 |   Val R2 improved to 0.7711, model saved
2026-09-06 03:23:25 | Epoch  32/100 | Train Loss 0.0148 | Val Loss 0.0137 MAE 0.3927 R2 0.7719
2026-09-06 03:23:25 |   Val R2 improved to 0.7719, model saved
2026-09-06 03:23:25 | Epoch  33/100 | Train Loss 0.0148 | Val Loss 0.0138 MAE 0.3928 R2 0.7699
2026-09-06 03:23:25 | Epoch  34/100 | Train Loss 0.0149 | Val Loss 0.0137 MAE 0.3929 R2 0.7721
2026-09-06 03:23:25 |   Val R2 improved to 0.7721, model saved
2026-09-06 03:23:26 | Epoch  35/100 | Train Loss 0.0148 | Val Loss 0.0141 MAE 0.3836 R2 0.7657
2026-09-06 03:23:26 | Epoch  36/100 | Train Loss 0.0151 | Val Loss 0.0147 MAE 0.3896 R2 0.7543
2026-09-06 03:23:26 | Epoch  37/100 | Train Loss 0.0146 | Val Loss 0.0141 MAE 0.4087 R2 0.7650
2026-09-06 03:23:26 | Epoch  38/100 | Train Loss 0.0147 | Val Loss 0.0139 MAE 0.3808 R2 0.7737
2026-09-06 03:23:26 |   Val R2 improved to 0.7737, model saved
2026-09-06 03:23:27 | Epoch  39/100 | Train Loss 0.0146 | Val Loss 0.0139 MAE 0.3825 R2 0.7678
2026-09-06 03:23:27 | Epoch  40/100 | Train Loss 0.0145 | Val Loss 0.0135 MAE 0.3776 R2 0.7747
2026-09-06 03:23:27 |   Val R2 improved to 0.7747, model saved
2026-09-06 03:23:27 | Epoch  41/100 | Train Loss 0.0144 | Val Loss 0.0139 MAE 0.3802 R2 0.7676
2026-09-06 03:23:28 | Epoch  42/100 | Train Loss 0.0144 | Val Loss 0.0133 MAE 0.3804 R2 0.7780
2026-09-06 03:23:28 |   Val R2 improved to 0.7780, model saved
2026-09-06 03:23:28 | Epoch  43/100 | Train Loss 0.0140 | Val Loss 0.0133 MAE 0.3787 R2 0.7777
2026-09-06 03:23:28 | Epoch  44/100 | Train Loss 0.0141 | Val Loss 0.0133 MAE 0.3790 R2 0.7775
2026-09-06 03:23:29 | Epoch  45/100 | Train Loss 0.0144 | Val Loss 0.0139 MAE 0.3920 R2 0.7681
2026-09-06 03:23:29 | Epoch  46/100 | Train Loss 0.0141 | Val Loss 0.0138 MAE 0.3823 R2 0.7700
2026-09-06 03:23:29 | Epoch  47/100 | Train Loss 0.0140 | Val Loss 0.0132 MAE 0.3767 R2 0.7795
2026-09-06 03:23:29 |   Val R2 improved to 0.7795, model saved
2026-09-06 03:23:30 | Epoch  48/100 | Train Loss 0.0138 | Val Loss 0.0130 MAE 0.3750 R2 0.7824
