2026-09-14 22:42:36 | Device: cuda
2026-09-14 22:42:36 | Args: {'model': 'opb-rand-var', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 6.0, 'energy_classifier': False, 'tied_head': False, 'max_len': 250, 'random_labels': False, 'beta': 0.0001, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_opb-rand-var/california_mlp_opb-rand-var.pt', 'log_path': '/root/autodl-tmp/IB/output/ablation/california_mlp_opb-rand-var_beta_0.0001_anchor_6/train.log', 'no_save': True}
2026-09-14 22:42:36 | ===== Run 1/5 (seed 0) =====
2026-09-14 22:42:39 | Epoch   1/100 | Train Loss 0.0934 | Val Loss 0.0427 MAE 0.6652 R2 0.3278
2026-09-14 22:42:39 |   Val R2 improved to 0.3278, model saved
2026-09-14 22:42:40 | Epoch   2/100 | Train Loss 0.0343 | Val Loss 0.0264 MAE 0.5650 R2 0.5570
2026-09-14 22:42:40 |   Val R2 improved to 0.5570, model saved
2026-09-14 22:42:40 | Epoch   3/100 | Train Loss 0.0260 | Val Loss 0.0219 MAE 0.5049 R2 0.6332
2026-09-14 22:42:40 |   Val R2 improved to 0.6332, model saved
2026-09-14 22:42:40 | Epoch   4/100 | Train Loss 0.0225 | Val Loss 0.0195 MAE 0.4712 R2 0.6738
2026-09-14 22:42:40 |   Val R2 improved to 0.6738, model saved
2026-09-14 22:42:41 | Epoch   5/100 | Train Loss 0.0203 | Val Loss 0.0179 MAE 0.4516 R2 0.7001
2026-09-14 22:42:41 |   Val R2 improved to 0.7001, model saved
2026-09-14 22:42:41 | Epoch   6/100 | Train Loss 0.0194 | Val Loss 0.0172 MAE 0.4421 R2 0.7128
2026-09-14 22:42:41 |   Val R2 improved to 0.7128, model saved
2026-09-14 22:42:41 | Epoch   7/100 | Train Loss 0.0191 | Val Loss 0.0169 MAE 0.4370 R2 0.7170
2026-09-14 22:42:41 |   Val R2 improved to 0.7170, model saved
2026-09-14 22:42:41 | Epoch   8/100 | Train Loss 0.0180 | Val Loss 0.0163 MAE 0.4425 R2 0.7268
2026-09-14 22:42:41 |   Val R2 improved to 0.7268, model saved
2026-09-14 22:42:42 | Epoch   9/100 | Train Loss 0.0182 | Val Loss 0.0162 MAE 0.4289 R2 0.7291
2026-09-14 22:42:42 |   Val R2 improved to 0.7291, model saved
2026-09-14 22:42:42 | Epoch  10/100 | Train Loss 0.0178 | Val Loss 0.0160 MAE 0.4325 R2 0.7326
2026-09-14 22:42:42 |   Val R2 improved to 0.7326, model saved
2026-09-14 22:42:43 | Epoch  11/100 | Train Loss 0.0176 | Val Loss 0.0159 MAE 0.4349 R2 0.7343
2026-09-14 22:42:43 |   Val R2 improved to 0.7343, model saved
2026-09-14 22:42:43 | Epoch  12/100 | Train Loss 0.0173 | Val Loss 0.0155 MAE 0.4233 R2 0.7415
2026-09-14 22:42:43 |   Val R2 improved to 0.7415, model saved
2026-09-14 22:42:43 | Epoch  13/100 | Train Loss 0.0170 | Val Loss 0.0154 MAE 0.4202 R2 0.7422
2026-09-14 22:42:43 |   Val R2 improved to 0.7422, model saved
2026-09-14 22:42:44 | Epoch  14/100 | Train Loss 0.0169 | Val Loss 0.0155 MAE 0.4172 R2 0.7413
2026-09-14 22:42:44 | Epoch  15/100 | Train Loss 0.0165 | Val Loss 0.0153 MAE 0.4135 R2 0.7448
2026-09-14 22:42:44 |   Val R2 improved to 0.7448, model saved
2026-09-14 22:42:44 | Epoch  16/100 | Train Loss 0.0164 | Val Loss 0.0151 MAE 0.4140 R2 0.7476
2026-09-14 22:42:44 |   Val R2 improved to 0.7476, model saved
2026-09-14 22:42:45 | Epoch  17/100 | Train Loss 0.0162 | Val Loss 0.0151 MAE 0.4165 R2 0.7474
2026-09-14 22:42:45 | Epoch  18/100 | Train Loss 0.0162 | Val Loss 0.0150 MAE 0.4094 R2 0.7488
2026-09-14 22:42:45 |   Val R2 improved to 0.7488, model saved
2026-09-14 22:42:45 | Epoch  19/100 | Train Loss 0.0160 | Val Loss 0.0154 MAE 0.4098 R2 0.7417
2026-09-14 22:42:46 | Epoch  20/100 | Train Loss 0.0158 | Val Loss 0.0149 MAE 0.4067 R2 0.7513
2026-09-14 22:42:46 |   Val R2 improved to 0.7513, model saved
2026-09-14 22:42:46 | Epoch  21/100 | Train Loss 0.0159 | Val Loss 0.0146 MAE 0.4079 R2 0.7554
2026-09-14 22:42:46 |   Val R2 improved to 0.7554, model saved
2026-09-14 22:42:46 | Epoch  22/100 | Train Loss 0.0156 | Val Loss 0.0145 MAE 0.4071 R2 0.7571
2026-09-14 22:42:46 |   Val R2 improved to 0.7571, model saved
2026-09-14 22:42:47 | Epoch  23/100 | Train Loss 0.0157 | Val Loss 0.0146 MAE 0.4144 R2 0.7560
2026-09-14 22:42:47 | Epoch  24/100 | Train Loss 0.0153 | Val Loss 0.0145 MAE 0.3966 R2 0.7584
2026-09-14 22:42:47 |   Val R2 improved to 0.7584, model saved
2026-09-14 22:42:47 | Epoch  25/100 | Train Loss 0.0154 | Val Loss 0.0144 MAE 0.4045 R2 0.7592
2026-09-14 22:42:47 |   Val R2 improved to 0.7592, model saved
2026-09-14 22:42:48 | Epoch  26/100 | Train Loss 0.0153 | Val Loss 0.0144 MAE 0.3957 R2 0.7588
2026-09-14 22:42:48 | Epoch  27/100 | Train Loss 0.0158 | Val Loss 0.0141 MAE 0.3934 R2 0.7644
2026-09-14 22:42:48 |   Val R2 improved to 0.7644, model saved
2026-09-14 22:42:48 | Epoch  28/100 | Train Loss 0.0150 | Val Loss 0.0140 MAE 0.3899 R2 0.7651
2026-09-14 22:42:48 |   Val R2 improved to 0.7651, model saved
2026-09-14 22:42:49 | Epoch  29/100 | Train Loss 0.0150 | Val Loss 0.0139 MAE 0.3878 R2 0.7672
2026-09-14 22:42:49 |   Val R2 improved to 0.7672, model saved
2026-09-14 22:42:49 | Epoch  30/100 | Train Loss 0.0149 | Val Loss 0.0138 MAE 0.3892 R2 0.7696
2026-09-14 22:42:49 |   Val R2 improved to 0.7696, model saved
2026-09-14 22:42:49 | Epoch  31/100 | Train Loss 0.0147 | Val Loss 0.0140 MAE 0.3865 R2 0.7654
2026-09-14 22:42:50 | Epoch  32/100 | Train Loss 0.0148 | Val Loss 0.0139 MAE 0.3942 R2 0.7685
2026-09-14 22:42:50 | Epoch  33/100 | Train Loss 0.0147 | Val Loss 0.0140 MAE 0.3873 R2 0.7659
2026-09-14 22:42:51 | Epoch  34/100 | Train Loss 0.0145 | Val Loss 0.0137 MAE 0.3853 R2 0.7718
2026-09-14 22:42:51 |   Val R2 improved to 0.7718, model saved
2026-09-14 22:42:51 | Epoch  35/100 | Train Loss 0.0146 | Val Loss 0.0141 MAE 0.3833 R2 0.7651
2026-09-14 22:42:51 | Epoch  36/100 | Train Loss 0.0145 | Val Loss 0.0137 MAE 0.3810 R2 0.7714
2026-09-14 22:42:52 | Epoch  37/100 | Train Loss 0.0144 | Val Loss 0.0136 MAE 0.3827 R2 0.7720
2026-09-14 22:42:52 |   Val R2 improved to 0.7720, model saved
2026-09-14 22:42:52 | Epoch  38/100 | Train Loss 0.0144 | Val Loss 0.0134 MAE 0.3862 R2 0.7756
2026-09-14 22:42:52 |   Val R2 improved to 0.7756, model saved
2026-09-14 22:42:52 | Epoch  39/100 | Train Loss 0.0144 | Val Loss 0.0144 MAE 0.3891 R2 0.7589
2026-09-14 22:42:53 | Epoch  40/100 | Train Loss 0.0146 | Val Loss 0.0137 MAE 0.3938 R2 0.7717
2026-09-14 22:42:53 | Epoch  41/100 | Train Loss 0.0141 | Val Loss 0.0134 MAE 0.3917 R2 0.7757
2026-09-14 22:42:53 |   Val R2 improved to 0.7757, model saved
2026-09-14 22:42:53 | Epoch  42/100 | Train Loss 0.0144 | Val Loss 0.0133 MAE 0.3804 R2 0.7776
2026-09-14 22:42:53 |   Val R2 improved to 0.7776, model saved
2026-09-14 22:42:54 | Epoch  43/100 | Train Loss 0.0141 | Val Loss 0.0135 MAE 0.3848 R2 0.7752
2026-09-14 22:42:54 | Epoch  44/100 | Train Loss 0.0140 | Val Loss 0.0131 MAE 0.3808 R2 0.7811
2026-09-14 22:42:54 |   Val R2 improved to 0.7811, model saved
2026-09-14 22:42:55 | Epoch  45/100 | Train Loss 0.0141 | Val Loss 0.0134 MAE 0.3775 R2 0.7769
2026-09-14 22:42:55 | Epoch  46/100 | Train Loss 0.0142 | Val Loss 0.0134 MAE 0.3811 R2 0.7754
2026-09-14 22:42:55 | Epoch  47/100 | Train Loss 0.0139 | Val Loss 0.0133 MAE 0.3742 R2 0.7784
2026-09-14 22:42:56 | Epoch  48/100 | Train Loss 0.0141 | Val Loss 0.0131 MAE 0.3737 R2 0.7811
2026-09-14 22:42:56 |   Val R2 improved to 0.7811, model saved
2026-09-14 22:42:56 | Epoch  49/100 | Train Loss 0.0140 | Val Loss 0.0132 MAE 0.3730 R2 0.7802
2026-09-14 22:42:56 | Epoch  50/100 | Train Loss 0.0138 | Val Loss 0.0134 MAE 0.3730 R2 0.7761
2026-09-14 22:42:57 | Epoch  51/100 | Train Loss 0.0137 | Val Loss 0.0130 MAE 0.3692 R2 0.7836
2026-09-14 22:42:57 |   Val R2 improved to 0.7836, model saved
2026-09-14 22:42:57 | Epoch  52/100 | Train Loss 0.0139 | Val Loss 0.0129 MAE 0.3692 R2 0.7843
2026-09-14 22:42:57 |   Val R2 improved to 0.7843, model saved
2026-09-14 22:42:57 | Epoch  53/100 | Train Loss 0.0138 | Val Loss 0.0136 MAE 0.3818 R2 0.7718
2026-09-14 22:42:58 | Epoch  54/100 | Train Loss 0.0137 | Val Loss 0.0137 MAE 0.3728 R2 0.7716
2026-09-14 22:42:58 | Epoch  55/100 | Train Loss 0.0138 | Val Loss 0.0132 MAE 0.3773 R2 0.7800
2026-09-14 22:42:58 | Epoch  56/100 | Train Loss 0.0137 | Val Loss 0.0129 MAE 0.3718 R2 0.7841
2026-09-14 22:42:59 | Epoch  57/100 | Train Loss 0.0135 | Val Loss 0.0130 MAE 0.3669 R2 0.7831
2026-09-14 22:42:59 | Epoch  58/100 | Train Loss 0.0135 | Val Loss 0.0129 MAE 0.3675 R2 0.7849
2026-09-14 22:42:59 |   Val R2 improved to 0.7849, model saved
2026-09-14 22:42:59 | Epoch  59/100 | Train Loss 0.0134 | Val Loss 0.0132 MAE 0.3727 R2 0.7792
2026-09-14 22:43:00 | Epoch  60/100 | Train Loss 0.0137 | Val Loss 0.0127 MAE 0.3672 R2 0.7876
2026-09-14 22:43:00 |   Val R2 improved to 0.7876, model saved
2026-09-14 22:43:00 | Epoch  61/100 | Train Loss 0.0135 | Val Loss 0.0128 MAE 0.3686 R2 0.7859
2026-09-14 22:43:00 | Epoch  62/100 | Train Loss 0.0136 | Val Loss 0.0129 MAE 0.3746 R2 0.7853
2026-09-14 22:43:01 | Epoch  63/100 | Train Loss 0.0134 | Val Loss 0.0128 MAE 0.3687 R2 0.7865
2026-09-14 22:43:01 | Epoch  64/100 | Train Loss 0.0133 | Val Loss 0.0128 MAE 0.3657 R2 0.7857
2026-09-14 22:43:01 | Epoch  65/100 | Train Loss 0.0133 | Val Loss 0.0130 MAE 0.3677 R2 0.7831
2026-09-14 22:43:02 | Epoch  66/100 | Train Loss 0.0133 | Val Loss 0.0127 MAE 0.3708 R2 0.7871
2026-09-14 22:43:02 | Epoch  67/100 | Train Loss 0.0134 | Val Loss 0.0127 MAE 0.3669 R2 0.7884
2026-09-14 22:43:02 |   Val R2 improved to 0.7884, model saved
2026-09-14 22:43:02 | Epoch  68/100 | Train Loss 0.0132 | Val Loss 0.0130 MAE 0.3684 R2 0.7828
2026-09-14 22:43:03 | Epoch  69/100 | Train Loss 0.0133 | Val Loss 0.0128 MAE 0.3730 R2 0.7865
2026-09-14 22:43:03 | Epoch  70/100 | Train Loss 0.0132 | Val Loss 0.0126 MAE 0.3627 R2 0.7891
2026-09-14 22:43:03 |   Val R2 improved to 0.7891, model saved
2026-09-14 22:43:03 | Epoch  71/100 | Train Loss 0.0131 | Val Loss 0.0126 MAE 0.3644 R2 0.7892
2026-09-14 22:43:03 |   Val R2 improved to 0.7892, model saved
2026-09-14 22:43:04 | Epoch  72/100 | Train Loss 0.0134 | Val Loss 0.0130 MAE 0.3696 R2 0.7821
2026-09-14 22:43:04 | Epoch  73/100 | Train Loss 0.0133 | Val Loss 0.0126 MAE 0.3669 R2 0.7899
2026-09-14 22:43:04 |   Val R2 improved to 0.7899, model saved
2026-09-14 22:43:04 | Epoch  74/100 | Train Loss 0.0134 | Val Loss 0.0130 MAE 0.3733 R2 0.7838
2026-09-14 22:43:05 | Epoch  75/100 | Train Loss 0.0132 | Val Loss 0.0127 MAE 0.3636 R2 0.7878
2026-09-14 22:43:05 | Epoch  76/100 | Train Loss 0.0129 | Val Loss 0.0125 MAE 0.3629 R2 0.7910
2026-09-14 22:43:05 |   Val R2 improved to 0.7910, model saved
2026-09-14 22:43:05 | Epoch  77/100 | Train Loss 0.0130 | Val Loss 0.0128 MAE 0.3729 R2 0.7864
2026-09-14 22:43:06 | Epoch  78/100 | Train Loss 0.0130 | Val Loss 0.0126 MAE 0.3678 R2 0.7898
2026-09-14 22:43:06 | Epoch  79/100 | Train Loss 0.0130 | Val Loss 0.0127 MAE 0.3685 R2 0.7874
2026-09-14 22:43:07 | Epoch  80/100 | Train Loss 0.0131 | Val Loss 0.0137 MAE 0.3740 R2 0.7708
2026-09-14 22:43:07 | Epoch  81/100 | Train Loss 0.0133 | Val Loss 0.0126 MAE 0.3715 R2 0.7901
