2026-09-14 22:20:26 | Device: cuda
2026-09-14 22:20:26 | Args: {'model': 'opb-fixed-frame-var', 'backbone': 'gnn', 'task': 'cora', 'epochs': 100, 'batch_size': 512, 'lr': 0.01, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 2.0, 'energy_classifier': False, 'tied_head': False, 'max_len': 250, 'random_labels': False, 'beta': 0.001, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/cora_gnn_opb-fixed-frame-var/cora_gnn_opb-fixed-frame-var.pt', 'log_path': '/root/autodl-tmp/IB/output/ablation/cora_gnn_opb-fixed-frame-var_beta_0.001_anchor_2/train.log', 'no_save': True}
2026-09-14 22:20:28 | Cora 划分（60/20/20 分层）：train 1624 / val 542 / test 542（共 2708 节点，7 类）
2026-09-14 22:20:32 | ===== Run 1/5 (seed 0) =====
2026-09-14 22:20:32 | Epoch   1/100 | Train Loss 3.3054 Acc 0.1379 | Val Loss 1.8506 Acc 0.3026 AUC 0.9061 Pre 0.0432 Rec 0.1429
2026-09-14 22:20:32 |   Val AUC improved to 0.9061, model saved
2026-09-14 22:20:33 | Epoch   2/100 | Train Loss 3.2280 Acc 0.2026 | Val Loss 1.7590 Acc 0.3026 AUC 0.9372 Pre 0.0432 Rec 0.1429
2026-09-14 22:20:33 |   Val AUC improved to 0.9372, model saved
2026-09-14 22:20:33 | Epoch   3/100 | Train Loss 3.0399 Acc 0.2592 | Val Loss 1.6490 Acc 0.5074 AUC 0.9437 Pre 0.4754 Rec 0.3602
2026-09-14 22:20:33 |   Val AUC improved to 0.9437, model saved
2026-09-14 22:20:33 | Epoch   4/100 | Train Loss 2.7764 Acc 0.2531 | Val Loss 1.4460 Acc 0.6236 AUC 0.9626 Pre 0.5933 Rec 0.4805
2026-09-14 22:20:33 |   Val AUC improved to 0.9626, model saved
2026-09-14 22:20:33 | Epoch   5/100 | Train Loss 2.2531 Acc 0.3042 | Val Loss 1.2392 Acc 0.5461 AUC 0.9603 Pre 0.6001 Rec 0.3850
2026-09-14 22:20:33 | Epoch   6/100 | Train Loss 1.6746 Acc 0.4729 | Val Loss 1.1663 Acc 0.5830 AUC 0.9589 Pre 0.5885 Rec 0.4081
2026-09-14 22:20:33 | Epoch   7/100 | Train Loss 1.2751 Acc 0.5961 | Val Loss 1.0147 Acc 0.7786 AUC 0.9627 Pre 0.8227 Rec 0.6857
2026-09-14 22:20:33 |   Val AUC improved to 0.9627, model saved
2026-09-14 22:20:33 | Epoch   8/100 | Train Loss 1.0046 Acc 0.7574 | Val Loss 0.8731 Acc 0.7380 AUC 0.9670 Pre 0.7186 Rec 0.6011
2026-09-14 22:20:33 |   Val AUC improved to 0.9670, model saved
2026-09-14 22:20:33 | Epoch   9/100 | Train Loss 0.7442 Acc 0.7950 | Val Loss 0.7766 Acc 0.7417 AUC 0.9688 Pre 0.8402 Rec 0.6083
2026-09-14 22:20:33 |   Val AUC improved to 0.9688, model saved
2026-09-14 22:20:33 | Epoch  10/100 | Train Loss 0.6307 Acc 0.8227 | Val Loss 0.6622 Acc 0.7897 AUC 0.9716 Pre 0.8331 Rec 0.6793
2026-09-14 22:20:33 |   Val AUC improved to 0.9716, model saved
2026-09-14 22:20:33 | Epoch  11/100 | Train Loss 0.5350 Acc 0.8627 | Val Loss 0.7123 Acc 0.7860 AUC 0.9704 Pre 0.8314 Rec 0.6820
2026-09-14 22:20:33 | Epoch  12/100 | Train Loss 0.4437 Acc 0.8812 | Val Loss 0.8175 Acc 0.7952 AUC 0.9687 Pre 0.8527 Rec 0.7225
2026-09-14 22:20:33 | Epoch  13/100 | Train Loss 0.4069 Acc 0.9064 | Val Loss 0.8021 Acc 0.8026 AUC 0.9718 Pre 0.8486 Rec 0.7338
2026-09-14 22:20:33 |   Val AUC improved to 0.9718, model saved
2026-09-14 22:20:33 | Epoch  14/100 | Train Loss 0.3926 Acc 0.9089 | Val Loss 0.7795 Acc 0.8192 AUC 0.9727 Pre 0.8489 Rec 0.7603
2026-09-14 22:20:33 |   Val AUC improved to 0.9727, model saved
2026-09-14 22:20:33 | Epoch  15/100 | Train Loss 0.3448 Acc 0.9280 | Val Loss 0.7794 Acc 0.8303 AUC 0.9729 Pre 0.8545 Rec 0.7747
2026-09-14 22:20:33 |   Val AUC improved to 0.9729, model saved
2026-09-14 22:20:34 | Epoch  16/100 | Train Loss 0.3163 Acc 0.9329 | Val Loss 0.7655 Acc 0.8413 AUC 0.9734 Pre 0.8646 Rec 0.7982
2026-09-14 22:20:34 |   Val AUC improved to 0.9734, model saved
2026-09-14 22:20:34 | Epoch  17/100 | Train Loss 0.2865 Acc 0.9347 | Val Loss 0.7475 Acc 0.8487 AUC 0.9743 Pre 0.8607 Rec 0.8152
2026-09-14 22:20:34 |   Val AUC improved to 0.9743, model saved
2026-09-14 22:20:34 | Epoch  18/100 | Train Loss 0.2495 Acc 0.9415 | Val Loss 0.7480 Acc 0.8561 AUC 0.9743 Pre 0.8584 Rec 0.8260
2026-09-14 22:20:34 |   Val AUC improved to 0.9743, model saved
2026-09-14 22:20:34 | Epoch  19/100 | Train Loss 0.2248 Acc 0.9464 | Val Loss 0.7692 Acc 0.8524 AUC 0.9740 Pre 0.8549 Rec 0.8238
2026-09-14 22:20:34 | Epoch  20/100 | Train Loss 0.2101 Acc 0.9520 | Val Loss 0.7926 Acc 0.8542 AUC 0.9735 Pre 0.8574 Rec 0.8310
2026-09-14 22:20:34 | Epoch  21/100 | Train Loss 0.1975 Acc 0.9563 | Val Loss 0.7987 Acc 0.8506 AUC 0.9734 Pre 0.8521 Rec 0.8309
2026-09-14 22:20:34 | Epoch  22/100 | Train Loss 0.1854 Acc 0.9587 | Val Loss 0.7988 Acc 0.8487 AUC 0.9734 Pre 0.8466 Rec 0.8292
2026-09-14 22:20:34 | Epoch  23/100 | Train Loss 0.1798 Acc 0.9618 | Val Loss 0.8047 Acc 0.8542 AUC 0.9735 Pre 0.8470 Rec 0.8331
2026-09-14 22:20:34 | Epoch  24/100 | Train Loss 0.1606 Acc 0.9618 | Val Loss 0.8194 Acc 0.8524 AUC 0.9729 Pre 0.8478 Rec 0.8295
2026-09-14 22:20:34 | Epoch  25/100 | Train Loss 0.1565 Acc 0.9618 | Val Loss 0.8404 Acc 0.8506 AUC 0.9722 Pre 0.8488 Rec 0.8278
2026-09-14 22:20:34 | Epoch  26/100 | Train Loss 0.1516 Acc 0.9680 | Val Loss 0.8541 Acc 0.8506 AUC 0.9716 Pre 0.8496 Rec 0.8263
2026-09-14 22:20:34 | Epoch  27/100 | Train Loss 0.1359 Acc 0.9717 | Val Loss 0.8492 Acc 0.8579 AUC 0.9715 Pre 0.8545 Rec 0.8357
2026-09-14 22:20:34 | Epoch  28/100 | Train Loss 0.1230 Acc 0.9741 | Val Loss 0.8445 Acc 0.8579 AUC 0.9716 Pre 0.8520 Rec 0.8357
2026-09-14 22:20:34 | Val AUC did not improve for 10 consecutive epochs, early stopping at Epoch 28 (best AUC 0.9743 @ Epoch 18)
2026-09-14 22:20:34 | Run 1/5 | Test (best model @ Epoch 18) | Loss 0.7110 Acc 0.8764 AUC 0.9761 Pre 0.8843 Rec 0.8530
2026-09-14 22:20:34 | ===== Run 2/5 (seed 1) =====
2026-09-14 22:20:35 | Epoch   1/100 | Train Loss 3.3472 Acc 0.1398 | Val Loss 1.8466 Acc 0.3026 AUC 0.9014 Pre 0.0432 Rec 0.1429
2026-09-14 22:20:35 |   Val AUC improved to 0.9014, model saved
2026-09-14 22:20:35 | Epoch   2/100 | Train Loss 3.1188 Acc 0.2155 | Val Loss 1.7546 Acc 0.3026 AUC 0.9270 Pre 0.0432 Rec 0.1429
2026-09-14 22:20:35 |   Val AUC improved to 0.9270, model saved
2026-09-14 22:20:35 | Epoch   3/100 | Train Loss 3.0313 Acc 0.2506 | Val Loss 1.6359 Acc 0.4354 AUC 0.9433 Pre 0.4672 Rec 0.2711
2026-09-14 22:20:35 |   Val AUC improved to 0.9433, model saved
2026-09-14 22:20:35 | Epoch   4/100 | Train Loss 2.7255 Acc 0.2531 | Val Loss 1.4583 Acc 0.4465 AUC 0.9465 Pre 0.4531 Rec 0.2874
2026-09-14 22:20:35 |   Val AUC improved to 0.9465, model saved
2026-09-14 22:20:35 | Epoch   5/100 | Train Loss 2.2237 Acc 0.3350 | Val Loss 1.3539 Acc 0.4502 AUC 0.9361 Pre 0.6178 Rec 0.2807
2026-09-14 22:20:35 | Epoch   6/100 | Train Loss 1.7026 Acc 0.4667 | Val Loss 1.0968 Acc 0.6697 AUC 0.9650 Pre 0.5797 Rec 0.5129
2026-09-14 22:20:35 |   Val AUC improved to 0.9650, model saved
2026-09-14 22:20:35 | Epoch   7/100 | Train Loss 1.1812 Acc 0.6324 | Val Loss 1.0040 Acc 0.7232 AUC 0.9618 Pre 0.8480 Rec 0.5970
2026-09-14 22:20:35 | Epoch   8/100 | Train Loss 1.0033 Acc 0.7100 | Val Loss 0.8673 Acc 0.7325 AUC 0.9661 Pre 0.7309 Rec 0.5974
2026-09-14 22:20:35 |   Val AUC improved to 0.9661, model saved
2026-09-14 22:20:35 | Epoch   9/100 | Train Loss 0.7412 Acc 0.7845 | Val Loss 0.7890 Acc 0.7565 AUC 0.9687 Pre 0.8192 Rec 0.6539
2026-09-14 22:20:35 |   Val AUC improved to 0.9687, model saved
