config,run,norm,eps,acc
mnist_mlp,1,none,0,0.9810000658035278
mnist_mlp,1,linf,0.05,0.9250000715255737
mnist_mlp,1,linf,0.1,0.7770000100135803
mnist_mlp,1,linf,0.15,0.49000000953674316
mnist_mlp,1,linf,0.2,0.23500001430511475
mnist_mlp,1,linf,0.25,0.0990000069141388
mnist_mlp,1,linf,0.3,0.04400000348687172
mnist_mlp,1,l2,0.5,0.9590000510215759
mnist_mlp,1,l2,1,0.9240000247955322
mnist_mlp,1,l2,1.5,0.8740000128746033
mnist_mlp,1,l2,2,0.7750000357627869
mnist_mlp,1,l2,2.5,0.6350000500679016
mnist_mlp,1,l2,3,0.4970000088214874
mnist_mlp,2,none,0,0.9800000190734863
mnist_mlp,2,linf,0.05,0.937000036239624
mnist_mlp,2,linf,0.1,0.7610000371932983
mnist_mlp,2,linf,0.15,0.4400000274181366
mnist_mlp,2,linf,0.2,0.21300001442432404
mnist_mlp,2,linf,0.25,0.1080000028014183
mnist_mlp,2,linf,0.3,0.05000000074505806
mnist_mlp,2,l2,0.5,0.9640000462532043
mnist_mlp,2,l2,1,0.937000036239624
mnist_mlp,2,l2,1.5,0.8720000386238098
mnist_mlp,2,l2,2,0.7520000338554382
mnist_mlp,2,l2,2.5,0.6030000448226929
mnist_mlp,2,l2,3,0.4400000274181366
mnist_mlp,3,none,0,0.9800000190734863
mnist_mlp,3,linf,0.05,0.9320000410079956
mnist_mlp,3,linf,0.1,0.7590000629425049
mnist_mlp,3,linf,0.15,0.44200003147125244
mnist_mlp,3,linf,0.2,0.23100000619888306
mnist_mlp,3,linf,0.25,0.10600000619888306
mnist_mlp,3,linf,0.3,0.058000002056360245
mnist_mlp,3,l2,0.5,0.968000054359436
mnist_mlp,3,l2,1,0.9310000538825989
mnist_mlp,3,l2,1.5,0.8770000338554382
mnist_mlp,3,l2,2,0.7660000324249268
mnist_mlp,3,l2,2.5,0.6140000224113464
mnist_mlp,3,l2,3,0.43800002336502075
mnist_mlp,4,none,0,0.9880000352859497
mnist_mlp,4,linf,0.05,0.9330000281333923
mnist_mlp,4,linf,0.1,0.7560000419616699
mnist_mlp,4,linf,0.15,0.41700002551078796
mnist_mlp,4,linf,0.2,0.1990000158548355
mnist_mlp,4,linf,0.25,0.07600000500679016
mnist_mlp,4,linf,0.3,0.026000000536441803
mnist_mlp,4,l2,0.5,0.9660000205039978
mnist_mlp,4,l2,1,0.9330000281333923
mnist_mlp,4,l2,1.5,0.8680000305175781
mnist_mlp,4,l2,2,0.7580000162124634
mnist_mlp,4,l2,2.5,0.5820000171661377
mnist_mlp,4,l2,3,0.42500001192092896
mnist_mlp,5,none,0,0.9790000319480896
mnist_mlp,5,linf,0.05,0.9330000281333923
mnist_mlp,5,linf,0.1,0.7680000066757202
mnist_mlp,5,linf,0.15,0.48100003600120544
mnist_mlp,5,linf,0.2,0.27300000190734863
mnist_mlp,5,linf,0.25,0.14300000667572021
mnist_mlp,5,linf,0.3,0.09800000488758087
mnist_mlp,5,l2,0.5,0.9600000381469727
mnist_mlp,5,l2,1,0.9310000538825989
mnist_mlp,5,l2,1.5,0.8720000386238098
mnist_mlp,5,l2,2,0.7640000581741333
mnist_mlp,5,l2,2.5,0.6320000290870667
mnist_mlp,5,l2,3,0.4820000231266022
mnist_mlp_opb_beta0.001_scale12,1,none,0,0.9720000624656677
mnist_mlp_opb_beta0.001_scale12,1,linf,0.05,0.9070000648498535
mnist_mlp_opb_beta0.001_scale12,1,linf,0.1,0.7120000123977661
mnist_mlp_opb_beta0.001_scale12,1,linf,0.15,0.42000001668930054
mnist_mlp_opb_beta0.001_scale12,1,linf,0.2,0.1860000044107437
mnist_mlp_opb_beta0.001_scale12,1,linf,0.25,0.07800000160932541
mnist_mlp_opb_beta0.001_scale12,1,linf,0.3,0.027000000700354576
mnist_mlp_opb_beta0.001_scale12,1,l2,0.5,0.9470000267028809
mnist_mlp_opb_beta0.001_scale12,1,l2,1,0.9100000262260437
mnist_mlp_opb_beta0.001_scale12,1,l2,1.5,0.831000030040741
mnist_mlp_opb_beta0.001_scale12,1,l2,2,0.7290000319480896
mnist_mlp_opb_beta0.001_scale12,1,l2,2.5,0.597000002861023
mnist_mlp_opb_beta0.001_scale12,1,l2,3,0.43800002336502075
mnist_mlp_opb_beta0.001_scale12,2,none,0,0.9750000238418579
mnist_mlp_opb_beta0.001_scale12,2,linf,0.05,0.9200000166893005
mnist_mlp_opb_beta0.001_scale12,2,linf,0.1,0.7410000562667847
mnist_mlp_opb_beta0.001_scale12,2,linf,0.15,0.48600003123283386
mnist_mlp_opb_beta0.001_scale12,2,linf,0.2,0.2370000183582306
mnist_mlp_opb_beta0.001_scale12,2,linf,0.25,0.10400000214576721
mnist_mlp_opb_beta0.001_scale12,2,linf,0.3,0.04400000348687172
mnist_mlp_opb_beta0.001_scale12,2,l2,0.5,0.9590000510215759
mnist_mlp_opb_beta0.001_scale12,2,l2,1,0.921000063419342
mnist_mlp_opb_beta0.001_scale12,2,l2,1.5,0.8500000238418579
mnist_mlp_opb_beta0.001_scale12,2,l2,2,0.7550000548362732
mnist_mlp_opb_beta0.001_scale12,2,l2,2.5,0.6610000133514404
mnist_mlp_opb_beta0.001_scale12,2,l2,3,0.5220000147819519
mnist_mlp_opb_beta0.001_scale12,3,none,0,0.9750000238418579
mnist_mlp_opb_beta0.001_scale12,3,linf,0.05,0.9180000424385071
mnist_mlp_opb_beta0.001_scale12,3,linf,0.1,0.7540000081062317
mnist_mlp_opb_beta0.001_scale12,3,linf,0.15,0.48500001430511475
mnist_mlp_opb_beta0.001_scale12,3,linf,0.2,0.21000000834465027
mnist_mlp_opb_beta0.001_scale12,3,linf,0.25,0.08400000631809235
mnist_mlp_opb_beta0.001_scale12,3,linf,0.3,0.03200000151991844
mnist_mlp_opb_beta0.001_scale12,3,l2,0.5,0.9540000557899475
mnist_mlp_opb_beta0.001_scale12,3,l2,1,0.921000063419342
mnist_mlp_opb_beta0.001_scale12,3,l2,1.5,0.8610000610351562
mnist_mlp_opb_beta0.001_scale12,3,l2,2,0.7730000615119934
mnist_mlp_opb_beta0.001_scale12,3,l2,2.5,0.6610000133514404
mnist_mlp_opb_beta0.001_scale12,3,l2,3,0.5210000276565552
mnist_mlp_opb_beta0.001_scale12,4,none,0,0.9820000529289246
mnist_mlp_opb_beta0.001_scale12,4,linf,0.05,0.9160000681877136
mnist_mlp_opb_beta0.001_scale12,4,linf,0.1,0.7200000286102295
mnist_mlp_opb_beta0.001_scale12,4,linf,0.15,0.4700000286102295
mnist_mlp_opb_beta0.001_scale12,4,linf,0.2,0.1990000158548355
mnist_mlp_opb_beta0.001_scale12,4,linf,0.25,0.06700000166893005
mnist_mlp_opb_beta0.001_scale12,4,linf,0.3,0.023000001907348633
mnist_mlp_opb_beta0.001_scale12,4,l2,0.5,0.9620000720024109
mnist_mlp_opb_beta0.001_scale12,4,l2,1,0.9190000295639038
mnist_mlp_opb_beta0.001_scale12,4,l2,1.5,0.8470000624656677
mnist_mlp_opb_beta0.001_scale12,4,l2,2,0.7380000352859497
mnist_mlp_opb_beta0.001_scale12,4,l2,2.5,0.625
mnist_mlp_opb_beta0.001_scale12,4,l2,3,0.4910000264644623
mnist_mlp_opb_beta0.001_scale12,5,none,0,0.9720000624656677
mnist_mlp_opb_beta0.001_scale12,5,linf,0.05,0.9190000295639038
mnist_mlp_opb_beta0.001_scale12,5,linf,0.1,0.7410000562667847
mnist_mlp_opb_beta0.001_scale12,5,linf,0.15,0.48000001907348633
mnist_mlp_opb_beta0.001_scale12,5,linf,0.2,0.22100001573562622
mnist_mlp_opb_beta0.001_scale12,5,linf,0.25,0.0860000029206276
mnist_mlp_opb_beta0.001_scale12,5,linf,0.3,0.03400000184774399
mnist_mlp_opb_beta0.001_scale12,5,l2,0.5,0.9550000429153442
mnist_mlp_opb_beta0.001_scale12,5,l2,1,0.9220000505447388
mnist_mlp_opb_beta0.001_scale12,5,l2,1.5,0.8450000286102295
mnist_mlp_opb_beta0.001_scale12,5,l2,2,0.7480000257492065
mnist_mlp_opb_beta0.001_scale12,5,l2,2.5,0.628000020980835
mnist_mlp_opb_beta0.001_scale12,5,l2,3,0.4970000088214874
mnist_mlp_opb_beta0.01_scale12,1,none,0,0.9820000529289246
mnist_mlp_opb_beta0.01_scale12,1,linf,0.05,0.9340000152587891
mnist_mlp_opb_beta0.01_scale12,1,linf,0.1,0.800000011920929
mnist_mlp_opb_beta0.01_scale12,1,linf,0.15,0.5550000071525574
mnist_mlp_opb_beta0.01_scale12,1,linf,0.2,0.2600000202655792
mnist_mlp_opb_beta0.01_scale12,1,linf,0.25,0.11100000888109207
mnist_mlp_opb_beta0.01_scale12,1,linf,0.3,0.04200000315904617
mnist_mlp_opb_beta0.01_scale12,1,l2,0.5,0.9620000720024109
mnist_mlp_opb_beta0.01_scale12,1,l2,1,0.9330000281333923
mnist_mlp_opb_beta0.01_scale12,1,l2,1.5,0.8740000128746033
mnist_mlp_opb_beta0.01_scale12,1,l2,2,0.796000063419342
mnist_mlp_opb_beta0.01_scale12,1,l2,2.5,0.6790000200271606
mnist_mlp_opb_beta0.01_scale12,1,l2,3,0.5530000329017639
mnist_mlp_opb_beta0.01_scale12,2,none,0,0.9830000400543213
mnist_mlp_opb_beta0.01_scale12,2,linf,0.05,0.937000036239624
mnist_mlp_opb_beta0.01_scale12,2,linf,0.1,0.7950000166893005
mnist_mlp_opb_beta0.01_scale12,2,linf,0.15,0.5360000133514404
mnist_mlp_opb_beta0.01_scale12,2,linf,0.2,0.26200002431869507
mnist_mlp_opb_beta0.01_scale12,2,linf,0.25,0.11100000888109207
mnist_mlp_opb_beta0.01_scale12,2,linf,0.3,0.05100000277161598
mnist_mlp_opb_beta0.01_scale12,2,l2,0.5,0.9660000205039978
