combo,dataset,task,model,beta,anchor,run,I_XZ,I_YZ,I_XZ_given_Y,I_XZ_given_Y_upper,CE,Acc,R2
mnist_mlp_ceb_beta_0.0001,mnist,mnist,ceb,0.0001,,1,5.960577,2.218902,5.786578,67.587863,0.078699,0.983200,
mnist_mlp_ceb_beta_0.0001,mnist,mnist,ceb,0.0001,,2,6.521939,2.232217,6.037680,73.089871,0.065339,0.982400,
mnist_mlp_ceb_beta_0.0001,mnist,mnist,ceb,0.0001,,3,6.350662,2.235552,5.959038,68.635980,0.062114,0.984100,
mnist_mlp_ceb_beta_0.0001,mnist,mnist,ceb,0.0001,,4,5.995075,2.217874,5.833863,66.613097,0.079388,0.981900,
mnist_mlp_ceb_beta_0.0001,mnist,mnist,ceb,0.0001,,5,6.209663,2.227391,5.963513,72.741282,0.070057,0.982500,
mnist_mlp_ceb_beta_0.0005,mnist,mnist,ceb,0.0005,,1,4.467017,2.231606,3.522141,20.313400,0.063024,0.983500,
mnist_mlp_ceb_beta_0.0005,mnist,mnist,ceb,0.0005,,2,4.514757,2.221098,3.515968,20.050348,0.072294,0.982100,
mnist_mlp_ceb_beta_0.0005,mnist,mnist,ceb,0.0005,,3,4.982006,2.223498,3.893763,20.664140,0.068500,0.980600,
mnist_mlp_ceb_beta_0.0005,mnist,mnist,ceb,0.0005,,4,4.374014,2.222822,3.466548,20.462478,0.071157,0.982900,
mnist_mlp_ceb_beta_0.0005,mnist,mnist,ceb,0.0005,,5,4.133237,2.215627,3.261089,20.902660,0.079382,0.983600,
mnist_mlp_ceb_beta_0.001,mnist,mnist,ceb,0.001,,1,4.284741,2.226248,2.939808,13.118979,0.064380,0.981700,
mnist_mlp_ceb_beta_0.001,mnist,mnist,ceb,0.001,,2,3.812888,2.226233,2.459942,12.494605,0.066793,0.985700,
mnist_mlp_ceb_beta_0.001,mnist,mnist,ceb,0.001,,3,4.273467,2.221717,2.997169,14.082251,0.069425,0.982200,
mnist_mlp_ceb_beta_0.001,mnist,mnist,ceb,0.001,,4,4.117835,2.227519,2.804842,12.953994,0.062296,0.982300,
