combo,dataset,task,model,beta,anchor,run,I_XZ,I_YZ,I_XZ_given_Y,I_XZ_given_Y_lower,I_XZ_given_Y_upper,CE,Acc,R2
mnist_mlp_ceb_beta_0.01,mnist,mnist,ceb,0.01,,1,2.821643,2.214965,2.060466,0.836835,3.284096,0.070035,0.984400,
mnist_mlp_ceb_beta_0.01,mnist,mnist,ceb,0.01,,2,2.951807,2.222349,2.167920,0.921984,3.413856,0.060672,0.984300,
mnist_mlp_ceb_beta_0.01,mnist,mnist,ceb,0.01,,3,2.884532,2.212000,2.189520,0.891213,3.487828,0.072953,0.985100,
mnist_mlp_ceb_beta_0.01,mnist,mnist,ceb,0.01,,4,2.935458,2.219437,2.242565,0.927070,3.558059,0.065148,0.984700,
mnist_mlp_ceb_beta_0.01,mnist,mnist,ceb,0.01,,5,2.885358,2.210292,2.247325,0.892067,3.602583,0.074975,0.982900,
mnist_mlp_opb_beta_0.0001_anchor_12,mnist,mnist,opb,0.0001,12,1,7.798498,2.204296,6447.038340,6.908975,12887.167705,0.093990,0.981400,
mnist_mlp_opb_beta_0.0001_anchor_12,mnist,mnist,opb,0.0001,12,2,7.765445,2.218578,6042.413312,6.908965,12077.917659,0.078005,0.980300,
mnist_mlp_opb_beta_0.0001_anchor_12,mnist,mnist,opb,0.0001,12,3,7.744876,2.220460,2352.127609,6.901480,4697.353738,0.073618,0.980200,
mnist_mlp_opb_beta_0.0001_anchor_12,mnist,mnist,opb,0.0001,12,4,7.848296,2.208521,5265.804880,6.909363,10524.700397,0.091201,0.980100,
mnist_mlp_opb_beta_0.0001_anchor_12,mnist,mnist,opb,0.0001,12,5,7.759821,2.219330,3372.168316,6.908529,6737.428102,0.079742,0.979700,
mnist_mlp_opb_beta_0.01_anchor_12,mnist,mnist,opb,0.01,12,1,4.538710,2.054822,60.288691,3.661855,116.915526,0.218009,0.981400,
mnist_mlp_opb_beta_0.01_anchor_12,mnist,mnist,opb,0.01,12,2,4.090467,2.080766,27.523141,2.986152,52.060130,0.197613,0.983400,
mnist_mlp_opb_beta_0.01_anchor_12,mnist,mnist,opb,0.01,12,3,3.610118,2.080179,11.343262,2.121698,20.564827,0.200835,0.983100,
mnist_mlp_opb_beta_0.01_anchor_12,mnist,mnist,opb,0.01,12,4,5.405081,2.052110,192.317689,5.189879,379.445498,0.217567,0.978600,
mnist_mlp_opb_beta_0.01_anchor_12,mnist,mnist,opb,0.01,12,5,3.907803,2.063453,17.502648,2.581139,32.424157,0.216553,0.983100,
mnist_mlp_opb_beta_10_anchor_12,mnist,mnist,opb,10.0,12,1,1.984039,1.917661,0.234845,0.136917,0.332773,0.062599,0.984000,
mnist_mlp_opb_beta_10_anchor_12,mnist,mnist,opb,10.0,12,2,2.120723,2.012239,0.302394,0.172468,0.432319,0.068151,0.984300,
mnist_mlp_opb_beta_10_anchor_12,mnist,mnist,opb,10.0,12,3,2.398241,2.095802,0.568307,0.292176,0.844438,0.115970,0.984200,
mnist_mlp_opb_beta_10_anchor_12,mnist,mnist,opb,10.0,12,4,2.390761,2.099821,0.592474,0.300542,0.884407,0.118561,0.982500,
mnist_mlp_opb_beta_10_anchor_12,mnist,mnist,opb,10.0,12,5,2.330487,2.092642,0.486262,0.255638,0.716885,0.104841,0.983000,
mnist_mlp_opb_beta_25_anchor_12,mnist,mnist,opb,25.0,12,1,2.160600,2.030416,0.325982,0.183977,0.467988,0.070062,0.983300,
mnist_mlp_opb_beta_25_anchor_12,mnist,mnist,opb,25.0,12,2,2.102221,1.997503,0.300538,0.171009,0.430067,0.065757,0.984500,
mnist_mlp_opb_beta_25_anchor_12,mnist,mnist,opb,25.0,12,3,2.368812,2.098541,0.511666,0.267805,0.755528,0.104953,0.983700,
mnist_mlp_opb_beta_25_anchor_12,mnist,mnist,opb,25.0,12,4,1.973762,1.905182,0.253484,0.148483,0.358484,0.068674,0.982800,
mnist_mlp_opb_beta_25_anchor_12,mnist,mnist,opb,25.0,12,5,2.308271,2.087852,0.451754,0.242133,0.661376,0.096476,0.984400,
