config,run,norm,eps,acc,succ
mnist_mlp,1,none,0,0.981000,
mnist_mlp,1,linf,0.05,0.925000,0.057085
mnist_mlp,1,linf,0.1,0.777000,0.207951
mnist_mlp,1,linf,0.15,0.484000,0.506626
mnist_mlp,1,linf,0.2,0.234000,0.761468
mnist_mlp,1,linf,0.25,0.095000,0.903160
mnist_mlp,1,linf,0.3,0.039000,0.960245
mnist_mlp,1,l2,1,0.924000,0.058104
mnist_mlp,1,l2,2,0.777000,0.207951
mnist_mlp,1,l2,3,0.499000,0.491335
mnist_mlp,1,l2,4,0.237000,0.758410
mnist_mlp,1,l2,5,0.101000,0.897044
mnist_mlp,1,l2,6,0.044000,0.955148
mnist_mlp,2,none,0,0.980000,
mnist_mlp,2,linf,0.05,0.937000,0.043878
mnist_mlp,2,linf,0.1,0.760000,0.224490
mnist_mlp,2,linf,0.15,0.436000,0.555102
mnist_mlp,2,linf,0.2,0.215000,0.780612
mnist_mlp,2,linf,0.25,0.100000,0.897959
mnist_mlp,2,linf,0.3,0.052000,0.946939
mnist_mlp,2,l2,1,0.937000,0.043878
mnist_mlp,2,l2,2,0.753000,0.231633
mnist_mlp,2,l2,3,0.439000,0.552041
mnist_mlp,2,l2,4,0.213000,0.782653
mnist_mlp,2,l2,5,0.105000,0.892857
mnist_mlp,2,l2,6,0.059000,0.939796
mnist_mlp,3,none,0,0.980000,
mnist_mlp,3,linf,0.05,0.932000,0.048980
mnist_mlp,3,linf,0.1,0.760000,0.224490
mnist_mlp,3,linf,0.15,0.434000,0.557143
mnist_mlp,3,linf,0.2,0.228000,0.767347
mnist_mlp,3,linf,0.25,0.100000,0.897959
mnist_mlp,3,linf,0.3,0.055000,0.943878
mnist_mlp,3,l2,1,0.931000,0.050000
mnist_mlp,3,l2,2,0.764000,0.220408
mnist_mlp,3,l2,3,0.438000,0.553061
mnist_mlp,3,l2,4,0.230000,0.765306
mnist_mlp,3,l2,5,0.124000,0.873469
mnist_mlp,3,l2,6,0.089000,0.909184
mnist_mlp,4,none,0,0.988000,
mnist_mlp,4,linf,0.05,0.933000,0.055668
mnist_mlp,4,linf,0.1,0.759000,0.231781
mnist_mlp,4,linf,0.15,0.425000,0.569838
mnist_mlp,4,linf,0.2,0.197000,0.800607
mnist_mlp,4,linf,0.25,0.080000,0.919028
mnist_mlp,4,linf,0.3,0.030000,0.969636
mnist_mlp,4,l2,1,0.933000,0.055668
mnist_mlp,4,l2,2,0.757000,0.233806
mnist_mlp,4,l2,3,0.421000,0.573887
mnist_mlp,4,l2,4,0.200000,0.797571
mnist_mlp,4,l2,5,0.110000,0.888664
mnist_mlp,4,l2,6,0.081000,0.918016
mnist_mlp,5,none,0,0.979000,
mnist_mlp,5,linf,0.05,0.933000,0.046987
mnist_mlp,5,linf,0.1,0.767000,0.216547
mnist_mlp,5,linf,0.15,0.484000,0.505618
mnist_mlp,5,linf,0.2,0.274000,0.720123
mnist_mlp,5,linf,0.25,0.148000,0.848825
mnist_mlp,5,linf,0.3,0.094000,0.903984
mnist_mlp,5,l2,1,0.932000,0.048008
mnist_mlp,5,l2,2,0.764000,0.219612
mnist_mlp,5,l2,3,0.484000,0.505618
mnist_mlp,5,l2,4,0.332000,0.660878
mnist_mlp,5,l2,5,0.274000,0.720123
mnist_mlp,5,l2,6,0.255000,0.739530
mnist_mlp_ceb_beta_0.0001,1,none,0,0.979000,
mnist_mlp_ceb_beta_0.0001,1,linf,0.05,0.919000,0.061287
mnist_mlp_ceb_beta_0.0001,1,linf,0.1,0.750000,0.233912
mnist_mlp_ceb_beta_0.0001,1,linf,0.15,0.464000,0.526047
mnist_mlp_ceb_beta_0.0001,1,linf,0.2,0.315000,0.678243
