config,run,norm,eps,acc,succ
mnist_mlp,1,none,0,0.981000,
mnist_mlp,1,linf,0.3,0.438000,0.549107
mnist_mlp,1,l2,6,0.449000,0.554688
mnist_mlp,2,none,0,0.980000,
mnist_mlp,2,linf,0.3,0.306000,0.700893
mnist_mlp,2,l2,6,0.301000,0.731027
mnist_mlp,3,none,0,0.980000,
mnist_mlp,3,linf,0.3,0.406000,0.575419
mnist_mlp,3,l2,6,0.405000,0.592179
mnist_mlp,4,none,0,0.988000,
mnist_mlp,4,linf,0.3,0.371000,0.599114
mnist_mlp,4,l2,6,0.361000,0.616833
mnist_mlp,5,none,0,0.979000,
mnist_mlp,5,linf,0.3,0.341000,0.633110
mnist_mlp,5,l2,6,0.309000,0.674497
mnist_mlp_ceb_beta_0.0001,1,none,0,0.981000,
mnist_mlp_ceb_beta_0.0001,1,linf,0.3,0.344000,0.524554
mnist_mlp_ceb_beta_0.0001,1,l2,6,0.318000,0.572545
mnist_mlp_ceb_beta_0.0001,2,none,0,0.983000,
mnist_mlp_ceb_beta_0.0001,2,linf,0.3,0.412000,0.484410
mnist_mlp_ceb_beta_0.0001,2,l2,6,0.403000,0.512249
mnist_mlp_ceb_beta_0.0001,3,none,0,0.985000,
mnist_mlp_ceb_beta_0.0001,3,linf,0.3,0.273000,0.701443
mnist_mlp_ceb_beta_0.0001,3,l2,6,0.276000,0.713652
mnist_mlp_ceb_beta_0.0001,4,none,0,0.981000,
mnist_mlp_ceb_beta_0.0001,4,linf,0.3,0.404000,0.489955
mnist_mlp_ceb_beta_0.0001,4,l2,6,0.381000,0.543527
mnist_mlp_ceb_beta_0.0001,5,none,0,0.978000,
mnist_mlp_ceb_beta_0.0001,5,linf,0.3,0.286000,0.683091
mnist_mlp_ceb_beta_0.0001,5,l2,6,0.273000,0.715566
mnist_mlp_ceb_beta_0.0005,1,none,0,0.978000,
mnist_mlp_ceb_beta_0.0005,1,linf,0.3,0.383000,0.511758
mnist_mlp_ceb_beta_0.0005,1,l2,6,0.350000,0.555431
mnist_mlp_ceb_beta_0.0005,2,none,0,0.985000,
mnist_mlp_ceb_beta_0.0005,2,linf,0.3,0.362000,0.565556
mnist_mlp_ceb_beta_0.0005,2,l2,6,0.354000,0.610000
mnist_mlp_ceb_beta_0.0005,3,none,0,0.981000,
mnist_mlp_ceb_beta_0.0005,3,linf,0.3,0.311000,0.640625
mnist_mlp_ceb_beta_0.0005,3,l2,6,0.316000,0.640625
mnist_mlp_ceb_beta_0.0005,4,none,0,0.979000,
mnist_mlp_ceb_beta_0.0005,4,linf,0.3,0.272000,0.689038
mnist_mlp_ceb_beta_0.0005,4,l2,6,0.257000,0.687919
mnist_mlp_ceb_beta_0.0005,5,none,0,0.981000,
mnist_mlp_ceb_beta_0.0005,5,linf,0.3,0.424000,0.460938
mnist_mlp_ceb_beta_0.0005,5,l2,6,0.390000,0.468750
mnist_mlp_ceb_beta_0.001,1,none,0,0.972000,
mnist_mlp_ceb_beta_0.001,1,linf,0.3,0.437000,0.475761
mnist_mlp_ceb_beta_0.001,1,l2,6,0.421000,0.525366
mnist_mlp_ceb_beta_0.001,2,none,0,0.988000,
mnist_mlp_ceb_beta_0.001,2,linf,0.3,0.387000,0.513843
mnist_mlp_ceb_beta_0.001,2,l2,6,0.366000,0.557032
mnist_mlp_ceb_beta_0.001,3,none,0,0.981000,
mnist_mlp_ceb_beta_0.001,3,linf,0.3,0.395000,0.496652
mnist_mlp_ceb_beta_0.001,3,l2,6,0.388000,0.522321
mnist_mlp_ceb_beta_0.001,4,none,0,0.978000,
mnist_mlp_ceb_beta_0.001,4,linf,0.3,0.368000,0.497200
mnist_mlp_ceb_beta_0.001,4,l2,6,0.344000,0.521837
mnist_mlp_ceb_beta_0.001,5,none,0,0.982000,
mnist_mlp_ceb_beta_0.001,5,linf,0.3,0.463000,0.341137
mnist_mlp_ceb_beta_0.001,5,l2,6,0.442000,0.373467
mnist_mlp_ceb_beta_0.005,1,none,0,0.980000,
mnist_mlp_ceb_beta_0.005,1,linf,0.3,0.455000,0.317318
mnist_mlp_ceb_beta_0.005,1,l2,6,0.434000,0.349721
mnist_mlp_ceb_beta_0.005,2,none,0,0.980000,
mnist_mlp_ceb_beta_0.005,2,linf,0.3,0.382000,0.477679
mnist_mlp_ceb_beta_0.005,2,l2,6,0.368000,0.488839
mnist_mlp_ceb_beta_0.005,3,none,0,0.980000,
mnist_mlp_ceb_beta_0.005,3,linf,0.3,0.377000,0.447545
mnist_mlp_ceb_beta_0.005,3,l2,6,0.366000,0.458705
mnist_mlp_ceb_beta_0.005,4,none,0,0.981000,
mnist_mlp_ceb_beta_0.005,4,linf,0.3,0.374000,0.412486
mnist_mlp_ceb_beta_0.005,4,l2,6,0.372000,0.387960
mnist_mlp_ceb_beta_0.005,5,none,0,0.981000,
mnist_mlp_ceb_beta_0.005,5,linf,0.3,0.381000,0.419643
mnist_mlp_ceb_beta_0.005,5,l2,6,0.379000,0.450893
mnist_mlp_ceb_beta_0.01,1,none,0,0.987000,
mnist_mlp_ceb_beta_0.01,1,linf,0.3,0.369000,0.435216
mnist_mlp_ceb_beta_0.01,1,l2,6,0.362000,0.455150
mnist_mlp_ceb_beta_0.01,2,none,0,0.986000,
mnist_mlp_ceb_beta_0.01,2,linf,0.3,0.333000,0.492786
mnist_mlp_ceb_beta_0.01,2,l2,6,0.345000,0.486127
mnist_mlp_ceb_beta_0.01,3,none,0,0.980000,
mnist_mlp_ceb_beta_0.01,3,linf,0.3,0.394000,0.429688
mnist_mlp_ceb_beta_0.01,3,l2,6,0.388000,0.428571
mnist_mlp_ceb_beta_0.01,4,none,0,0.987000,
mnist_mlp_ceb_beta_0.01,4,linf,0.3,0.319000,0.555432
mnist_mlp_ceb_beta_0.01,4,l2,6,0.308000,0.533259
mnist_mlp_ceb_beta_0.01,5,none,0,0.977000,
mnist_mlp_ceb_beta_0.01,5,linf,0.3,0.419000,0.284753
mnist_mlp_ceb_beta_0.01,5,l2,6,0.413000,0.273543
mnist_mlp_ceb_beta_0.05,1,none,0,0.982000,
mnist_mlp_ceb_beta_0.05,1,linf,0.3,0.347000,0.452620
mnist_mlp_ceb_beta_0.05,1,l2,6,0.366000,0.462653
mnist_mlp_ceb_beta_0.05,2,none,0,0.978000,
mnist_mlp_ceb_beta_0.05,2,linf,0.3,0.457000,0.253080
mnist_mlp_ceb_beta_0.05,2,l2,6,0.444000,0.266517
mnist_mlp_ceb_beta_0.05,3,none,0,0.980000,
mnist_mlp_ceb_beta_0.05,3,linf,0.3,0.328000,0.467634
mnist_mlp_ceb_beta_0.05,3,l2,6,0.324000,0.464286
mnist_mlp_ceb_beta_0.05,4,none,0,0.981000,
mnist_mlp_ceb_beta_0.05,4,linf,0.3,0.402000,0.348941
mnist_mlp_ceb_beta_0.05,4,l2,6,0.395000,0.361204
mnist_mlp_ceb_beta_0.05,5,none,0,0.978000,
