config,run,norm,eps,acc,succ
mnist_mlp_ceb_beta_0.1,1,none,0,0.982000,
mnist_mlp_ceb_beta_0.1,1,linf,0.05,0.965000,0.002227
mnist_mlp_ceb_beta_0.1,1,linf,0.1,0.906000,0.013363
mnist_mlp_ceb_beta_0.1,1,linf,0.15,0.756000,0.083519
mnist_mlp_ceb_beta_0.1,1,linf,0.2,0.572000,0.211581
mnist_mlp_ceb_beta_0.1,1,linf,0.25,0.435000,0.336303
mnist_mlp_ceb_beta_0.1,1,linf,0.3,0.355000,0.406459
mnist_mlp_ceb_beta_0.1,1,l2,1,0.964000,0.001114
mnist_mlp_ceb_beta_0.1,1,l2,2,0.926000,0.008909
mnist_mlp_ceb_beta_0.1,1,l2,3,0.796000,0.072383
mnist_mlp_ceb_beta_0.1,1,l2,4,0.625000,0.188196
mnist_mlp_ceb_beta_0.1,1,l2,5,0.457000,0.326281
mnist_mlp_ceb_beta_0.1,1,l2,6,0.354000,0.393096
mnist_mlp_ceb_beta_0.1,2,none,0,0.975000,
mnist_mlp_ceb_beta_0.1,2,linf,0.05,0.959000,0.004489
mnist_mlp_ceb_beta_0.1,2,linf,0.1,0.906000,0.008979
mnist_mlp_ceb_beta_0.1,2,linf,0.15,0.784000,0.038159
mnist_mlp_ceb_beta_0.1,2,linf,0.2,0.663000,0.097643
mnist_mlp_ceb_beta_0.1,2,linf,0.25,0.517000,0.178451
mnist_mlp_ceb_beta_0.1,2,linf,0.3,0.416000,0.268238
mnist_mlp_ceb_beta_0.1,2,l2,1,0.962000,0.004489
mnist_mlp_ceb_beta_0.1,2,l2,2,0.916000,0.007856
mnist_mlp_ceb_beta_0.1,2,l2,3,0.821000,0.032548
mnist_mlp_ceb_beta_0.1,2,l2,4,0.673000,0.096521
mnist_mlp_ceb_beta_0.1,2,l2,5,0.526000,0.172840
mnist_mlp_ceb_beta_0.1,2,l2,6,0.414000,0.253648
mnist_mlp_ceb_beta_0.1,3,none,0,0.982000,
mnist_mlp_ceb_beta_0.1,3,linf,0.05,0.963000,0.001114
mnist_mlp_ceb_beta_0.1,3,linf,0.1,0.909000,0.012249
mnist_mlp_ceb_beta_0.1,3,linf,0.15,0.752000,0.079065
mnist_mlp_ceb_beta_0.1,3,linf,0.2,0.604000,0.199332
mnist_mlp_ceb_beta_0.1,3,linf,0.25,0.445000,0.317372
mnist_mlp_ceb_beta_0.1,3,linf,0.3,0.371000,0.388641
mnist_mlp_ceb_beta_0.1,3,l2,1,0.968000,0.001114
mnist_mlp_ceb_beta_0.1,3,l2,2,0.917000,0.008909
mnist_mlp_ceb_beta_0.1,3,l2,3,0.795000,0.059020
mnist_mlp_ceb_beta_0.1,3,l2,4,0.589000,0.212695
mnist_mlp_ceb_beta_0.1,3,l2,5,0.455000,0.306236
mnist_mlp_ceb_beta_0.1,3,l2,6,0.352000,0.377506
mnist_mlp_ceb_beta_0.1,4,none,0,0.977000,
mnist_mlp_ceb_beta_0.1,4,linf,0.05,0.967000,0.002240
mnist_mlp_ceb_beta_0.1,4,linf,0.1,0.922000,0.012318
mnist_mlp_ceb_beta_0.1,4,linf,0.15,0.792000,0.073908
mnist_mlp_ceb_beta_0.1,4,linf,0.2,0.603000,0.219485
mnist_mlp_ceb_beta_0.1,4,linf,0.25,0.448000,0.351624
mnist_mlp_ceb_beta_0.1,4,linf,0.3,0.339000,0.444569
mnist_mlp_ceb_beta_0.1,4,l2,1,0.969000,0.002240
mnist_mlp_ceb_beta_0.1,4,l2,2,0.926000,0.013438
mnist_mlp_ceb_beta_0.1,4,l2,3,0.810000,0.061590
mnist_mlp_ceb_beta_0.1,4,l2,4,0.628000,0.193729
mnist_mlp_ceb_beta_0.1,4,l2,5,0.441000,0.333707
mnist_mlp_ceb_beta_0.1,4,l2,6,0.338000,0.447928
mnist_mlp_ceb_beta_0.1,5,none,0,0.972000,
mnist_mlp_ceb_beta_0.1,5,linf,0.05,0.959000,0.000000
mnist_mlp_ceb_beta_0.1,5,linf,0.1,0.929000,0.004510
mnist_mlp_ceb_beta_0.1,5,linf,0.15,0.832000,0.045096
mnist_mlp_ceb_beta_0.1,5,linf,0.2,0.680000,0.113867
mnist_mlp_ceb_beta_0.1,5,linf,0.25,0.498000,0.259301
mnist_mlp_ceb_beta_0.1,5,linf,0.3,0.380000,0.367531
mnist_mlp_ceb_beta_0.1,5,l2,1,0.961000,0.000000
mnist_mlp_ceb_beta_0.1,5,l2,2,0.929000,0.006764
mnist_mlp_ceb_beta_0.1,5,l2,3,0.833000,0.042841
mnist_mlp_ceb_beta_0.1,5,l2,4,0.687000,0.131905
mnist_mlp_ceb_beta_0.1,5,l2,5,0.490000,0.261556
mnist_mlp_ceb_beta_0.1,5,l2,6,0.361000,0.369786
mnist_mlp_opb_beta_25_anchor_1,1,none,0,0.495000,
mnist_mlp_opb_beta_25_anchor_1,1,linf,0.05,0.405000,0.055928
mnist_mlp_opb_beta_25_anchor_1,1,linf,0.1,0.329000,0.067114
mnist_mlp_opb_beta_25_anchor_1,1,linf,0.15,0.269000,0.082774
mnist_mlp_opb_beta_25_anchor_1,1,linf,0.2,0.215000,0.100671
mnist_mlp_opb_beta_25_anchor_1,1,linf,0.25,0.197000,0.107383
mnist_mlp_opb_beta_25_anchor_1,1,linf,0.3,0.182000,0.116331
mnist_mlp_opb_beta_25_anchor_1,1,l2,1,0.398000,0.071588
mnist_mlp_opb_beta_25_anchor_1,1,l2,2,0.320000,0.071588
mnist_mlp_opb_beta_25_anchor_1,1,l2,3,0.262000,0.091723
mnist_mlp_opb_beta_25_anchor_1,1,l2,4,0.234000,0.096197
mnist_mlp_opb_beta_25_anchor_1,1,l2,5,0.195000,0.085011
mnist_mlp_opb_beta_25_anchor_1,1,l2,6,0.189000,0.114094
mnist_mlp_opb_beta_25_anchor_1,2,none,0,0.525000,
mnist_mlp_opb_beta_25_anchor_1,2,linf,0.05,0.412000,0.033058
mnist_mlp_opb_beta_25_anchor_1,2,linf,0.1,0.367000,0.020661
mnist_mlp_opb_beta_25_anchor_1,2,linf,0.15,0.296000,0.047521
mnist_mlp_opb_beta_25_anchor_1,2,linf,0.2,0.251000,0.039256
mnist_mlp_opb_beta_25_anchor_1,2,linf,0.25,0.223000,0.037190
mnist_mlp_opb_beta_25_anchor_1,2,linf,0.3,0.204000,0.057851
mnist_mlp_opb_beta_25_anchor_1,2,l2,1,0.429000,0.020661
mnist_mlp_opb_beta_25_anchor_1,2,l2,2,0.326000,0.024793
mnist_mlp_opb_beta_25_anchor_1,2,l2,3,0.275000,0.039256
mnist_mlp_opb_beta_25_anchor_1,2,l2,4,0.247000,0.066116
mnist_mlp_opb_beta_25_anchor_1,2,l2,5,0.188000,0.049587
mnist_mlp_opb_beta_25_anchor_1,2,l2,6,0.213000,0.068182
mnist_mlp_opb_beta_25_anchor_1,3,none,0,0.646000,
mnist_mlp_opb_beta_25_anchor_1,3,linf,0.05,0.512000,0.054237
mnist_mlp_opb_beta_25_anchor_1,3,linf,0.1,0.376000,0.072881
mnist_mlp_opb_beta_25_anchor_1,3,linf,0.15,0.298000,0.086441
mnist_mlp_opb_beta_25_anchor_1,3,linf,0.2,0.257000,0.108475
mnist_mlp_opb_beta_25_anchor_1,3,linf,0.25,0.238000,0.108475
mnist_mlp_opb_beta_25_anchor_1,3,linf,0.3,0.219000,0.125424
mnist_mlp_opb_beta_25_anchor_1,3,l2,1,0.494000,0.050847
mnist_mlp_opb_beta_25_anchor_1,3,l2,2,0.372000,0.057627
mnist_mlp_opb_beta_25_anchor_1,3,l2,3,0.302000,0.094915
mnist_mlp_opb_beta_25_anchor_1,3,l2,4,0.253000,0.116949
mnist_mlp_opb_beta_25_anchor_1,3,l2,5,0.222000,0.133898
mnist_mlp_opb_beta_25_anchor_1,3,l2,6,0.182000,0.157627
mnist_mlp_opb_beta_25_anchor_1,4,none,0,0.710000,
mnist_mlp_opb_beta_25_anchor_1,4,linf,0.05,0.592000,0.023364
mnist_mlp_opb_beta_25_anchor_1,4,linf,0.1,0.473000,0.048287
