config,run,norm,eps,acc,succ
mnist_mlp_ceb_beta_0.005,1,none,0,0.982000,
mnist_mlp_ceb_beta_0.005,1,linf,0.05,0.927000,0.056008
mnist_mlp_ceb_beta_0.005,1,linf,0.1,0.758000,0.228106
mnist_mlp_ceb_beta_0.005,1,linf,0.15,0.494000,0.496945
mnist_mlp_ceb_beta_0.005,1,linf,0.2,0.301000,0.693483
mnist_mlp_ceb_beta_0.005,1,linf,0.25,0.156000,0.841141
mnist_mlp_ceb_beta_0.005,1,linf,0.3,0.068000,0.930754
mnist_mlp_ceb_beta_0.005,1,l2,1,0.926000,0.057026
mnist_mlp_ceb_beta_0.005,1,l2,2,0.774000,0.211813
mnist_mlp_ceb_beta_0.005,1,l2,3,0.488000,0.503055
mnist_mlp_ceb_beta_0.005,1,l2,4,0.300000,0.694501
mnist_mlp_ceb_beta_0.005,1,l2,5,0.162000,0.835031
mnist_mlp_ceb_beta_0.005,1,l2,6,0.068000,0.930754
mnist_mlp_ceb_beta_0.005,2,none,0,0.980000,
mnist_mlp_ceb_beta_0.005,2,linf,0.05,0.922000,0.059184
mnist_mlp_ceb_beta_0.005,2,linf,0.1,0.766000,0.218367
mnist_mlp_ceb_beta_0.005,2,linf,0.15,0.518000,0.471429
mnist_mlp_ceb_beta_0.005,2,linf,0.2,0.288000,0.706122
mnist_mlp_ceb_beta_0.005,2,linf,0.25,0.134000,0.863265
mnist_mlp_ceb_beta_0.005,2,linf,0.3,0.062000,0.936735
mnist_mlp_ceb_beta_0.005,2,l2,1,0.922000,0.059184
mnist_mlp_ceb_beta_0.005,2,l2,2,0.772000,0.212245
mnist_mlp_ceb_beta_0.005,2,l2,3,0.523000,0.466327
mnist_mlp_ceb_beta_0.005,2,l2,4,0.285000,0.709184
mnist_mlp_ceb_beta_0.005,2,l2,5,0.143000,0.854082
mnist_mlp_ceb_beta_0.005,2,l2,6,0.064000,0.934694
mnist_mlp_ceb_beta_0.005,3,none,0,0.980000,
mnist_mlp_ceb_beta_0.005,3,linf,0.05,0.926000,0.055102
mnist_mlp_ceb_beta_0.005,3,linf,0.1,0.749000,0.235714
mnist_mlp_ceb_beta_0.005,3,linf,0.15,0.476000,0.514286
mnist_mlp_ceb_beta_0.005,3,linf,0.2,0.277000,0.717347
mnist_mlp_ceb_beta_0.005,3,linf,0.25,0.153000,0.843878
mnist_mlp_ceb_beta_0.005,3,linf,0.3,0.068000,0.930612
mnist_mlp_ceb_beta_0.005,3,l2,1,0.929000,0.052041
mnist_mlp_ceb_beta_0.005,3,l2,2,0.768000,0.216327
mnist_mlp_ceb_beta_0.005,3,l2,3,0.494000,0.495918
mnist_mlp_ceb_beta_0.005,3,l2,4,0.286000,0.708163
mnist_mlp_ceb_beta_0.005,3,l2,5,0.142000,0.855102
mnist_mlp_ceb_beta_0.005,3,l2,6,0.067000,0.931633
mnist_mlp_ceb_beta_0.005,4,none,0,0.982000,
mnist_mlp_ceb_beta_0.005,4,linf,0.05,0.939000,0.043788
mnist_mlp_ceb_beta_0.005,4,linf,0.1,0.783000,0.202648
mnist_mlp_ceb_beta_0.005,4,linf,0.15,0.512000,0.478615
mnist_mlp_ceb_beta_0.005,4,linf,0.2,0.294000,0.700611
mnist_mlp_ceb_beta_0.005,4,linf,0.25,0.154000,0.843177
mnist_mlp_ceb_beta_0.005,4,linf,0.3,0.076000,0.922607
mnist_mlp_ceb_beta_0.005,4,l2,1,0.940000,0.042770
mnist_mlp_ceb_beta_0.005,4,l2,2,0.785000,0.200611
mnist_mlp_ceb_beta_0.005,4,l2,3,0.517000,0.473523
mnist_mlp_ceb_beta_0.005,4,l2,4,0.291000,0.703666
mnist_mlp_ceb_beta_0.005,4,l2,5,0.155000,0.842159
mnist_mlp_ceb_beta_0.005,4,l2,6,0.083000,0.915479
mnist_mlp_ceb_beta_0.005,5,none,0,0.982000,
mnist_mlp_ceb_beta_0.005,5,linf,0.05,0.911000,0.072301
mnist_mlp_ceb_beta_0.005,5,linf,0.1,0.754000,0.232179
mnist_mlp_ceb_beta_0.005,5,linf,0.15,0.472000,0.519348
mnist_mlp_ceb_beta_0.005,5,linf,0.2,0.265000,0.730143
mnist_mlp_ceb_beta_0.005,5,linf,0.25,0.125000,0.872709
mnist_mlp_ceb_beta_0.005,5,linf,0.3,0.047000,0.952138
mnist_mlp_ceb_beta_0.005,5,l2,1,0.911000,0.072301
mnist_mlp_ceb_beta_0.005,5,l2,2,0.759000,0.227088
mnist_mlp_ceb_beta_0.005,5,l2,3,0.502000,0.488798
mnist_mlp_ceb_beta_0.005,5,l2,4,0.267000,0.728106
mnist_mlp_ceb_beta_0.005,5,l2,5,0.128000,0.869654
mnist_mlp_ceb_beta_0.005,5,l2,6,0.055000,0.943992
