config,run,norm,eps,acc,succ
mnist_mlp_ceb_beta_5e-05,1,none,0,0.980000,
mnist_mlp_ceb_beta_5e-05,1,linf,0.05,0.924000,0.057143
mnist_mlp_ceb_beta_5e-05,1,linf,0.1,0.777000,0.207143
mnist_mlp_ceb_beta_5e-05,1,linf,0.15,0.487000,0.503061
mnist_mlp_ceb_beta_5e-05,1,linf,0.2,0.255000,0.739796
mnist_mlp_ceb_beta_5e-05,1,linf,0.25,0.135000,0.862245
mnist_mlp_ceb_beta_5e-05,1,linf,0.3,0.091000,0.907143
mnist_mlp_ceb_beta_5e-05,1,l2,1,0.926000,0.055102
mnist_mlp_ceb_beta_5e-05,1,l2,2,0.773000,0.211224
mnist_mlp_ceb_beta_5e-05,1,l2,3,0.488000,0.502041
mnist_mlp_ceb_beta_5e-05,1,l2,4,0.233000,0.762245
mnist_mlp_ceb_beta_5e-05,1,l2,5,0.127000,0.870408
mnist_mlp_ceb_beta_5e-05,1,l2,6,0.085000,0.913265
mnist_mlp_ceb_beta_5e-05,2,none,0,0.984000,
mnist_mlp_ceb_beta_5e-05,2,linf,0.05,0.940000,0.044715
mnist_mlp_ceb_beta_5e-05,2,linf,0.1,0.788000,0.199187
mnist_mlp_ceb_beta_5e-05,2,linf,0.15,0.501000,0.490854
mnist_mlp_ceb_beta_5e-05,2,linf,0.2,0.285000,0.710366
mnist_mlp_ceb_beta_5e-05,2,linf,0.25,0.170000,0.827236
mnist_mlp_ceb_beta_5e-05,2,linf,0.3,0.118000,0.880081
mnist_mlp_ceb_beta_5e-05,2,l2,1,0.937000,0.047764
mnist_mlp_ceb_beta_5e-05,2,l2,2,0.782000,0.205285
mnist_mlp_ceb_beta_5e-05,2,l2,3,0.491000,0.501016
mnist_mlp_ceb_beta_5e-05,2,l2,4,0.269000,0.726626
mnist_mlp_ceb_beta_5e-05,2,l2,5,0.156000,0.841463
mnist_mlp_ceb_beta_5e-05,2,l2,6,0.112000,0.886179
mnist_mlp_ceb_beta_5e-05,3,none,0,0.981000,
mnist_mlp_ceb_beta_5e-05,3,linf,0.05,0.940000,0.041794
mnist_mlp_ceb_beta_5e-05,3,linf,0.1,0.761000,0.224261
mnist_mlp_ceb_beta_5e-05,3,linf,0.15,0.417000,0.574924
mnist_mlp_ceb_beta_5e-05,3,linf,0.2,0.219000,0.776758
mnist_mlp_ceb_beta_5e-05,3,linf,0.25,0.106000,0.891947
mnist_mlp_ceb_beta_5e-05,3,linf,0.3,0.059000,0.939857
mnist_mlp_ceb_beta_5e-05,3,l2,1,0.938000,0.043833
mnist_mlp_ceb_beta_5e-05,3,l2,2,0.764000,0.221203
mnist_mlp_ceb_beta_5e-05,3,l2,3,0.427000,0.564730
mnist_mlp_ceb_beta_5e-05,3,l2,4,0.222000,0.773700
mnist_mlp_ceb_beta_5e-05,3,l2,5,0.105000,0.892966
mnist_mlp_ceb_beta_5e-05,3,l2,6,0.063000,0.935780
mnist_mlp_ceb_beta_5e-05,4,none,0,0.976000,
mnist_mlp_ceb_beta_5e-05,4,linf,0.05,0.927000,0.050205
mnist_mlp_ceb_beta_5e-05,4,linf,0.1,0.720000,0.262295
mnist_mlp_ceb_beta_5e-05,4,linf,0.15,0.424000,0.565574
mnist_mlp_ceb_beta_5e-05,4,linf,0.2,0.202000,0.793033
mnist_mlp_ceb_beta_5e-05,4,linf,0.25,0.081000,0.917008
mnist_mlp_ceb_beta_5e-05,4,linf,0.3,0.032000,0.967213
mnist_mlp_ceb_beta_5e-05,4,l2,1,0.925000,0.052254
mnist_mlp_ceb_beta_5e-05,4,l2,2,0.733000,0.248975
mnist_mlp_ceb_beta_5e-05,4,l2,3,0.425000,0.564549
mnist_mlp_ceb_beta_5e-05,4,l2,4,0.209000,0.785861
mnist_mlp_ceb_beta_5e-05,4,l2,5,0.089000,0.908811
mnist_mlp_ceb_beta_5e-05,4,l2,6,0.033000,0.966189
mnist_mlp_ceb_beta_5e-05,5,none,0,0.974000,
mnist_mlp_ceb_beta_5e-05,5,linf,0.05,0.903000,0.072895
mnist_mlp_ceb_beta_5e-05,5,linf,0.1,0.731000,0.249487
mnist_mlp_ceb_beta_5e-05,5,linf,0.15,0.483000,0.504107
mnist_mlp_ceb_beta_5e-05,5,linf,0.2,0.224000,0.770021
mnist_mlp_ceb_beta_5e-05,5,linf,0.25,0.117000,0.879877
mnist_mlp_ceb_beta_5e-05,5,linf,0.3,0.079000,0.918891
mnist_mlp_ceb_beta_5e-05,5,l2,1,0.903000,0.072895
mnist_mlp_ceb_beta_5e-05,5,l2,2,0.730000,0.250513
mnist_mlp_ceb_beta_5e-05,5,l2,3,0.494000,0.492813
mnist_mlp_ceb_beta_5e-05,5,l2,4,0.227000,0.766940
mnist_mlp_ceb_beta_5e-05,5,l2,5,0.117000,0.879877
mnist_mlp_ceb_beta_5e-05,5,l2,6,0.072000,0.926078
