config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_0.0001_anchor_12,1,none,0,0.981000,
mnist_mlp_opb_beta_0.0001_anchor_12,1,linf,0.05,0.919000,0.063201
mnist_mlp_opb_beta_0.0001_anchor_12,1,linf,0.1,0.750000,0.235474
mnist_mlp_opb_beta_0.0001_anchor_12,1,linf,0.15,0.462000,0.529052
mnist_mlp_opb_beta_0.0001_anchor_12,1,linf,0.2,0.206000,0.790010
mnist_mlp_opb_beta_0.0001_anchor_12,1,linf,0.25,0.077000,0.921509
mnist_mlp_opb_beta_0.0001_anchor_12,1,linf,0.3,0.028000,0.971458
mnist_mlp_opb_beta_0.0001_anchor_12,1,l2,1,0.921000,0.061162
mnist_mlp_opb_beta_0.0001_anchor_12,1,l2,2,0.760000,0.225280
mnist_mlp_opb_beta_0.0001_anchor_12,1,l2,3,0.489000,0.501529
mnist_mlp_opb_beta_0.0001_anchor_12,1,l2,4,0.263000,0.731906
mnist_mlp_opb_beta_0.0001_anchor_12,1,l2,5,0.182000,0.814475
mnist_mlp_opb_beta_0.0001_anchor_12,1,l2,6,0.146000,0.851172
mnist_mlp_opb_beta_0.0001_anchor_12,2,none,0,0.981000,
mnist_mlp_opb_beta_0.0001_anchor_12,2,linf,0.05,0.914000,0.068298
mnist_mlp_opb_beta_0.0001_anchor_12,2,linf,0.1,0.728000,0.257900
mnist_mlp_opb_beta_0.0001_anchor_12,2,linf,0.15,0.415000,0.576962
mnist_mlp_opb_beta_0.0001_anchor_12,2,linf,0.2,0.176000,0.820591
mnist_mlp_opb_beta_0.0001_anchor_12,2,linf,0.25,0.062000,0.936799
mnist_mlp_opb_beta_0.0001_anchor_12,2,linf,0.3,0.026000,0.973496
mnist_mlp_opb_beta_0.0001_anchor_12,2,l2,1,0.922000,0.060143
mnist_mlp_opb_beta_0.0001_anchor_12,2,l2,2,0.757000,0.228338
mnist_mlp_opb_beta_0.0001_anchor_12,2,l2,3,0.459000,0.532110
mnist_mlp_opb_beta_0.0001_anchor_12,2,l2,4,0.208000,0.787971
mnist_mlp_opb_beta_0.0001_anchor_12,2,l2,5,0.091000,0.907238
mnist_mlp_opb_beta_0.0001_anchor_12,2,l2,6,0.053000,0.945974
mnist_mlp_opb_beta_0.0001_anchor_12,3,none,0,0.983000,
mnist_mlp_opb_beta_0.0001_anchor_12,3,linf,0.05,0.914000,0.070193
mnist_mlp_opb_beta_0.0001_anchor_12,3,linf,0.1,0.731000,0.256358
mnist_mlp_opb_beta_0.0001_anchor_12,3,linf,0.15,0.404000,0.589013
mnist_mlp_opb_beta_0.0001_anchor_12,3,linf,0.2,0.155000,0.842319
mnist_mlp_opb_beta_0.0001_anchor_12,3,linf,0.25,0.063000,0.935910
mnist_mlp_opb_beta_0.0001_anchor_12,3,linf,0.3,0.027000,0.972533
mnist_mlp_opb_beta_0.0001_anchor_12,3,l2,1,0.919000,0.065107
mnist_mlp_opb_beta_0.0001_anchor_12,3,l2,2,0.750000,0.237029
mnist_mlp_opb_beta_0.0001_anchor_12,3,l2,3,0.448000,0.544252
mnist_mlp_opb_beta_0.0001_anchor_12,3,l2,4,0.198000,0.798576
mnist_mlp_opb_beta_0.0001_anchor_12,3,l2,5,0.072000,0.926755
mnist_mlp_opb_beta_0.0001_anchor_12,3,l2,6,0.034000,0.965412
mnist_mlp_opb_beta_0.0001_anchor_12,4,none,0,0.978000,
mnist_mlp_opb_beta_0.0001_anchor_12,4,linf,0.05,0.922000,0.057260
mnist_mlp_opb_beta_0.0001_anchor_12,4,linf,0.1,0.728000,0.255624
mnist_mlp_opb_beta_0.0001_anchor_12,4,linf,0.15,0.455000,0.534765
mnist_mlp_opb_beta_0.0001_anchor_12,4,linf,0.2,0.185000,0.810838
mnist_mlp_opb_beta_0.0001_anchor_12,4,linf,0.25,0.057000,0.941718
mnist_mlp_opb_beta_0.0001_anchor_12,4,linf,0.3,0.022000,0.977505
mnist_mlp_opb_beta_0.0001_anchor_12,4,l2,1,0.921000,0.058282
mnist_mlp_opb_beta_0.0001_anchor_12,4,l2,2,0.739000,0.244376
mnist_mlp_opb_beta_0.0001_anchor_12,4,l2,3,0.470000,0.519427
mnist_mlp_opb_beta_0.0001_anchor_12,4,l2,4,0.219000,0.776074
mnist_mlp_opb_beta_0.0001_anchor_12,4,l2,5,0.130000,0.867076
mnist_mlp_opb_beta_0.0001_anchor_12,4,l2,6,0.099000,0.898773
mnist_mlp_opb_beta_0.0001_anchor_12,5,none,0,0.977000,
mnist_mlp_opb_beta_0.0001_anchor_12,5,linf,0.05,0.919000,0.059365
mnist_mlp_opb_beta_0.0001_anchor_12,5,linf,0.1,0.733000,0.249744
mnist_mlp_opb_beta_0.0001_anchor_12,5,linf,0.15,0.433000,0.556807
mnist_mlp_opb_beta_0.0001_anchor_12,5,linf,0.2,0.194000,0.801433
mnist_mlp_opb_beta_0.0001_anchor_12,5,linf,0.25,0.077000,0.921187
mnist_mlp_opb_beta_0.0001_anchor_12,5,linf,0.3,0.029000,0.970317
mnist_mlp_opb_beta_0.0001_anchor_12,5,l2,1,0.924000,0.054248
mnist_mlp_opb_beta_0.0001_anchor_12,5,l2,2,0.755000,0.227226
mnist_mlp_opb_beta_0.0001_anchor_12,5,l2,3,0.465000,0.524053
mnist_mlp_opb_beta_0.0001_anchor_12,5,l2,4,0.226000,0.768680
mnist_mlp_opb_beta_0.0001_anchor_12,5,l2,5,0.092000,0.905834
mnist_mlp_opb_beta_0.0001_anchor_12,5,l2,6,0.048000,0.950870
