config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_5e-05_anchor_6,1,none,0,0.978000,
mnist_mlp_opb_beta_5e-05_anchor_6,1,linf,0.05,0.927000,0.052147
mnist_mlp_opb_beta_5e-05_anchor_6,1,linf,0.1,0.753000,0.230061
mnist_mlp_opb_beta_5e-05_anchor_6,1,linf,0.15,0.475000,0.514315
mnist_mlp_opb_beta_5e-05_anchor_6,1,linf,0.2,0.201000,0.794479
mnist_mlp_opb_beta_5e-05_anchor_6,1,linf,0.25,0.079000,0.919223
mnist_mlp_opb_beta_5e-05_anchor_6,1,linf,0.3,0.033000,0.966258
mnist_mlp_opb_beta_5e-05_anchor_6,1,l2,1,0.928000,0.051125
mnist_mlp_opb_beta_5e-05_anchor_6,1,l2,2,0.758000,0.224949
mnist_mlp_opb_beta_5e-05_anchor_6,1,l2,3,0.492000,0.496933
mnist_mlp_opb_beta_5e-05_anchor_6,1,l2,4,0.216000,0.779141
mnist_mlp_opb_beta_5e-05_anchor_6,1,l2,5,0.093000,0.904908
mnist_mlp_opb_beta_5e-05_anchor_6,1,l2,6,0.048000,0.950920
mnist_mlp_opb_beta_5e-05_anchor_6,2,none,0,0.981000,
mnist_mlp_opb_beta_5e-05_anchor_6,2,linf,0.05,0.930000,0.051988
mnist_mlp_opb_beta_5e-05_anchor_6,2,linf,0.1,0.781000,0.203874
mnist_mlp_opb_beta_5e-05_anchor_6,2,linf,0.15,0.483000,0.507645
mnist_mlp_opb_beta_5e-05_anchor_6,2,linf,0.2,0.226000,0.769623
mnist_mlp_opb_beta_5e-05_anchor_6,2,linf,0.25,0.082000,0.916412
mnist_mlp_opb_beta_5e-05_anchor_6,2,linf,0.3,0.032000,0.967380
mnist_mlp_opb_beta_5e-05_anchor_6,2,l2,1,0.932000,0.049949
mnist_mlp_opb_beta_5e-05_anchor_6,2,l2,2,0.790000,0.194699
mnist_mlp_opb_beta_5e-05_anchor_6,2,l2,3,0.486000,0.504587
mnist_mlp_opb_beta_5e-05_anchor_6,2,l2,4,0.222000,0.773700
mnist_mlp_opb_beta_5e-05_anchor_6,2,l2,5,0.102000,0.896024
mnist_mlp_opb_beta_5e-05_anchor_6,2,l2,6,0.056000,0.942915
mnist_mlp_opb_beta_5e-05_anchor_6,3,none,0,0.977000,
mnist_mlp_opb_beta_5e-05_anchor_6,3,linf,0.05,0.924000,0.054248
mnist_mlp_opb_beta_5e-05_anchor_6,3,linf,0.1,0.754000,0.228250
mnist_mlp_opb_beta_5e-05_anchor_6,3,linf,0.15,0.454000,0.535312
mnist_mlp_opb_beta_5e-05_anchor_6,3,linf,0.2,0.230000,0.764585
mnist_mlp_opb_beta_5e-05_anchor_6,3,linf,0.25,0.098000,0.899693
mnist_mlp_opb_beta_5e-05_anchor_6,3,linf,0.3,0.026000,0.973388
mnist_mlp_opb_beta_5e-05_anchor_6,3,l2,1,0.923000,0.055271
mnist_mlp_opb_beta_5e-05_anchor_6,3,l2,2,0.771000,0.210850
mnist_mlp_opb_beta_5e-05_anchor_6,3,l2,3,0.477000,0.511771
mnist_mlp_opb_beta_5e-05_anchor_6,3,l2,4,0.236000,0.758444
mnist_mlp_opb_beta_5e-05_anchor_6,3,l2,5,0.103000,0.894575
mnist_mlp_opb_beta_5e-05_anchor_6,3,l2,6,0.046000,0.952917
mnist_mlp_opb_beta_5e-05_anchor_6,4,none,0,0.984000,
mnist_mlp_opb_beta_5e-05_anchor_6,4,linf,0.05,0.931000,0.053862
mnist_mlp_opb_beta_5e-05_anchor_6,4,linf,0.1,0.766000,0.221545
mnist_mlp_opb_beta_5e-05_anchor_6,4,linf,0.15,0.493000,0.498984
mnist_mlp_opb_beta_5e-05_anchor_6,4,linf,0.2,0.209000,0.787602
mnist_mlp_opb_beta_5e-05_anchor_6,4,linf,0.25,0.069000,0.929878
mnist_mlp_opb_beta_5e-05_anchor_6,4,linf,0.3,0.029000,0.970528
mnist_mlp_opb_beta_5e-05_anchor_6,4,l2,1,0.932000,0.052846
mnist_mlp_opb_beta_5e-05_anchor_6,4,l2,2,0.782000,0.205285
mnist_mlp_opb_beta_5e-05_anchor_6,4,l2,3,0.494000,0.497967
mnist_mlp_opb_beta_5e-05_anchor_6,4,l2,4,0.226000,0.770325
mnist_mlp_opb_beta_5e-05_anchor_6,4,l2,5,0.113000,0.885163
mnist_mlp_opb_beta_5e-05_anchor_6,4,l2,6,0.087000,0.911585
mnist_mlp_opb_beta_5e-05_anchor_6,5,none,0,0.984000,
mnist_mlp_opb_beta_5e-05_anchor_6,5,linf,0.05,0.930000,0.054878
mnist_mlp_opb_beta_5e-05_anchor_6,5,linf,0.1,0.755000,0.232724
mnist_mlp_opb_beta_5e-05_anchor_6,5,linf,0.15,0.469000,0.523374
mnist_mlp_opb_beta_5e-05_anchor_6,5,linf,0.2,0.191000,0.805894
mnist_mlp_opb_beta_5e-05_anchor_6,5,linf,0.25,0.075000,0.923780
mnist_mlp_opb_beta_5e-05_anchor_6,5,linf,0.3,0.032000,0.967480
mnist_mlp_opb_beta_5e-05_anchor_6,5,l2,1,0.931000,0.053862
mnist_mlp_opb_beta_5e-05_anchor_6,5,l2,2,0.763000,0.224594
mnist_mlp_opb_beta_5e-05_anchor_6,5,l2,3,0.484000,0.508130
mnist_mlp_opb_beta_5e-05_anchor_6,5,l2,4,0.209000,0.787602
mnist_mlp_opb_beta_5e-05_anchor_6,5,l2,5,0.084000,0.914634
mnist_mlp_opb_beta_5e-05_anchor_6,5,l2,6,0.044000,0.955285
