config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_10_anchor_1,1,none,0,0.976000,
mnist_mlp_opb_beta_10_anchor_1,1,linf,0.05,0.936000,0.040984
mnist_mlp_opb_beta_10_anchor_1,1,linf,0.1,0.807000,0.173156
mnist_mlp_opb_beta_10_anchor_1,1,linf,0.15,0.549000,0.437500
mnist_mlp_opb_beta_10_anchor_1,1,linf,0.2,0.354000,0.637295
mnist_mlp_opb_beta_10_anchor_1,1,linf,0.25,0.208000,0.786885
mnist_mlp_opb_beta_10_anchor_1,1,linf,0.3,0.132000,0.864754
mnist_mlp_opb_beta_10_anchor_1,1,l2,1,0.938000,0.038934
mnist_mlp_opb_beta_10_anchor_1,1,l2,2,0.819000,0.160861
mnist_mlp_opb_beta_10_anchor_1,1,l2,3,0.594000,0.391393
mnist_mlp_opb_beta_10_anchor_1,1,l2,4,0.338000,0.653689
mnist_mlp_opb_beta_10_anchor_1,1,l2,5,0.217000,0.777664
mnist_mlp_opb_beta_10_anchor_1,1,l2,6,0.136000,0.860656
mnist_mlp_opb_beta_10_anchor_1,2,none,0,0.980000,
mnist_mlp_opb_beta_10_anchor_1,2,linf,0.05,0.922000,0.059184
mnist_mlp_opb_beta_10_anchor_1,2,linf,0.1,0.738000,0.246939
mnist_mlp_opb_beta_10_anchor_1,2,linf,0.15,0.491000,0.498980
mnist_mlp_opb_beta_10_anchor_1,2,linf,0.2,0.330000,0.663265
mnist_mlp_opb_beta_10_anchor_1,2,linf,0.25,0.196000,0.800000
mnist_mlp_opb_beta_10_anchor_1,2,linf,0.3,0.126000,0.871429
mnist_mlp_opb_beta_10_anchor_1,2,l2,1,0.927000,0.054082
mnist_mlp_opb_beta_10_anchor_1,2,l2,2,0.792000,0.191837
mnist_mlp_opb_beta_10_anchor_1,2,l2,3,0.502000,0.487755
mnist_mlp_opb_beta_10_anchor_1,2,l2,4,0.330000,0.663265
mnist_mlp_opb_beta_10_anchor_1,2,l2,5,0.204000,0.791837
mnist_mlp_opb_beta_10_anchor_1,2,l2,6,0.115000,0.882653
mnist_mlp_opb_beta_10_anchor_1,3,none,0,0.975000,
mnist_mlp_opb_beta_10_anchor_1,3,linf,0.05,0.923000,0.053333
mnist_mlp_opb_beta_10_anchor_1,3,linf,0.1,0.779000,0.201026
mnist_mlp_opb_beta_10_anchor_1,3,linf,0.15,0.488000,0.499487
mnist_mlp_opb_beta_10_anchor_1,3,linf,0.2,0.278000,0.714872
mnist_mlp_opb_beta_10_anchor_1,3,linf,0.25,0.139000,0.857436
mnist_mlp_opb_beta_10_anchor_1,3,linf,0.3,0.072000,0.926154
mnist_mlp_opb_beta_10_anchor_1,3,l2,1,0.923000,0.053333
mnist_mlp_opb_beta_10_anchor_1,3,l2,2,0.795000,0.184615
mnist_mlp_opb_beta_10_anchor_1,3,l2,3,0.503000,0.484103
mnist_mlp_opb_beta_10_anchor_1,3,l2,4,0.280000,0.712821
mnist_mlp_opb_beta_10_anchor_1,3,l2,5,0.140000,0.856410
mnist_mlp_opb_beta_10_anchor_1,3,l2,6,0.069000,0.929231
mnist_mlp_opb_beta_10_anchor_1,4,none,0,0.973000,
mnist_mlp_opb_beta_10_anchor_1,4,linf,0.05,0.908000,0.066804
mnist_mlp_opb_beta_10_anchor_1,4,linf,0.1,0.665000,0.316547
mnist_mlp_opb_beta_10_anchor_1,4,linf,0.15,0.405000,0.583762
mnist_mlp_opb_beta_10_anchor_1,4,linf,0.2,0.212000,0.782117
mnist_mlp_opb_beta_10_anchor_1,4,linf,0.25,0.091000,0.906475
mnist_mlp_opb_beta_10_anchor_1,4,linf,0.3,0.058000,0.940391
mnist_mlp_opb_beta_10_anchor_1,4,l2,1,0.920000,0.054471
mnist_mlp_opb_beta_10_anchor_1,4,l2,2,0.712000,0.268243
mnist_mlp_opb_beta_10_anchor_1,4,l2,3,0.424000,0.564234
mnist_mlp_opb_beta_10_anchor_1,4,l2,4,0.222000,0.771840
mnist_mlp_opb_beta_10_anchor_1,4,l2,5,0.096000,0.901336
mnist_mlp_opb_beta_10_anchor_1,4,l2,6,0.050000,0.948613
mnist_mlp_opb_beta_10_anchor_1,5,none,0,0.974000,
mnist_mlp_opb_beta_10_anchor_1,5,linf,0.05,0.940000,0.034908
mnist_mlp_opb_beta_10_anchor_1,5,linf,0.1,0.803000,0.175565
mnist_mlp_opb_beta_10_anchor_1,5,linf,0.15,0.549000,0.436345
mnist_mlp_opb_beta_10_anchor_1,5,linf,0.2,0.349000,0.641684
mnist_mlp_opb_beta_10_anchor_1,5,linf,0.25,0.210000,0.784394
mnist_mlp_opb_beta_10_anchor_1,5,linf,0.3,0.125000,0.871663
mnist_mlp_opb_beta_10_anchor_1,5,l2,1,0.941000,0.033881
mnist_mlp_opb_beta_10_anchor_1,5,l2,2,0.814000,0.164271
mnist_mlp_opb_beta_10_anchor_1,5,l2,3,0.559000,0.426078
mnist_mlp_opb_beta_10_anchor_1,5,l2,4,0.343000,0.647844
mnist_mlp_opb_beta_10_anchor_1,5,l2,5,0.204000,0.790554
mnist_mlp_opb_beta_10_anchor_1,5,l2,6,0.125000,0.871663
