config,run,norm,eps,acc,succ
mnist_mlp→mnist_mlp_ceb_beta_0.1,1,none,0,0.981000,
mnist_mlp→mnist_mlp_ceb_beta_0.1,1,linf,0.05,0.957000,0.024465
mnist_mlp→mnist_mlp_ceb_beta_0.1,1,linf,0.1,0.903000,0.079511
mnist_mlp→mnist_mlp_ceb_beta_0.1,1,linf,0.15,0.807000,0.177370
mnist_mlp→mnist_mlp_ceb_beta_0.1,1,linf,0.2,0.647000,0.340469
mnist_mlp→mnist_mlp_ceb_beta_0.1,1,linf,0.25,0.469000,0.521916
mnist_mlp→mnist_mlp_ceb_beta_0.1,1,linf,0.3,0.347000,0.646279
mnist_mlp→mnist_mlp_ceb_beta_0.1,1,l2,1,0.956000,0.025484
mnist_mlp→mnist_mlp_ceb_beta_0.1,1,l2,2,0.892000,0.090724
mnist_mlp→mnist_mlp_ceb_beta_0.1,1,l2,3,0.789000,0.195719
mnist_mlp→mnist_mlp_ceb_beta_0.1,1,l2,4,0.590000,0.398573
mnist_mlp→mnist_mlp_ceb_beta_0.1,1,l2,5,0.376000,0.616718
mnist_mlp→mnist_mlp_ceb_beta_0.1,1,l2,6,0.241000,0.754332
mnist_mlp→mnist_mlp_ceb_beta_0.1,2,none,0,0.975000,
mnist_mlp→mnist_mlp_ceb_beta_0.1,2,linf,0.05,0.957000,0.018462
mnist_mlp→mnist_mlp_ceb_beta_0.1,2,linf,0.1,0.886000,0.091282
mnist_mlp→mnist_mlp_ceb_beta_0.1,2,linf,0.15,0.737000,0.244103
mnist_mlp→mnist_mlp_ceb_beta_0.1,2,linf,0.2,0.599000,0.385641
mnist_mlp→mnist_mlp_ceb_beta_0.1,2,linf,0.25,0.471000,0.516923
mnist_mlp→mnist_mlp_ceb_beta_0.1,2,linf,0.3,0.353000,0.637949
mnist_mlp→mnist_mlp_ceb_beta_0.1,2,l2,1,0.952000,0.023590
mnist_mlp→mnist_mlp_ceb_beta_0.1,2,l2,2,0.887000,0.090256
mnist_mlp→mnist_mlp_ceb_beta_0.1,2,l2,3,0.734000,0.247180
mnist_mlp→mnist_mlp_ceb_beta_0.1,2,l2,4,0.551000,0.434872
mnist_mlp→mnist_mlp_ceb_beta_0.1,2,l2,5,0.373000,0.617436
mnist_mlp→mnist_mlp_ceb_beta_0.1,2,l2,6,0.237000,0.756923
mnist_mlp→mnist_mlp_ceb_beta_0.1,3,none,0,0.980000,
mnist_mlp→mnist_mlp_ceb_beta_0.1,3,linf,0.05,0.959000,0.021429
mnist_mlp→mnist_mlp_ceb_beta_0.1,3,linf,0.1,0.908000,0.073469
mnist_mlp→mnist_mlp_ceb_beta_0.1,3,linf,0.15,0.781000,0.203061
mnist_mlp→mnist_mlp_ceb_beta_0.1,3,linf,0.2,0.600000,0.387755
mnist_mlp→mnist_mlp_ceb_beta_0.1,3,linf,0.25,0.465000,0.525510
mnist_mlp→mnist_mlp_ceb_beta_0.1,3,linf,0.3,0.355000,0.637755
mnist_mlp→mnist_mlp_ceb_beta_0.1,3,l2,1,0.956000,0.024490
