config,run,norm,eps,acc,succ
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,1,none,0,0.986000,
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,1,linf,0.05,0.960000,0.026369
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,1,linf,0.1,0.902000,0.085193
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,1,linf,0.15,0.750000,0.239351
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,1,linf,0.2,0.515000,0.477688
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,1,linf,0.25,0.341000,0.654158
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,1,linf,0.3,0.227000,0.769777
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,1,l2,1,0.959000,0.027383
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,1,l2,2,0.888000,0.099392
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,1,l2,3,0.725000,0.264706
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,1,l2,4,0.467000,0.526369
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,1,l2,5,0.289000,0.706897
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,1,l2,6,0.170000,0.827586
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,2,none,0,0.983000,
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,2,linf,0.05,0.960000,0.023398
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,2,linf,0.1,0.888000,0.096643
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,2,linf,0.15,0.754000,0.232960
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,2,linf,0.2,0.540000,0.450661
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,2,linf,0.25,0.367000,0.626653
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,2,linf,0.3,0.216000,0.780264
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,2,l2,1,0.957000,0.026450
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,2,l2,2,0.877000,0.107833
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,2,l2,3,0.724000,0.263479
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,2,l2,4,0.522000,0.468973
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,2,l2,5,0.309000,0.685656
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,2,l2,6,0.171000,0.826043
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,3,none,0,0.983000,
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,3,linf,0.05,0.959000,0.024415
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,3,linf,0.1,0.899000,0.085453
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,3,linf,0.15,0.734000,0.253306
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,3,linf,0.2,0.496000,0.495422
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,3,linf,0.25,0.346000,0.648016
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,3,linf,0.3,0.210000,0.786368
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,3,l2,1,0.960000,0.023398
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,3,l2,2,0.879000,0.105799
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,3,l2,3,0.716000,0.271617
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,3,l2,4,0.477000,0.514751
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,3,l2,5,0.297000,0.697864
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,3,l2,6,0.184000,0.812818
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,4,none,0,0.985000,
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,4,linf,0.05,0.957000,0.028426
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,4,linf,0.1,0.886000,0.100508
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,4,linf,0.15,0.715000,0.274112
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,4,linf,0.2,0.514000,0.478173
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,4,linf,0.25,0.346000,0.648731
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,4,linf,0.3,0.211000,0.785787
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,4,l2,1,0.950000,0.035533
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,4,l2,2,0.879000,0.107614
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,4,l2,3,0.701000,0.288325
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,4,l2,4,0.452000,0.541117
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,4,l2,5,0.312000,0.683249
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,4,l2,6,0.199000,0.797970
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,5,none,0,0.978000,
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,5,linf,0.05,0.963000,0.015337
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,5,linf,0.1,0.896000,0.083845
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,5,linf,0.15,0.721000,0.262781
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,5,linf,0.2,0.543000,0.444785
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,5,linf,0.25,0.369000,0.622699
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,5,linf,0.3,0.251000,0.743354
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,5,l2,1,0.959000,0.019427
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,5,l2,2,0.879000,0.101227
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,5,l2,3,0.734000,0.249489
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,5,l2,4,0.535000,0.452965
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,5,l2,5,0.388000,0.603272
mnist_mlp→mnist_mlp_opb_beta_0.1_anchor_12,5,l2,6,0.309000,0.684049
