config,run,norm,eps,acc,succ
mnist_mlp_ceb_beta_0.1→mnist_mlp,1,none,0,0.981000,
mnist_mlp_ceb_beta_0.1→mnist_mlp,1,linf,0.05,0.960000,0.021407
mnist_mlp_ceb_beta_0.1→mnist_mlp,1,linf,0.1,0.935000,0.046891
mnist_mlp_ceb_beta_0.1→mnist_mlp,1,linf,0.15,0.882000,0.100917
mnist_mlp_ceb_beta_0.1→mnist_mlp,1,linf,0.2,0.829000,0.154944
mnist_mlp_ceb_beta_0.1→mnist_mlp,1,linf,0.25,0.765000,0.220183
mnist_mlp_ceb_beta_0.1→mnist_mlp,1,linf,0.3,0.693000,0.293578
mnist_mlp_ceb_beta_0.1→mnist_mlp,1,l2,1,0.958000,0.023445
mnist_mlp_ceb_beta_0.1→mnist_mlp,1,l2,2,0.924000,0.058104
mnist_mlp_ceb_beta_0.1→mnist_mlp,1,l2,3,0.847000,0.136595
mnist_mlp_ceb_beta_0.1→mnist_mlp,1,l2,4,0.763000,0.222222
mnist_mlp_ceb_beta_0.1→mnist_mlp,1,l2,5,0.682000,0.304791
mnist_mlp_ceb_beta_0.1→mnist_mlp,1,l2,6,0.587000,0.401631
mnist_mlp_ceb_beta_0.1→mnist_mlp,2,none,0,0.980000,
mnist_mlp_ceb_beta_0.1→mnist_mlp,2,linf,0.05,0.963000,0.017347
mnist_mlp_ceb_beta_0.1→mnist_mlp,2,linf,0.1,0.929000,0.052041
mnist_mlp_ceb_beta_0.1→mnist_mlp,2,linf,0.15,0.881000,0.101020
mnist_mlp_ceb_beta_0.1→mnist_mlp,2,linf,0.2,0.813000,0.170408
mnist_mlp_ceb_beta_0.1→mnist_mlp,2,linf,0.25,0.720000,0.265306
mnist_mlp_ceb_beta_0.1→mnist_mlp,2,linf,0.3,0.635000,0.352041
mnist_mlp_ceb_beta_0.1→mnist_mlp,2,l2,1,0.960000,0.020408
mnist_mlp_ceb_beta_0.1→mnist_mlp,2,l2,2,0.922000,0.059184
mnist_mlp_ceb_beta_0.1→mnist_mlp,2,l2,3,0.852000,0.130612
mnist_mlp_ceb_beta_0.1→mnist_mlp,2,l2,4,0.740000,0.244898
mnist_mlp_ceb_beta_0.1→mnist_mlp,2,l2,5,0.617000,0.370408
mnist_mlp_ceb_beta_0.1→mnist_mlp,2,l2,6,0.515000,0.474490
mnist_mlp_ceb_beta_0.1→mnist_mlp,3,none,0,0.980000,
mnist_mlp_ceb_beta_0.1→mnist_mlp,3,linf,0.05,0.967000,0.013265
mnist_mlp_ceb_beta_0.1→mnist_mlp,3,linf,0.1,0.936000,0.044898
mnist_mlp_ceb_beta_0.1→mnist_mlp,3,linf,0.15,0.884000,0.097959
mnist_mlp_ceb_beta_0.1→mnist_mlp,3,linf,0.2,0.824000,0.159184
mnist_mlp_ceb_beta_0.1→mnist_mlp,3,linf,0.25,0.757000,0.227551
mnist_mlp_ceb_beta_0.1→mnist_mlp,3,linf,0.3,0.712000,0.273469
mnist_mlp_ceb_beta_0.1→mnist_mlp,3,l2,1,0.966000,0.014286
mnist_mlp_ceb_beta_0.1→mnist_mlp,3,l2,2,0.926000,0.055102
mnist_mlp_ceb_beta_0.1→mnist_mlp,3,l2,3,0.848000,0.134694
mnist_mlp_ceb_beta_0.1→mnist_mlp,3,l2,4,0.773000,0.211224
mnist_mlp_ceb_beta_0.1→mnist_mlp,3,l2,5,0.677000,0.309184
mnist_mlp_ceb_beta_0.1→mnist_mlp,3,l2,6,0.579000,0.409184
mnist_mlp_ceb_beta_0.1→mnist_mlp,4,none,0,0.988000,
mnist_mlp_ceb_beta_0.1→mnist_mlp,4,linf,0.05,0.966000,0.022267
mnist_mlp_ceb_beta_0.1→mnist_mlp,4,linf,0.1,0.937000,0.051619
mnist_mlp_ceb_beta_0.1→mnist_mlp,4,linf,0.15,0.874000,0.115385
mnist_mlp_ceb_beta_0.1→mnist_mlp,4,linf,0.2,0.795000,0.195344
mnist_mlp_ceb_beta_0.1→mnist_mlp,4,linf,0.25,0.705000,0.286437
mnist_mlp_ceb_beta_0.1→mnist_mlp,4,linf,0.3,0.591000,0.401822
mnist_mlp_ceb_beta_0.1→mnist_mlp,4,l2,1,0.959000,0.029352
mnist_mlp_ceb_beta_0.1→mnist_mlp,4,l2,2,0.928000,0.060729
mnist_mlp_ceb_beta_0.1→mnist_mlp,4,l2,3,0.843000,0.146761
