config,run,norm,eps,acc,succ
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,1,none,0,0.986000,
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,1,linf,0.05,0.966000,0.020284
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,1,linf,0.1,0.934000,0.052738
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,1,linf,0.15,0.799000,0.189655
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,1,linf,0.2,0.665000,0.325558
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,1,linf,0.25,0.563000,0.429006
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,1,linf,0.3,0.487000,0.506085
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,1,l2,1,0.964000,0.022312
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,1,l2,2,0.924000,0.062880
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,1,l2,3,0.803000,0.185598
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,1,l2,4,0.619000,0.372211
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,1,l2,5,0.511000,0.481744
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,1,l2,6,0.389000,0.605477
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,2,none,0,0.983000,
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,2,linf,0.05,0.963000,0.020346
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,2,linf,0.1,0.913000,0.071211
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,2,linf,0.15,0.828000,0.157681
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,2,linf,0.2,0.699000,0.288911
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_0.1_anchor_12,2,linf,0.25,0.576000,0.414039
