config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,1,none,0,0.981000,
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,1,linf,0.05,0.949000,0.032620
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,1,linf,0.1,0.912000,0.070336
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,1,linf,0.15,0.808000,0.176351
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,1,linf,0.2,0.684000,0.302752
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,1,linf,0.25,0.537000,0.452599
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,1,linf,0.3,0.401000,0.591233
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,1,l2,1,0.948000,0.033639
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,1,l2,2,0.902000,0.080530
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,1,l2,3,0.811000,0.173293
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,1,l2,4,0.708000,0.278287
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,1,l2,5,0.601000,0.387360
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,1,l2,6,0.506000,0.484200
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,2,none,0,0.980000,
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,2,linf,0.05,0.958000,0.022449
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,2,linf,0.1,0.897000,0.084694
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,2,linf,0.15,0.760000,0.224490
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,2,linf,0.2,0.549000,0.439796
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,2,linf,0.25,0.402000,0.589796
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,2,linf,0.3,0.296000,0.697959
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,2,l2,1,0.960000,0.020408
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,2,l2,2,0.927000,0.054082
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,2,l2,3,0.895000,0.086735
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,2,l2,4,0.882000,0.100000
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,2,l2,5,0.871000,0.111225
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,2,l2,6,0.854000,0.128571
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,3,none,0,0.980000,
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,3,linf,0.05,0.959000,0.021429
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,3,linf,0.1,0.886000,0.095918
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,3,linf,0.15,0.746000,0.238776
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,3,linf,0.2,0.576000,0.412245
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,3,linf,0.25,0.407000,0.584694
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,3,linf,0.3,0.252000,0.742857
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,3,l2,1,0.960000,0.020408
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,3,l2,2,0.932000,0.048980
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,3,l2,3,0.920000,0.061225
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,3,l2,4,0.916000,0.065306
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,3,l2,5,0.903000,0.078571
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,3,l2,6,0.905000,0.076531
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,4,none,0,0.988000,
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,4,linf,0.05,0.950000,0.038462
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,4,linf,0.1,0.894000,0.095142
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,4,linf,0.15,0.737000,0.254049
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,4,linf,0.2,0.526000,0.467611
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,4,linf,0.25,0.357000,0.638664
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,4,linf,0.3,0.227000,0.770243
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,4,l2,1,0.960000,0.028340
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,4,l2,2,0.935000,0.053644
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,4,l2,3,0.923000,0.065789
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,4,l2,4,0.916000,0.072874
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,4,l2,5,0.915000,0.073887
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,4,l2,6,0.907000,0.081984
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,5,none,0,0.979000,
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,5,linf,0.05,0.954000,0.025536
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,5,linf,0.1,0.896000,0.084780
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,5,linf,0.15,0.769000,0.215526
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,5,linf,0.2,0.577000,0.410623
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,5,linf,0.25,0.411000,0.580184
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,5,linf,0.3,0.287000,0.706844
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,5,l2,1,0.954000,0.025536
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,5,l2,2,0.924000,0.056180
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,5,l2,3,0.889000,0.092952
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,5,l2,4,0.883000,0.098059
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,5,l2,5,0.872000,0.109295
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp,5,l2,6,0.866000,0.115424
