config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,1,none,0,0.981000,
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,1,linf,0.05,0.954000,0.027523
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,1,linf,0.1,0.899000,0.083588
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,1,linf,0.15,0.735000,0.250765
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,1,linf,0.2,0.565000,0.424057
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,1,linf,0.25,0.440000,0.551478
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,1,linf,0.3,0.327000,0.666667
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,1,l2,1,0.954000,0.027523
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,1,l2,2,0.900000,0.082569
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,1,l2,3,0.815000,0.169215
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,1,l2,4,0.685000,0.301733
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,1,l2,5,0.579000,0.409786
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,1,l2,6,0.480000,0.510703
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,2,none,0,0.975000,
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,2,linf,0.05,0.953000,0.022564
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,2,linf,0.1,0.843000,0.135385
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,2,linf,0.15,0.666000,0.316923
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,2,linf,0.2,0.500000,0.487180
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,2,linf,0.25,0.390000,0.600000
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,2,linf,0.3,0.281000,0.711795
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,2,l2,1,0.955000,0.020513
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,2,l2,2,0.922000,0.054359
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,2,l2,3,0.900000,0.076923
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,2,l2,4,0.883000,0.094359
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,2,l2,5,0.871000,0.106667
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,2,l2,6,0.867000,0.110769
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,3,none,0,0.980000,
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,3,linf,0.05,0.958000,0.022449
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,3,linf,0.1,0.871000,0.111225
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,3,linf,0.15,0.681000,0.305102
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,3,linf,0.2,0.524000,0.465306
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,3,linf,0.25,0.389000,0.603061
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,3,linf,0.3,0.259000,0.735714
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,3,l2,1,0.962000,0.018367
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,3,l2,2,0.936000,0.045918
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,3,l2,3,0.928000,0.053061
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,3,l2,4,0.914000,0.067347
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,3,l2,5,0.914000,0.068367
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,3,l2,6,0.907000,0.074490
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,4,none,0,0.975000,
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,4,linf,0.05,0.955000,0.020513
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,4,linf,0.1,0.882000,0.095385
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,4,linf,0.15,0.709000,0.272821
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,4,linf,0.2,0.567000,0.418462
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,4,linf,0.25,0.423000,0.566154
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,4,linf,0.3,0.303000,0.689231
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,4,l2,1,0.960000,0.015385
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,4,l2,2,0.934000,0.042051
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,4,l2,3,0.923000,0.054359
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,4,l2,4,0.915000,0.061539
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,4,l2,5,0.910000,0.066667
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,4,l2,6,0.901000,0.075897
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,5,none,0,0.977000,
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,5,linf,0.05,0.948000,0.029683
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,5,linf,0.1,0.873000,0.106448
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,5,linf,0.15,0.713000,0.270215
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,5,linf,0.2,0.598000,0.387922
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,5,linf,0.25,0.457000,0.532242
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,5,linf,0.3,0.361000,0.630502
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,5,l2,1,0.949000,0.028659
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,5,l2,2,0.927000,0.051177
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,5,l2,3,0.903000,0.075742
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,5,l2,4,0.887000,0.092119
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,5,l2,5,0.877000,0.102354
mnist_mlp_opb_beta_0.1_anchor_12→mnist_mlp_ceb_beta_0.1,5,l2,6,0.868000,0.111566
