config,run,norm,eps,acc,succ
mnist_mlp（100步）,1,none,0,0.981000,
mnist_mlp（100步）,1,linf,0.05,0.925000,0.057085
mnist_mlp（100步）,1,linf,0.1,0.776000,0.208970
mnist_mlp（100步）,1,linf,0.15,0.482000,0.508665
mnist_mlp（100步）,1,linf,0.2,0.230000,0.765545
mnist_mlp（100步）,1,linf,0.25,0.095000,0.903160
mnist_mlp（100步）,1,linf,0.3,0.040000,0.959225
mnist_mlp（100步）,1,l2,1,0.924000,0.058104
mnist_mlp（100步）,1,l2,2,0.774000,0.211009
mnist_mlp（100步）,1,l2,3,0.486000,0.504587
mnist_mlp（100步）,1,l2,4,0.227000,0.768603
mnist_mlp（100步）,1,l2,5,0.095000,0.903160
mnist_mlp（100步）,1,l2,6,0.046000,0.953109
mnist_mlp（100步）,2,none,0,0.980000,
mnist_mlp（100步）,2,linf,0.05,0.937000,0.043878
mnist_mlp（100步）,2,linf,0.1,0.760000,0.224490
mnist_mlp（100步）,2,linf,0.15,0.437000,0.554082
mnist_mlp（100步）,2,linf,0.2,0.206000,0.789796
mnist_mlp（100步）,2,linf,0.25,0.097000,0.901020
mnist_mlp（100步）,2,linf,0.3,0.050000,0.948980
mnist_mlp（100步）,2,l2,1,0.937000,0.043878
mnist_mlp（100步）,2,l2,2,0.752000,0.232653
mnist_mlp（100步）,2,l2,3,0.437000,0.554082
mnist_mlp（100步）,2,l2,4,0.211000,0.784694
mnist_mlp（100步）,2,l2,5,0.099000,0.898980
mnist_mlp（100步）,2,l2,6,0.058000,0.940816
mnist_mlp（100步）,3,none,0,0.980000,
mnist_mlp（100步）,3,linf,0.05,0.933000,0.047959
mnist_mlp（100步）,3,linf,0.1,0.759000,0.225510
mnist_mlp（100步）,3,linf,0.15,0.433000,0.558163
mnist_mlp（100步）,3,linf,0.2,0.230000,0.765306
mnist_mlp（100步）,3,linf,0.25,0.105000,0.892857
mnist_mlp（100步）,3,linf,0.3,0.048000,0.951020
mnist_mlp（100步）,3,l2,1,0.931000,0.050000
mnist_mlp（100步）,3,l2,2,0.761000,0.223469
mnist_mlp（100步）,3,l2,3,0.434000,0.557143
mnist_mlp（100步）,3,l2,4,0.224000,0.771429
mnist_mlp（100步）,3,l2,5,0.123000,0.874490
mnist_mlp（100步）,3,l2,6,0.089000,0.909184
mnist_mlp（100步）,4,none,0,0.988000,
mnist_mlp（100步）,4,linf,0.05,0.933000,0.055668
mnist_mlp（100步）,4,linf,0.1,0.760000,0.230769
mnist_mlp（100步）,4,linf,0.15,0.420000,0.574899
mnist_mlp（100步）,4,linf,0.2,0.188000,0.809717
mnist_mlp（100步）,4,linf,0.25,0.075000,0.924089
mnist_mlp（100步）,4,linf,0.3,0.028000,0.971660
mnist_mlp（100步）,4,l2,1,0.933000,0.055668
mnist_mlp（100步）,4,l2,2,0.756000,0.234818
mnist_mlp（100步）,4,l2,3,0.420000,0.574899
mnist_mlp（100步）,4,l2,4,0.189000,0.808704
mnist_mlp（100步）,4,l2,5,0.106000,0.892713
mnist_mlp（100步）,4,l2,6,0.074000,0.925101
mnist_mlp（100步）,5,none,0,0.979000,
mnist_mlp（100步）,5,linf,0.05,0.933000,0.046987
mnist_mlp（100步）,5,linf,0.1,0.767000,0.216547
mnist_mlp（100步）,5,linf,0.15,0.474000,0.515832
mnist_mlp（100步）,5,linf,0.2,0.266000,0.728294
mnist_mlp（100步）,5,linf,0.25,0.142000,0.854954
mnist_mlp（100步）,5,linf,0.3,0.092000,0.906027
mnist_mlp（100步）,5,l2,1,0.932000,0.048008
mnist_mlp（100步）,5,l2,2,0.764000,0.219612
mnist_mlp（100步）,5,l2,3,0.478000,0.511747
mnist_mlp（100步）,5,l2,4,0.331000,0.661900
mnist_mlp（100步）,5,l2,5,0.272000,0.722165
mnist_mlp（100步）,5,l2,6,0.258000,0.736466
