config,run,norm,eps,acc,succ
mnist_mlp_ceb_beta_0.1（100步）,1,none,0,0.981000,
mnist_mlp_ceb_beta_0.1（100步）,1,linf,0.05,0.908000,0.074414
mnist_mlp_ceb_beta_0.1（100步）,1,linf,0.1,0.745000,0.240571
mnist_mlp_ceb_beta_0.1（100步）,1,linf,0.15,0.431000,0.560652
mnist_mlp_ceb_beta_0.1（100步）,1,linf,0.2,0.252000,0.743119
mnist_mlp_ceb_beta_0.1（100步）,1,linf,0.25,0.123000,0.874618
mnist_mlp_ceb_beta_0.1（100步）,1,linf,0.3,0.070000,0.928644
mnist_mlp_ceb_beta_0.1（100步）,1,l2,1,0.912000,0.070336
mnist_mlp_ceb_beta_0.1（100步）,1,l2,2,0.758000,0.227319
mnist_mlp_ceb_beta_0.1（100步）,1,l2,3,0.431000,0.560652
mnist_mlp_ceb_beta_0.1（100步）,1,l2,4,0.243000,0.752294
mnist_mlp_ceb_beta_0.1（100步）,1,l2,5,0.124000,0.873598
mnist_mlp_ceb_beta_0.1（100步）,1,l2,6,0.052000,0.946993
mnist_mlp_ceb_beta_0.1（100步）,2,none,0,0.975000,
mnist_mlp_ceb_beta_0.1（100步）,2,linf,0.05,0.919000,0.057436
mnist_mlp_ceb_beta_0.1（100步）,2,linf,0.1,0.664000,0.318974
mnist_mlp_ceb_beta_0.1（100步）,2,linf,0.15,0.415000,0.574359
mnist_mlp_ceb_beta_0.1（100步）,2,linf,0.2,0.205000,0.789744
mnist_mlp_ceb_beta_0.1（100步）,2,linf,0.25,0.111000,0.886154
mnist_mlp_ceb_beta_0.1（100步）,2,linf,0.3,0.060000,0.938462
mnist_mlp_ceb_beta_0.1（100步）,2,l2,1,0.916000,0.060513
mnist_mlp_ceb_beta_0.1（100步）,2,l2,2,0.691000,0.291282
mnist_mlp_ceb_beta_0.1（100步）,2,l2,3,0.418000,0.571282
mnist_mlp_ceb_beta_0.1（100步）,2,l2,4,0.201000,0.793846
mnist_mlp_ceb_beta_0.1（100步）,2,l2,5,0.101000,0.896410
mnist_mlp_ceb_beta_0.1（100步）,2,l2,6,0.052000,0.946667
mnist_mlp_ceb_beta_0.1（100步）,3,none,0,0.980000,
mnist_mlp_ceb_beta_0.1（100步）,3,linf,0.05,0.917000,0.064286
mnist_mlp_ceb_beta_0.1（100步）,3,linf,0.1,0.672000,0.314286
mnist_mlp_ceb_beta_0.1（100步）,3,linf,0.15,0.395000,0.596939
mnist_mlp_ceb_beta_0.1（100步）,3,linf,0.2,0.210000,0.785714
mnist_mlp_ceb_beta_0.1（100步）,3,linf,0.25,0.109000,0.888776
mnist_mlp_ceb_beta_0.1（100步）,3,linf,0.3,0.065000,0.933673
mnist_mlp_ceb_beta_0.1（100步）,3,l2,1,0.920000,0.061225
mnist_mlp_ceb_beta_0.1（100步）,3,l2,2,0.696000,0.289796
mnist_mlp_ceb_beta_0.1（100步）,3,l2,3,0.402000,0.589796
mnist_mlp_ceb_beta_0.1（100步）,3,l2,4,0.198000,0.797959
mnist_mlp_ceb_beta_0.1（100步）,3,l2,5,0.094000,0.904082
mnist_mlp_ceb_beta_0.1（100步）,3,l2,6,0.054000,0.944898
mnist_mlp_ceb_beta_0.1（100步）,4,none,0,0.975000,
mnist_mlp_ceb_beta_0.1（100步）,4,linf,0.05,0.922000,0.054359
mnist_mlp_ceb_beta_0.1（100步）,4,linf,0.1,0.713000,0.268718
mnist_mlp_ceb_beta_0.1（100步）,4,linf,0.15,0.438000,0.550769
mnist_mlp_ceb_beta_0.1（100步）,4,linf,0.2,0.235000,0.758974
mnist_mlp_ceb_beta_0.1（100步）,4,linf,0.25,0.127000,0.869744
mnist_mlp_ceb_beta_0.1（100步）,4,linf,0.3,0.076000,0.922051
mnist_mlp_ceb_beta_0.1（100步）,4,l2,1,0.923000,0.053333
mnist_mlp_ceb_beta_0.1（100步）,4,l2,2,0.735000,0.246154
mnist_mlp_ceb_beta_0.1（100步）,4,l2,3,0.446000,0.542564
mnist_mlp_ceb_beta_0.1（100步）,4,l2,4,0.240000,0.753846
mnist_mlp_ceb_beta_0.1（100步）,4,l2,5,0.123000,0.873846
mnist_mlp_ceb_beta_0.1（100步）,4,l2,6,0.071000,0.927179
mnist_mlp_ceb_beta_0.1（100步）,5,none,0,0.977000,
mnist_mlp_ceb_beta_0.1（100步）,5,linf,0.05,0.915000,0.063460
mnist_mlp_ceb_beta_0.1（100步）,5,linf,0.1,0.699000,0.284545
mnist_mlp_ceb_beta_0.1（100步）,5,linf,0.15,0.461000,0.528147
mnist_mlp_ceb_beta_0.1（100步）,5,linf,0.2,0.271000,0.722620
mnist_mlp_ceb_beta_0.1（100步）,5,linf,0.25,0.138000,0.858751
mnist_mlp_ceb_beta_0.1（100步）,5,linf,0.3,0.065000,0.933470
mnist_mlp_ceb_beta_0.1（100步）,5,l2,1,0.920000,0.058342
mnist_mlp_ceb_beta_0.1（100步）,5,l2,2,0.736000,0.246674
mnist_mlp_ceb_beta_0.1（100步）,5,l2,3,0.460000,0.529171
mnist_mlp_ceb_beta_0.1（100步）,5,l2,4,0.259000,0.734903
mnist_mlp_ceb_beta_0.1（100步）,5,l2,5,0.135000,0.861822
mnist_mlp_ceb_beta_0.1（100步）,5,l2,6,0.060000,0.938588
