config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_0.1_anchor_12（100步）,1,none,0,0.986000,
mnist_mlp_opb_beta_0.1_anchor_12（100步）,1,linf,0.05,0.933000,0.053753
mnist_mlp_opb_beta_0.1_anchor_12（100步）,1,linf,0.1,0.773000,0.216024
mnist_mlp_opb_beta_0.1_anchor_12（100步）,1,linf,0.15,0.469000,0.524341
mnist_mlp_opb_beta_0.1_anchor_12（100步）,1,linf,0.2,0.266000,0.730223
mnist_mlp_opb_beta_0.1_anchor_12（100步）,1,linf,0.25,0.131000,0.867140
mnist_mlp_opb_beta_0.1_anchor_12（100步）,1,linf,0.3,0.057000,0.942191
mnist_mlp_opb_beta_0.1_anchor_12（100步）,1,l2,1,0.933000,0.053753
mnist_mlp_opb_beta_0.1_anchor_12（100步）,1,l2,2,0.811000,0.177485
mnist_mlp_opb_beta_0.1_anchor_12（100步）,1,l2,3,0.619000,0.372211
mnist_mlp_opb_beta_0.1_anchor_12（100步）,1,l2,4,0.500000,0.492901
mnist_mlp_opb_beta_0.1_anchor_12（100步）,1,l2,5,0.414000,0.580122
mnist_mlp_opb_beta_0.1_anchor_12（100步）,1,l2,6,0.379000,0.615619
mnist_mlp_opb_beta_0.1_anchor_12（100步）,2,none,0,0.983000,
mnist_mlp_opb_beta_0.1_anchor_12（100步）,2,linf,0.05,0.938000,0.045778
mnist_mlp_opb_beta_0.1_anchor_12（100步）,2,linf,0.1,0.780000,0.206511
mnist_mlp_opb_beta_0.1_anchor_12（100步）,2,linf,0.15,0.473000,0.518820
mnist_mlp_opb_beta_0.1_anchor_12（100步）,2,linf,0.2,0.268000,0.727365
mnist_mlp_opb_beta_0.1_anchor_12（100步）,2,linf,0.25,0.118000,0.879959
mnist_mlp_opb_beta_0.1_anchor_12（100步）,2,linf,0.3,0.050000,0.949135
mnist_mlp_opb_beta_0.1_anchor_12（100步）,2,l2,1,0.941000,0.042726
mnist_mlp_opb_beta_0.1_anchor_12（100步）,2,l2,2,0.884000,0.100712
mnist_mlp_opb_beta_0.1_anchor_12（100步）,2,l2,3,0.878000,0.106816
mnist_mlp_opb_beta_0.1_anchor_12（100步）,2,l2,4,0.870000,0.114954
mnist_mlp_opb_beta_0.1_anchor_12（100步）,2,l2,5,0.864000,0.121058
mnist_mlp_opb_beta_0.1_anchor_12（100步）,2,l2,6,0.858000,0.127162
mnist_mlp_opb_beta_0.1_anchor_12（100步）,3,none,0,0.983000,
mnist_mlp_opb_beta_0.1_anchor_12（100步）,3,linf,0.05,0.939000,0.044761
mnist_mlp_opb_beta_0.1_anchor_12（100步）,3,linf,0.1,0.770000,0.216684
mnist_mlp_opb_beta_0.1_anchor_12（100步）,3,linf,0.15,0.479000,0.512716
mnist_mlp_opb_beta_0.1_anchor_12（100步）,3,linf,0.2,0.279000,0.716175
mnist_mlp_opb_beta_0.1_anchor_12（100步）,3,linf,0.25,0.118000,0.879959
mnist_mlp_opb_beta_0.1_anchor_12（100步）,3,linf,0.3,0.062000,0.936928
mnist_mlp_opb_beta_0.1_anchor_12（100步）,3,l2,1,0.941000,0.042726
mnist_mlp_opb_beta_0.1_anchor_12（100步）,3,l2,2,0.921000,0.063072
mnist_mlp_opb_beta_0.1_anchor_12（100步）,3,l2,3,0.915000,0.069176
mnist_mlp_opb_beta_0.1_anchor_12（100步）,3,l2,4,0.911000,0.073245
mnist_mlp_opb_beta_0.1_anchor_12（100步）,3,l2,5,0.913000,0.071211
mnist_mlp_opb_beta_0.1_anchor_12（100步）,3,l2,6,0.905000,0.079349
mnist_mlp_opb_beta_0.1_anchor_12（100步）,4,none,0,0.985000,
mnist_mlp_opb_beta_0.1_anchor_12（100步）,4,linf,0.05,0.934000,0.051777
mnist_mlp_opb_beta_0.1_anchor_12（100步）,4,linf,0.1,0.739000,0.249746
