config,run,norm,eps,acc,succ
mnist_mlp,1,none,0,0.981000,
mnist_mlp,1,linf,0.3,0.438000,0.549107
mnist_mlp,1,l2,6,0.449000,0.554688
mnist_mlp,2,none,0,0.980000,
mnist_mlp,2,linf,0.3,0.306000,0.700893
mnist_mlp,2,l2,6,0.301000,0.731027
mnist_mlp,3,none,0,0.980000,
mnist_mlp,3,linf,0.3,0.406000,0.575419
mnist_mlp,3,l2,6,0.405000,0.592179
mnist_mlp,4,none,0,0.988000,
mnist_mlp,4,linf,0.3,0.371000,0.599114
mnist_mlp,4,l2,6,0.361000,0.616833
mnist_mlp,5,none,0,0.979000,
mnist_mlp,5,linf,0.3,0.341000,0.633110
mnist_mlp,5,l2,6,0.309000,0.674497
