config,run,norm,eps,acc,succ
mnist_mlp_ceb_beta_0.0005,1,none,0,0.978000,
mnist_mlp_ceb_beta_0.0005,1,linf,0.3,0.374000,0.506159
mnist_mlp_ceb_beta_0.0005,1,l2,12,0.094000,0.956327
mnist_mlp_ceb_beta_0.0005,2,none,0,0.982000,
mnist_mlp_ceb_beta_0.0005,2,linf,0.3,0.368000,0.561873
mnist_mlp_ceb_beta_0.0005,2,l2,12,0.091000,0.976589
mnist_mlp_ceb_beta_0.0005,3,none,0,0.981000,
mnist_mlp_ceb_beta_0.0005,3,linf,0.3,0.322000,0.637277
mnist_mlp_ceb_beta_0.0005,3,l2,12,0.086000,0.997768
mnist_mlp_ceb_beta_0.0005,4,none,0,0.977000,
mnist_mlp_ceb_beta_0.0005,4,linf,0.3,0.272000,0.680493
mnist_mlp_ceb_beta_0.0005,4,l2,12,0.089000,0.966368
mnist_mlp_ceb_beta_0.0005,5,none,0,0.982000,
mnist_mlp_ceb_beta_0.0005,5,linf,0.3,0.399000,0.479376
mnist_mlp_ceb_beta_0.0005,5,l2,12,0.130000,0.847269
