config,run,norm,eps,acc,succ
mnist_mlp_ceb_beta_15,1,none,0,0.109000,
mnist_mlp_ceb_beta_15,1,linf,0.3,0.101000,0.050505
mnist_mlp_ceb_beta_15,1,l2,6,0.113000,0.121212
mnist_mlp_ceb_beta_15,2,none,0,0.089000,
mnist_mlp_ceb_beta_15,2,linf,0.3,0.119000,0.035294
mnist_mlp_ceb_beta_15,2,l2,6,0.094000,0.047059
mnist_mlp_ceb_beta_15,3,none,0,0.092000,
mnist_mlp_ceb_beta_15,3,linf,0.3,0.086000,0.132530
mnist_mlp_ceb_beta_15,3,l2,6,0.110000,0.156626
mnist_mlp_ceb_beta_15,4,none,0,0.113000,
mnist_mlp_ceb_beta_15,4,linf,0.3,0.096000,0.066667
mnist_mlp_ceb_beta_15,4,l2,6,0.106000,0.114286
mnist_mlp_ceb_beta_15,5,none,0,0.108000,
mnist_mlp_ceb_beta_15,5,linf,0.3,0.098000,0.048077
mnist_mlp_ceb_beta_15,5,l2,6,0.101000,0.086538
