config,run,norm,eps,acc,succ
mnist_mlp_ceb_beta_5e-05,1,none,0,0.979000,
mnist_mlp_ceb_beta_5e-05,1,linf,0.3,0.443000,0.513423
mnist_mlp_ceb_beta_5e-05,1,l2,6,0.431000,0.542506
mnist_mlp_ceb_beta_5e-05,2,none,0,0.984000,
mnist_mlp_ceb_beta_5e-05,2,linf,0.3,0.244000,0.755284
mnist_mlp_ceb_beta_5e-05,2,l2,6,0.246000,0.763070
mnist_mlp_ceb_beta_5e-05,3,none,0,0.981000,
mnist_mlp_ceb_beta_5e-05,3,linf,0.3,0.314000,0.652902
mnist_mlp_ceb_beta_5e-05,3,l2,6,0.305000,0.686384
mnist_mlp_ceb_beta_5e-05,4,none,0,0.975000,
mnist_mlp_ceb_beta_5e-05,4,linf,0.3,0.337000,0.606742
mnist_mlp_ceb_beta_5e-05,4,l2,6,0.349000,0.589888
mnist_mlp_ceb_beta_5e-05,5,none,0,0.976000,
mnist_mlp_ceb_beta_5e-05,5,linf,0.3,0.393000,0.575758
mnist_mlp_ceb_beta_5e-05,5,l2,6,0.413000,0.554433
