config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_0.001_anchor_12,1,none,0,0.974000,
mnist_mlp_opb_beta_0.001_anchor_12,1,linf,0.3,0.380000,0.520810
mnist_mlp_opb_beta_0.001_anchor_12,1,l2,6,0.355000,0.551181
mnist_mlp_opb_beta_0.001_anchor_12,2,none,0,0.979000,
mnist_mlp_opb_beta_0.001_anchor_12,2,linf,0.3,0.322000,0.690157
mnist_mlp_opb_beta_0.001_anchor_12,2,l2,6,0.375000,0.636465
mnist_mlp_opb_beta_0.001_anchor_12,3,none,0,0.977000,
mnist_mlp_opb_beta_0.001_anchor_12,3,linf,0.3,0.381000,0.603139
mnist_mlp_opb_beta_0.001_anchor_12,3,l2,6,0.431000,0.549327
mnist_mlp_opb_beta_0.001_anchor_12,4,none,0,0.982000,
mnist_mlp_opb_beta_0.001_anchor_12,4,linf,0.3,0.476000,0.424749
mnist_mlp_opb_beta_0.001_anchor_12,4,l2,6,0.533000,0.381271
mnist_mlp_opb_beta_0.001_anchor_12,5,none,0,0.975000,
mnist_mlp_opb_beta_0.001_anchor_12,5,linf,0.3,0.403000,0.415919
mnist_mlp_opb_beta_0.001_anchor_12,5,l2,6,0.414000,0.437220
