config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_15_anchor_12,1,none,0,0.980000,
mnist_mlp_opb_beta_15_anchor_12,1,linf,0.3,0.469000,0.279330
mnist_mlp_opb_beta_15_anchor_12,1,l2,6,0.471000,0.336313
mnist_mlp_opb_beta_15_anchor_12,2,none,0,0.983000,
mnist_mlp_opb_beta_15_anchor_12,2,linf,0.3,0.384000,0.316258
mnist_mlp_opb_beta_15_anchor_12,2,l2,6,0.373000,0.377506
mnist_mlp_opb_beta_15_anchor_12,3,none,0,0.980000,
mnist_mlp_opb_beta_15_anchor_12,3,linf,0.3,0.389000,0.334821
mnist_mlp_opb_beta_15_anchor_12,3,l2,6,0.371000,0.422991
mnist_mlp_opb_beta_15_anchor_12,4,none,0,0.977000,
mnist_mlp_opb_beta_15_anchor_12,4,linf,0.3,0.437000,0.239910
mnist_mlp_opb_beta_15_anchor_12,4,l2,6,0.416000,0.265695
mnist_mlp_opb_beta_15_anchor_12,5,none,0,0.983000,
mnist_mlp_opb_beta_15_anchor_12,5,linf,0.3,0.430000,0.272525
mnist_mlp_opb_beta_15_anchor_12,5,l2,6,0.432000,0.333704
