config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_5e-05_anchor_1,1,none,0,0.979000,
mnist_mlp_opb_beta_5e-05_anchor_1,1,linf,0.3,0.354000,0.643177
mnist_mlp_opb_beta_5e-05_anchor_1,1,l2,6,0.367000,0.635347
mnist_mlp_opb_beta_5e-05_anchor_1,2,none,0,0.986000,
mnist_mlp_opb_beta_5e-05_anchor_1,2,linf,0.3,0.444000,0.556541
mnist_mlp_opb_beta_5e-05_anchor_1,2,l2,6,0.444000,0.557650
mnist_mlp_opb_beta_5e-05_anchor_1,3,none,0,0.981000,
mnist_mlp_opb_beta_5e-05_anchor_1,3,linf,0.3,0.403000,0.525670
mnist_mlp_opb_beta_5e-05_anchor_1,3,l2,6,0.397000,0.574777
mnist_mlp_opb_beta_5e-05_anchor_1,4,none,0,0.980000,
mnist_mlp_opb_beta_5e-05_anchor_1,4,linf,0.3,0.268000,0.703911
mnist_mlp_opb_beta_5e-05_anchor_1,4,l2,6,0.277000,0.705028
mnist_mlp_opb_beta_5e-05_anchor_1,5,none,0,0.984000,
mnist_mlp_opb_beta_5e-05_anchor_1,5,linf,0.3,0.389000,0.596218
mnist_mlp_opb_beta_5e-05_anchor_1,5,l2,6,0.389000,0.611791
