frame_setting,anchor_scale,beta,seed,D_hat_train,D_hat_test,beta_D_hat_test,CE_train,CE_test,KL_mean_test,KL_var_test,KL_total_test,KL_total_train,objective_train,objective_test,acc_det,acc_mc,anchor_pair_dist,post_center_min_dist,post_center_mean_cos,min_singular_value,best_epoch,fail
fixed,6.0,0.001,0,0.005698,0.005698,0.000006,0.000000,0.000000,0.005698,0.029359,0.035056,0.035056,0.000035,0.000035,1.000000,1.000000,8.485281,8.525167,-0.003175,1.000000,600,
fixed,6.0,0.001,1,0.007166,0.007166,0.000007,0.000000,0.000000,0.007166,0.039586,0.046752,0.046752,0.000047,0.000047,1.000000,1.000000,8.485281,8.522087,-0.003318,1.000000,560,
fixed,6.0,0.001,2,0.003585,0.003585,0.000004,0.000000,0.000000,0.003585,0.038736,0.042321,0.042321,0.000042,0.000042,1.000000,1.000000,8.485281,8.515278,-0.004202,1.000000,572,
fixed,6.0,0.001,3,0.005566,0.005566,0.000006,0.000000,0.000000,0.005566,0.032104,0.037670,0.037670,0.000038,0.000038,1.000000,1.000000,8.485281,8.545541,-0.003227,1.000000,681,
fixed,6.0,0.001,4,0.002983,0.002983,0.000003,0.000000,0.000000,0.002983,0.032931,0.035914,0.035914,0.000036,0.000036,1.000000,1.000000,8.485281,8.517465,-0.002753,1.000000,610,
fixed,6.0,0.003,0,0.001844,0.001844,0.000006,0.000000,0.000000,0.001844,0.013834,0.015678,0.015678,0.000047,0.000047,1.000000,1.000000,8.485281,8.509519,-0.001666,1.000000,530,
fixed,6.0,0.003,1,0.003800,0.003800,0.000011,0.000000,0.000000,0.003800,0.018898,0.022699,0.022699,0.000068,0.000068,1.000000,1.000000,8.485281,8.523894,-0.002335,1.000000,465,
fixed,6.0,0.003,2,0.001670,0.001670,0.000005,0.000000,0.000000,0.001670,0.013230,0.014901,0.014901,0.000045,0.000045,1.000000,1.000000,8.485281,8.510625,-0.002232,1.000000,487,
fixed,6.0,0.003,3,0.001888,0.001888,0.000006,0.000000,0.000000,0.001888,0.013788,0.015676,0.015676,0.000047,0.000047,1.000000,1.000000,8.485281,8.518746,-0.001667,1.000000,554,
fixed,6.0,0.003,4,0.001532,0.001532,0.000005,0.000000,0.000000,0.001532,0.013064,0.014596,0.014596,0.000044,0.000044,1.000000,1.000000,8.485281,8.526813,-0.001621,1.000000,482,
fixed,6.0,0.01,0,0.000830,0.000830,0.000008,0.000000,0.000000,0.000830,0.004666,0.005496,0.005496,0.000055,0.000055,1.000000,1.000000,8.485281,8.504417,-0.001190,1.000000,390,
fixed,6.0,0.01,1,0.000646,0.000646,0.000006,0.000000,0.000000,0.000646,0.003268,0.003914,0.003914,0.000039,0.000039,1.000000,1.000000,8.485281,8.495685,-0.000860,1.000000,428,
