frame_setting,anchor_scale,beta,seed,D_hat_train,D_hat_test,beta_D_hat_test,CE_train,CE_test,KL_mean_test,KL_var_test,KL_total_test,KL_total_train,objective_train,objective_test,acc_det,acc_mc,anchor_pair_dist,post_center_min_dist,post_center_mean_cos,min_singular_value,best_epoch,fail
trainable,12.0,0.001,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,1.000000,16.970562,16.970547,0.000000,0.125805,764,
trainable,12.0,0.001,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,1.000000,16.970562,16.970552,0.000000,0.068940,752,
trainable,12.0,0.001,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,1.000000,16.970562,16.970560,0.000000,0.177050,745,
trainable,12.0,0.001,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,1.000000,16.970562,16.970551,-0.000000,0.239380,779,
trainable,12.0,0.001,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,16.970562,16.970524,0.000000,0.170672,702,
trainable,12.0,0.1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,1.000000,16.970562,16.970537,0.000000,0.235205,286,
trainable,12.0,0.1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,1.000000,16.970562,16.970518,0.000000,0.071009,273,
trainable,12.0,0.1,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,16.970562,16.970522,0.000000,0.200519,265,
trainable,12.0,0.1,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,16.970562,16.970509,0.000000,0.260975,264,
trainable,12.0,0.1,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,16.970562,16.970507,0.000000,0.248014,244,
trainable,12.0,10.0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000002,-0.000002,1.000000,1.000000,16.970562,16.970509,0.000000,0.218909,140,
trainable,12.0,10.0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,1.000000,1.000000,16.970562,16.970524,0.000000,0.058503,190,
trainable,12.0,10.0,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000001,-0.000001,1.000000,1.000000,16.970562,16.970495,0.000000,0.407856,144,
trainable,12.0,10.0,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,1.000000,16.970562,16.970486,0.000000,0.301479,154,
trainable,12.0,10.0,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000001,-0.000001,1.000000,1.000000,16.970562,16.970514,0.000000,0.301660,162,
