mode,frame_type,posterior_var_mode,noise_rate,beta,metric,mean,std,n,n_opt_fail
population,fixed,fixed,0,0.001,L_hat_minus_L_comp,0.000136,0.000442,5,0
population,fixed,fixed,0,0.001,beta_excess_d,0.000000,0.000000,5,0
population,fixed,fixed,0,0.001,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0,0.001,d_hat,0.000038,0.000034,5,0
population,fixed,fixed,0,0.001,excess_d,0.000038,0.000034,5,0
population,fixed,fixed,0,0.001,kl_total,0.000038,0.000034,5,0
population,fixed,fixed,0,0.001,noisy_label_acc,1.000000,0.000000,5,0
population,fixed,fixed,0,0.001,trained_objective_mc,0.000420,0.000442,5,0
population,fixed,fixed,0,0.001,trained_risk,0.000000,0.000000,5,0
population,fixed,fixed,0,0.001,trained_risk_mc,0.000420,0.000442,5,0
population,fixed,fixed,0,0.003,L_hat_minus_L_comp,0.000032,0.000143,5,0
population,fixed,fixed,0,0.003,beta_excess_d,0.000000,0.000000,5,0
population,fixed,fixed,0,0.003,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0,0.003,d_hat,0.000037,0.000033,5,0
population,fixed,fixed,0,0.003,excess_d,0.000037,0.000033,5,0
population,fixed,fixed,0,0.003,kl_total,0.000037,0.000033,5,0
population,fixed,fixed,0,0.003,noisy_label_acc,1.000000,0.000000,5,0
population,fixed,fixed,0,0.003,trained_objective_mc,0.000316,0.000143,5,0
population,fixed,fixed,0,0.003,trained_risk,0.000000,0.000000,5,0
population,fixed,fixed,0,0.003,trained_risk_mc,0.000316,0.000143,5,0
population,fixed,fixed,0,0.01,L_hat_minus_L_comp,-0.000111,0.000110,5,0
population,fixed,fixed,0,0.01,beta_excess_d,0.000000,0.000000,5,0
population,fixed,fixed,0,0.01,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0,0.01,d_hat,0.000011,0.000006,5,0
population,fixed,fixed,0,0.01,excess_d,0.000011,0.000006,5,0
population,fixed,fixed,0,0.01,kl_total,0.000011,0.000006,5,0
population,fixed,fixed,0,0.01,noisy_label_acc,1.000000,0.000000,5,0
population,fixed,fixed,0,0.01,trained_objective_mc,0.000173,0.000110,5,0
population,fixed,fixed,0,0.01,trained_risk,0.000000,0.000000,5,0
population,fixed,fixed,0,0.01,trained_risk_mc,0.000173,0.000110,5,0
population,fixed,fixed,0,0.03,L_hat_minus_L_comp,-0.000107,0.000153,5,0
population,fixed,fixed,0,0.03,beta_excess_d,0.000000,0.000000,5,0
population,fixed,fixed,0,0.03,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0,0.03,d_hat,0.000008,0.000002,5,0
population,fixed,fixed,0,0.03,excess_d,0.000008,0.000002,5,0
population,fixed,fixed,0,0.03,kl_total,0.000008,0.000002,5,0
population,fixed,fixed,0,0.03,noisy_label_acc,1.000000,0.000000,5,0
population,fixed,fixed,0,0.03,trained_objective_mc,0.000177,0.000153,5,0
population,fixed,fixed,0,0.03,trained_risk,0.000000,0.000000,5,0
population,fixed,fixed,0,0.03,trained_risk_mc,0.000177,0.000153,5,0
population,fixed,fixed,0,0.1,L_hat_minus_L_comp,-0.000068,0.000068,5,0
population,fixed,fixed,0,0.1,beta_excess_d,0.000001,0.000001,5,0
population,fixed,fixed,0,0.1,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0,0.1,d_hat,0.000006,0.000004,5,0
population,fixed,fixed,0,0.1,excess_d,0.000006,0.000004,5,0
population,fixed,fixed,0,0.1,kl_total,0.000006,0.000004,5,0
population,fixed,fixed,0,0.1,noisy_label_acc,1.000000,0.000000,5,0
population,fixed,fixed,0,0.1,trained_objective_mc,0.000216,0.000068,5,0
population,fixed,fixed,0,0.1,trained_risk,0.000000,0.000000,5,0
population,fixed,fixed,0,0.1,trained_risk_mc,0.000215,0.000068,5,0
population,fixed,fixed,0,0.3,L_hat_minus_L_comp,0.000025,0.000114,5,0
population,fixed,fixed,0,0.3,beta_excess_d,0.000001,0.000000,5,0
population,fixed,fixed,0,0.3,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0,0.3,d_hat,0.000003,0.000002,5,0
population,fixed,fixed,0,0.3,excess_d,0.000003,0.000002,5,0
population,fixed,fixed,0,0.3,kl_total,0.000003,0.000002,5,0
population,fixed,fixed,0,0.3,noisy_label_acc,1.000000,0.000000,5,0
population,fixed,fixed,0,0.3,trained_objective_mc,0.000309,0.000114,5,0
population,fixed,fixed,0,0.3,trained_risk,0.000000,0.000000,5,0
population,fixed,fixed,0,0.3,trained_risk_mc,0.000308,0.000114,5,0
population,fixed,fixed,0,1,L_hat_minus_L_comp,-0.000020,0.000202,5,0
population,fixed,fixed,0,1,beta_excess_d,0.000006,0.000001,5,0
population,fixed,fixed,0,1,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0,1,d_hat,0.000006,0.000001,5,0
population,fixed,fixed,0,1,excess_d,0.000006,0.000001,5,0
population,fixed,fixed,0,1,kl_total,0.000006,0.000001,5,0
population,fixed,fixed,0,1,noisy_label_acc,1.000000,0.000000,5,0
population,fixed,fixed,0,1,trained_objective_mc,0.000264,0.000202,5,0
population,fixed,fixed,0,1,trained_risk,0.000000,0.000000,5,0
population,fixed,fixed,0,1,trained_risk_mc,0.000259,0.000203,5,0
population,fixed,fixed,0,3,L_hat_minus_L_comp,-0.000084,0.000134,5,0
population,fixed,fixed,0,3,beta_excess_d,0.000014,0.000010,5,0
population,fixed,fixed,0,3,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0,3,d_hat,0.000005,0.000003,5,0
population,fixed,fixed,0,3,excess_d,0.000005,0.000003,5,0
population,fixed,fixed,0,3,kl_total,0.000005,0.000003,5,0
population,fixed,fixed,0,3,noisy_label_acc,1.000000,0.000000,5,0
population,fixed,fixed,0,3,trained_objective_mc,0.000200,0.000134,5,0
population,fixed,fixed,0,3,trained_risk,0.000000,0.000000,5,0
population,fixed,fixed,0,3,trained_risk_mc,0.000185,0.000129,5,0
population,fixed,fixed,0,10,L_hat_minus_L_comp,0.000109,0.000091,5,0
population,fixed,fixed,0,10,beta_excess_d,0.000055,0.000036,5,0
population,fixed,fixed,0,10,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0,10,d_hat,0.000005,0.000004,5,0
population,fixed,fixed,0,10,excess_d,0.000005,0.000004,5,0
population,fixed,fixed,0,10,kl_total,0.000005,0.000004,5,0
population,fixed,fixed,0,10,noisy_label_acc,1.000000,0.000000,5,0
population,fixed,fixed,0,10,trained_objective_mc,0.000393,0.000091,5,0
population,fixed,fixed,0,10,trained_risk,0.000000,0.000000,5,0
population,fixed,fixed,0,10,trained_risk_mc,0.000339,0.000112,5,0
population,fixed,fixed,0.1,0.001,L_hat_minus_L_comp,-0.086808,0.005850,5,0
population,fixed,fixed,0.1,0.001,beta_excess_d,0.000014,0.000000,5,0
population,fixed,fixed,0.1,0.001,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.1,0.001,d_hat,3.414036,0.000266,5,0
population,fixed,fixed,0.1,0.001,excess_d,0.014036,0.000266,5,0
population,fixed,fixed,0.1,0.001,kl_total,3.414036,0.000266,5,0
population,fixed,fixed,0.1,0.001,noisy_label_acc,0.900000,0.000000,5,0
population,fixed,fixed,0.1,0.001,trained_objective_mc,3.103809,0.005850,5,0
population,fixed,fixed,0.1,0.001,trained_risk,3.096245,0.001114,5,0
population,fixed,fixed,0.1,0.001,trained_risk_mc,3.100395,0.005850,5,0
population,fixed,fixed,0.1,0.003,L_hat_minus_L_comp,-0.076606,0.004411,5,0
population,fixed,fixed,0.1,0.003,beta_excess_d,0.000036,0.000001,5,0
population,fixed,fixed,0.1,0.003,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.1,0.003,d_hat,3.411881,0.000221,5,0
population,fixed,fixed,0.1,0.003,excess_d,0.011881,0.000221,5,0
population,fixed,fixed,0.1,0.003,kl_total,3.411881,0.000221,5,0
population,fixed,fixed,0.1,0.003,noisy_label_acc,0.900000,0.000000,5,0
population,fixed,fixed,0.1,0.003,trained_objective_mc,3.120812,0.004412,5,0
population,fixed,fixed,0.1,0.003,trained_risk,3.104482,0.001089,5,0
population,fixed,fixed,0.1,0.003,trained_risk_mc,3.110576,0.004411,5,0
population,fixed,fixed,0.1,0.01,L_hat_minus_L_comp,-0.072508,0.002668,5,0
population,fixed,fixed,0.1,0.01,beta_excess_d,0.000099,0.000002,5,0
population,fixed,fixed,0.1,0.01,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.1,0.01,d_hat,3.409910,0.000201,5,0
population,fixed,fixed,0.1,0.01,excess_d,0.009910,0.000201,5,0
population,fixed,fixed,0.1,0.01,kl_total,3.409910,0.000201,5,0
population,fixed,fixed,0.1,0.01,noisy_label_acc,0.900000,0.000000,5,0
population,fixed,fixed,0.1,0.01,trained_objective_mc,3.148709,0.002668,5,0
population,fixed,fixed,0.1,0.01,trained_risk,3.112587,0.000845,5,0
population,fixed,fixed,0.1,0.01,trained_risk_mc,3.114611,0.002669,5,0
population,fixed,fixed,0.1,0.03,L_hat_minus_L_comp,-0.060600,0.004310,5,0
population,fixed,fixed,0.1,0.03,beta_excess_d,0.000243,0.000005,5,0
population,fixed,fixed,0.1,0.03,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.1,0.03,d_hat,3.408115,0.000168,5,0
population,fixed,fixed,0.1,0.03,excess_d,0.008115,0.000168,5,0
population,fixed,fixed,0.1,0.03,kl_total,3.408115,0.000168,5,0
population,fixed,fixed,0.1,0.03,noisy_label_acc,0.900000,0.000000,5,0
population,fixed,fixed,0.1,0.03,trained_objective_mc,3.228618,0.004310,5,0
population,fixed,fixed,0.1,0.03,trained_risk,3.120704,0.001015,5,0
population,fixed,fixed,0.1,0.03,trained_risk_mc,3.126374,0.004310,5,0
population,fixed,fixed,0.1,0.1,L_hat_minus_L_comp,-0.053077,0.004941,5,0
population,fixed,fixed,0.1,0.1,beta_excess_d,0.000652,0.000012,5,0
population,fixed,fixed,0.1,0.1,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.1,0.1,d_hat,3.406518,0.000118,5,0
population,fixed,fixed,0.1,0.1,excess_d,0.006518,0.000118,5,0
population,fixed,fixed,0.1,0.1,kl_total,3.406518,0.000118,5,0
population,fixed,fixed,0.1,0.1,noisy_label_acc,0.900000,0.000000,5,0
population,fixed,fixed,0.1,0.1,trained_objective_mc,3.474141,0.004940,5,0
population,fixed,fixed,0.1,0.1,trained_risk,3.128734,0.000704,5,0
population,fixed,fixed,0.1,0.1,trained_risk_mc,3.133489,0.004946,5,0
population,fixed,fixed,0.1,0.3,L_hat_minus_L_comp,-0.046562,0.004758,5,0
population,fixed,fixed,0.1,0.3,beta_excess_d,0.001521,0.000029,5,0
population,fixed,fixed,0.1,0.3,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.1,0.3,d_hat,3.405069,0.000096,5,0
population,fixed,fixed,0.1,0.3,excess_d,0.005069,0.000096,5,0
population,fixed,fixed,0.1,0.3,kl_total,3.405069,0.000096,5,0
population,fixed,fixed,0.1,0.3,noisy_label_acc,0.900000,0.000000,5,0
population,fixed,fixed,0.1,0.3,trained_objective_mc,4.160656,0.004757,5,0
population,fixed,fixed,0.1,0.3,trained_risk,3.137020,0.000641,5,0
population,fixed,fixed,0.1,0.3,trained_risk_mc,3.139135,0.004769,5,0
population,fixed,fixed,0.1,1,L_hat_minus_L_comp,-0.035427,0.005617,5,0
population,fixed,fixed,0.1,1,beta_excess_d,0.003812,0.000074,5,0
population,fixed,fixed,0.1,1,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.1,1,d_hat,3.403812,0.000074,5,0
population,fixed,fixed,0.1,1,excess_d,0.003812,0.000074,5,0
population,fixed,fixed,0.1,1,kl_total,3.403812,0.000074,5,0
population,fixed,fixed,0.1,1,noisy_label_acc,0.900000,0.000000,5,0
population,fixed,fixed,0.1,1,trained_objective_mc,6.551791,0.005617,5,0
population,fixed,fixed,0.1,1,trained_risk,3.145317,0.000592,5,0
population,fixed,fixed,0.1,1,trained_risk_mc,3.147978,0.005629,5,0
population,fixed,fixed,0.1,3,L_hat_minus_L_comp,-0.023861,0.003215,5,0
population,fixed,fixed,0.1,3,beta_excess_d,0.008217,0.000174,5,0
population,fixed,fixed,0.1,3,clean_class_acc,1.000000,0.000000,5,0
population,fixed,fixed,0.1,3,d_hat,3.402739,0.000058,5,0
population,fixed,fixed,0.1,3,excess_d,0.002739,0.000058,5,0
population,fixed,fixed,0.1,3,kl_total,3.402739,0.000058,5,0
population,fixed,fixed,0.1,3,noisy_label_acc,0.900000,0.000000,5,0
population,fixed,fixed,0.1,3,trained_objective_mc,13.363357,0.003215,5,0
population,fixed,fixed,0.1,3,trained_risk,3.153624,0.000559,5,0
