mode,frame_type,posterior_var_mode,noise_rate,beta,anchor_scale,seed,checkpoint,best_epoch,total_epochs,hit_epoch_cap,d_hat,kl_var,kl_total,consistency_check,trained_risk,trained_risk_mc,trained_objective,trained_objective_mc,delta_noise,comparator_risk,comparator_objective,L_hat_minus_L_comp,opt_fail,excess_d,beta_excess_d,noisy_label_acc,clean_class_acc,noisy_label_acc_mc,min_center_distance,mean_center_distance,mean_center_anchor_err,min_sigma_u,raw_ortho_dev,eta_dev,fail
population,fixed,paper,0,10,6.0,3,best,1664,3664,0,0.000002,0.000001,0.000003,0.00e+00,-0.000000,0.000445,0.000027,0.000472,0.000000,0.000284,0.000284,0.000188,0,0.000002,0.000019,1.000000,1.000000,1.000000,8.483068,8.485209,0.001814,1.000000,0.000000,0.000000,
population,fixed,paper,0,10,6.0,3,final,1664,3664,0,0.000000,-0.000000,-0.000000,0.00e+00,-0.000000,0.000429,-0.000000,0.000429,0.000000,0.000284,0.000284,0.000145,0,0.000000,0.000000,1.000000,1.000000,1.000000,8.485280,8.485291,0.000037,1.000000,0.000000,0.000000,
population,fixed,paper,0,3,6.0,3,best,28,2028,0,0.000003,0.000001,0.000004,0.00e+00,-0.000000,0.000243,0.000011,0.000254,0.000000,0.000284,0.000284,-0.000030,0,0.000003,0.000009,1.000000,1.000000,1.000000,8.484283,8.486106,0.002438,1.000000,0.000000,0.000000,
population,fixed,paper,0,3,6.0,3,final,28,2028,0,0.000000,0.000001,0.000001,0.00e+00,-0.000000,0.000206,0.000003,0.000208,0.000000,0.000284,0.000284,-0.000076,0,0.000000,0.000001,1.000000,1.000000,1.000000,8.484089,8.485391,0.000735,1.000000,0.000000,0.000000,
population,fixed,paper,0,1,6.0,3,best,66,2066,0,0.000000,0.000001,0.000001,0.00e+00,-0.000000,0.000569,0.000001,0.000571,0.000000,0.000284,0.000284,0.000287,0,0.000000,0.000000,1.000000,1.000000,1.000000,8.484727,8.485430,0.000848,1.000000,0.000000,0.000000,
population,fixed,paper,0,1,6.0,3,final,66,2066,0,0.000000,0.000000,0.000000,0.00e+00,-0.000000,0.000591,0.000000,0.000591,0.000000,0.000284,0.000284,0.000307,0,0.000000,0.000000,1.000000,1.000000,1.000000,8.485182,8.485278,0.000068,1.000000,0.000000,0.000000,
population,fixed,paper,0,0.3,6.0,3,best,18,2018,0,0.000009,0.000001,0.000011,0.00e+00,-0.000000,0.000332,0.000003,0.000335,0.000000,0.000284,0.000284,0.000051,0,0.000009,0.000003,1.000000,1.000000,1.000000,8.482822,8.486134,0.004131,1.000000,0.000000,0.000000,
population,fixed,paper,0,0.3,6.0,3,final,18,2018,0,0.000000,0.000010,0.000011,0.00e+00,-0.000000,0.000223,0.000003,0.000226,0.000000,0.000284,0.000284,-0.000058,0,0.000000,0.000000,1.000000,1.000000,1.000000,8.485090,8.485409,0.000458,1.000000,0.000000,0.000000,
population,fixed,paper,0,0.1,6.0,3,best,22,2022,0,0.000005,0.000002,0.000007,0.00e+00,-0.000000,0.000206,0.000001,0.000207,0.000000,0.000284,0.000284,-0.000077,0,0.000005,0.000001,1.000000,1.000000,1.000000,8.480335,8.484337,0.003206,1.000000,0.000000,0.000000,
population,fixed,paper,0,0.1,6.0,3,final,22,2022,0,0.000120,0.001049,0.001169,0.00e+00,-0.000000,0.000140,0.000117,0.000257,0.000000,0.000284,0.000284,-0.000027,0,0.000120,0.000012,1.000000,1.000000,1.000000,8.480530,8.491443,0.008353,1.000000,0.000000,0.000000,
