seed,noise_rate,beta,frame_type,posterior_var_mode,D_0,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9
3,0,10,fixed,paper,"[5.212054361436458e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 2.0585584934451617e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 6.218027010618243e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0234098226646893e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 8.197068837034749e-07, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.4561834404958063e-06, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.714927404667833e-06, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.146348934838898e-07, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.537118330626981e-07, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5151407498924527e-06]"
3,0,3,fixed,paper,"[3.7649379009963013e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.8858454495784827e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.779544608230935e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 3.418210781092057e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.208747673648759e-06, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.7278455288760597e-06, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.223744559159968e-06, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.783527401741594e-06, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.12667771645647e-06, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.536499545793049e-06]"
3,0,1,fixed,paper,"[4.533644073489995e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 2.920369013281743e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 3.998070781108254e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.5300199152079585e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 4.866902827416197e-07, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 2.4782133323242306e-07, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.205401242212247e-07, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5448844098718837e-07, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8305484534030256e-07, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.221826076100115e-07]"
3,0,0.3,fixed,paper,"[1.2319732377363835e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.273170710192062e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.4679349988000467e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 7.648774044355378e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0846320947166532e-05, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 3.947734967368888e-06, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1654445845342707e-06, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7799138731788844e-05, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7542074601806235e-06, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0489512533240486e-05]"
3,0,0.1,fixed,paper,"[6.4552937146800105e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.155945301434258e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 2.5711451598908752e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 2.1737216684414307e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.1812450086144963e-06, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 5.551326012209756e-06, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.721713361912407e-06, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.967631866747979e-06, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.690251444117166e-06, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.012043508642819e-06]"
3,0,0.03,fixed,paper,"[3.7440527194121387e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 4.218329650029773e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.8298002032679506e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.9123804122500587e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 3.939310317946365e-06, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 2.2150086351757636e-06, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.082718078279868e-06, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.123856004094705e-06, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.2220666525972774e-06, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3159147986007156e-06]"
3,0,0.01,fixed,paper,"[8.277358574559912e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 4.397671727929264e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.00012223860539961606, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.56944141862914e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0001589337771292776, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 5.554032395593822e-05, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.773664063075557e-05, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00013074986054562032, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00022357238049153239, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00014599782298319042]"
3,0,0.003,fixed,paper,"[6.844187009846792e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.00012279667134862393, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 3.982975977123715e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 9.141430200543255e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0001071286023943685, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.00012068884825566784, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00014239671872928739, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00012749418965540826, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.574647704837844e-05, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.7443434848682955e-05]"
3,0,0.001,fixed,paper,"[3.0162585971993394e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.8431410353514366e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.4256289659897448e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 3.827243290288607e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 2.6783006887853844e-06, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.007425908028381e-05, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.912924396194285e-06, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.369954927416984e-06, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5156638002954423e-05, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.038396587522584e-06]"
3,0.1,10,fixed,fixed,"[0.21580827236175537, 0.3539978265762329, 0.3540220856666565, 0.35402584075927734, 0.35394930839538574, 0.35400110483169556, 0.3540247678756714, 0.35402244329452515, 0.35400280356407166, 0.3539503216743469]","[0.35389235615730286, 0.21621057391166687, 0.35394367575645447, 0.3539314866065979, 0.3538301885128021, 0.3542710542678833, 0.3540008068084717, 0.3539618253707886, 0.3539612293243408, 0.3538530468940735]","[0.3541928827762604, 0.3542892336845398, 0.21249322593212128, 0.3542994260787964, 0.3549862504005432, 0.3542656898498535, 0.3542671799659729, 0.3542017638683319, 0.3542744517326355, 0.35427746176719666]","[0.35438892245292664, 0.3543689548969269, 0.3544810712337494, 0.21031886339187622, 0.3544860780239105, 0.35441482067108154, 0.35451793670654297, 0.3547188639640808, 0.3543662130832672, 0.35532861948013306]","[0.35371676087379456, 0.3539807200431824, 0.35377007722854614, 0.35378798842430115, 0.21775417029857635, 0.35378068685531616, 0.35380226373672485, 0.35382139682769775, 0.35383203625679016, 0.35375410318374634]","[0.3538629412651062, 0.3541409969329834, 0.35398194193840027, 0.3539230525493622, 0.3539007902145386, 0.2162967324256897, 0.35389429330825806, 0.3539141118526459, 0.3539656698703766, 0.35397598147392273]","[0.35368913412094116, 0.35382407903671265, 0.3537623882293701, 0.35374149680137634, 0.3537827730178833, 0.3536933958530426, 0.21839360892772675, 0.35371705889701843, 0.35376638174057007, 0.35369306802749634]","[0.3537052273750305, 0.353878915309906, 0.3538497984409332, 0.35376879572868347, 0.35370856523513794, 0.35379064083099365, 0.3537769913673401, 0.21794947981834412, 0.35383179783821106, 0.35375842452049255]","[0.353706419467926, 0.3537571430206299, 0.3537466824054718, 0.3537026047706604, 0.35383862257003784, 0.3537878692150116, 0.35378122329711914, 0.35379546880722046, 0.21824707090854645, 0.35368433594703674]","[0.35375329852104187, 0.3539693355560303, 0.3538700044155121, 0.3537890315055847, 0.35388511419296265, 0.3538699746131897, 0.3538074791431427, 0.3537663519382477, 0.35389241576194763, 0.21735817193984985]"
