dataset,backbone,model,beta,anchor,metric,mean,std
imagenet100,mlp,opb,0.0001,1,Acc,0.8256,0.0031
imagenet100,mlp,opb,0.0001,2,Acc,0.8212,0.0019
imagenet100,mlp,opb,0.0001,4,Acc,0.8118,0.004
imagenet100,mlp,opb,0.0001,6,Acc,0.8102,0.0055
imagenet100,mlp,opb,0.0001,8,Acc,0.8044,0.003
imagenet100,mlp,opb,0.0001,10,Acc,0.8062,0.0033
imagenet100,mlp,opb,0.0001,12,Acc,0.7984,0.0026
imagenet100,mlp,opb,0.0001,14,Acc,0.8,0.0032
imagenet100,mlp,opb,0.0001,16,Acc,0.797,0.005
imagenet100,mlp,opb,0.001,1,Acc,0.8282,0.0056
imagenet100,mlp,opb,0.001,2,Acc,0.8254,0.0018
imagenet100,mlp,opb,0.001,4,Acc,0.8121,0.002
imagenet100,mlp,opb,0.001,6,Acc,0.81,0.0046
imagenet100,mlp,opb,0.001,8,Acc,0.8061,0.0066
imagenet100,mlp,opb,0.001,10,Acc,0.8029,0.0042
imagenet100,mlp,opb,0.001,12,Acc,0.8024,0.005
imagenet100,mlp,opb,0.001,14,Acc,0.8001,0.0029
imagenet100,mlp,opb,0.001,16,Acc,0.8,0.0043
imagenet100,mlp,opb,0.01,1,Acc,0.8306,0.007
imagenet100,mlp,opb,0.01,2,Acc,0.8334,0.002
imagenet100,mlp,opb,0.01,4,Acc,0.8224,0.0026
imagenet100,mlp,opb,0.01,6,Acc,0.8176,0.0069
imagenet100,mlp,opb,0.01,8,Acc,0.8119,0.0061
imagenet100,mlp,opb,0.01,10,Acc,0.8111,0.003
imagenet100,mlp,opb,0.01,12,Acc,0.8062,0.0048
imagenet100,mlp,opb,0.01,14,Acc,0.8054,0.0037
imagenet100,mlp,opb,0.01,16,Acc,0.7991,0.0058
imagenet100,mlp,opb,0.1,1,Acc,0.8328,0.0078
imagenet100,mlp,opb,0.1,2,Acc,0.8357,0.0026
imagenet100,mlp,opb,0.1,4,Acc,0.8321,0.0023
imagenet100,mlp,opb,0.1,6,Acc,0.8186,0.0139
imagenet100,mlp,opb,0.1,8,Acc,0.8252,0.001
imagenet100,mlp,opb,0.1,10,Acc,0.823,0.0011
imagenet100,mlp,opb,0.1,12,Acc,0.8165,0.012
imagenet100,mlp,opb,0.1,14,Acc,0.8159,0.0099
imagenet100,mlp,opb,0.1,16,Acc,0.8162,0.0026
imagenet100,mlp,opb,1,1,Acc,0.01,0.0005
imagenet100,mlp,opb,1,2,Acc,0.1047,0.0202
imagenet100,mlp,opb,1,4,Acc,0.7874,0.0166
imagenet100,mlp,opb,1,6,Acc,0.8336,0.0049
imagenet100,mlp,opb,1,8,Acc,0.839,0.0038
imagenet100,mlp,opb,1,10,Acc,0.8404,0.0015
imagenet100,mlp,opb,1,12,Acc,0.8422,0.0015
imagenet100,mlp,opb,1,14,Acc,0.844,0.0021
imagenet100,mlp,opb,1,16,Acc,0.8436,0.002
imagenet100,mlp,opb,10,1,Acc,0.0103,0.0
imagenet100,mlp,opb,10,2,Acc,0.0104,0.0002
imagenet100,mlp,opb,10,4,Acc,0.1989,0.0358
imagenet100,mlp,opb,10,6,Acc,0.6852,0.0167
imagenet100,mlp,opb,10,8,Acc,0.7465,0.0245
imagenet100,mlp,opb,10,10,Acc,0.7879,0.0106
imagenet100,mlp,opb,10,12,Acc,0.8043,0.0164
imagenet100,mlp,opb,10,14,Acc,0.8126,0.0147
imagenet100,mlp,opb,10,16,Acc,0.8164,0.0167
imagenet100,mlp,base,,,Acc,0.8312,0.0014
agedb,mlp,opb,0.0001,1,R2,0.2604,0.0301
agedb,mlp,opb,0.0001,2,R2,0.2632,0.0158
agedb,mlp,opb,0.0001,4,R2,0.238,0.0093
agedb,mlp,opb,0.0001,6,R2,0.2369,0.0073
agedb,mlp,opb,0.0001,8,R2,0.2454,0.004
agedb,mlp,opb,0.0001,10,R2,0.2352,0.0063
agedb,mlp,opb,0.0001,12,R2,0.232,0.0134
agedb,mlp,opb,0.0001,14,R2,0.2307,0.0211
agedb,mlp,opb,0.0001,16,R2,0.2251,0.0091
agedb,mlp,opb,0.001,1,R2,0.2885,0.016
agedb,mlp,opb,0.001,2,R2,0.2652,0.0208
agedb,mlp,opb,0.001,4,R2,0.255,0.005
agedb,mlp,opb,0.001,6,R2,0.2365,0.01
agedb,mlp,opb,0.001,8,R2,0.2447,0.0115
agedb,mlp,opb,0.001,10,R2,0.2184,0.0134
agedb,mlp,opb,0.001,12,R2,0.2368,0.0268
agedb,mlp,opb,0.001,14,R2,0.2193,0.017
agedb,mlp,opb,0.001,16,R2,0.2202,0.0104
agedb,mlp,opb,0.01,1,R2,0.2807,0.0216
agedb,mlp,opb,0.01,2,R2,0.2558,0.0193
agedb,mlp,opb,0.01,4,R2,0.2368,0.0079
agedb,mlp,opb,0.01,6,R2,0.2279,0.0176
agedb,mlp,opb,0.01,8,R2,0.2383,0.0097
agedb,mlp,opb,0.01,10,R2,0.241,0.0084
agedb,mlp,opb,0.01,12,R2,0.2291,0.0125
agedb,mlp,opb,0.01,14,R2,0.2273,0.0044
agedb,mlp,opb,0.01,16,R2,0.232,0.0113
agedb,mlp,opb,0.1,1,R2,0.1708,0.0116
agedb,mlp,opb,0.1,2,R2,0.2654,0.0626
agedb,mlp,opb,0.1,4,R2,0.3505,0.0043
agedb,mlp,opb,0.1,6,R2,0.3536,0.0076
agedb,mlp,opb,0.1,8,R2,0.337,0.0111
agedb,mlp,opb,0.1,10,R2,0.3179,0.0089
agedb,mlp,opb,0.1,12,R2,0.2692,0.027
agedb,mlp,opb,0.1,14,R2,0.2355,0.0122
agedb,mlp,opb,0.1,16,R2,0.2232,0.0207
agedb,mlp,opb,1,1,R2,-0.003,0.0
agedb,mlp,opb,1,2,R2,-0.0026,0.0008
agedb,mlp,opb,1,4,R2,-0.0007,0.0002
agedb,mlp,opb,1,6,R2,0.1364,0.187
agedb,mlp,opb,1,8,R2,0.3457,0.0148
agedb,mlp,opb,1,10,R2,0.3015,0.0106
agedb,mlp,opb,1,12,R2,0.2469,0.0312
agedb,mlp,opb,1,14,R2,0.2239,0.0041
agedb,mlp,opb,1,16,R2,0.2316,0.0229
agedb,mlp,opb,10,1,R2,-0.0002,0.0002
agedb,mlp,opb,10,2,R2,-0.0009,0.0002
agedb,mlp,opb,10,4,R2,-0.0003,0.0001
agedb,mlp,opb,10,6,R2,0.2095,0.1914
agedb,mlp,opb,10,8,R2,0.3327,0.0106
agedb,mlp,opb,10,10,R2,0.288,0.0209
agedb,mlp,opb,10,12,R2,0.2508,0.0318
agedb,mlp,opb,10,14,R2,0.2152,0.0075
agedb,mlp,opb,10,16,R2,0.2237,0.0184
agedb,mlp,base,,,R2,0.218,0.0409
