2026-09-06 07:40:31 | Device: cuda
2026-09-06 07:40:31 | Args: {'model': 'adacap', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'energy_classifier': False, 'tied_head': False, 'max_len': 250, 'random_labels': False, 'beta': 0.01, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_adacap/california_mlp_adacap.pt', 'log_path': '/root/autodl-tmp/IB/tune_results/california_mlp_adacap_beta_0.01/train.log', 'no_save': True}
2026-09-06 07:40:31 | ===== Run 1/5 (seed 0) =====
2026-09-06 07:40:32 | Epoch   1/100 | Train Loss -0.0182 | Val Loss 0.0149 MAE 0.4200 R2 0.7456
2026-09-06 07:40:32 |   Val R2 improved to 0.7456, model saved
2026-09-06 07:40:33 | Epoch   2/100 | Train Loss -0.0199 | Val Loss 0.0155 MAE 0.4181 R2 0.7339
2026-09-06 07:40:33 | Epoch   3/100 | Train Loss -0.0205 | Val Loss 0.0143 MAE 0.4134 R2 0.7558
2026-09-06 07:40:33 |   Val R2 improved to 0.7558, model saved
2026-09-06 07:40:34 | Epoch   4/100 | Train Loss -0.0209 | Val Loss 0.0139 MAE 0.4060 R2 0.7622
2026-09-06 07:40:34 |   Val R2 improved to 0.7622, model saved
2026-09-06 07:40:34 | Epoch   5/100 | Train Loss -0.0219 | Val Loss 0.0140 MAE 0.4024 R2 0.7610
2026-09-06 07:40:34 | Epoch   6/100 | Train Loss -0.0221 | Val Loss 0.0138 MAE 0.4021 R2 0.7641
2026-09-06 07:40:34 |   Val R2 improved to 0.7641, model saved
2026-09-06 07:40:34 | Epoch   7/100 | Train Loss -0.0226 | Val Loss 0.0207 MAE 0.4104 R2 0.6458
2026-09-06 07:40:35 | Epoch   8/100 | Train Loss -0.0229 | Val Loss 0.0139 MAE 0.4052 R2 0.7626
2026-09-06 07:40:35 | Epoch   9/100 | Train Loss -0.0234 | Val Loss 0.0138 MAE 0.4025 R2 0.7634
2026-09-06 07:40:35 | Epoch  10/100 | Train Loss -0.0234 | Val Loss 0.0150 MAE 0.4074 R2 0.7427
2026-09-06 07:40:36 | Epoch  11/100 | Train Loss -0.0236 | Val Loss 0.0139 MAE 0.4009 R2 0.7614
2026-09-06 07:40:36 | Epoch  12/100 | Train Loss -0.0239 | Val Loss 0.0137 MAE 0.3967 R2 0.7656
2026-09-06 07:40:36 |   Val R2 improved to 0.7656, model saved
2026-09-06 07:40:36 | Epoch  13/100 | Train Loss -0.0239 | Val Loss 0.0134 MAE 0.3941 R2 0.7696
2026-09-06 07:40:36 |   Val R2 improved to 0.7696, model saved
