2026-08-26 21:07:51 | Device: cuda
2026-08-26 21:07:51 | Args: {'model': 'dvcca', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'max_len': 250, 'random_labels': False, 'beta': 1.0, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_dvcca/california_mlp_dvcca.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results/california_mlp_dvcca_beta_1/train.log', 'no_save': True}
2026-08-26 21:07:51 | ===== Run 1/5 (seed 0) =====
2026-08-26 21:07:52 | Epoch   1/100 | Train Loss 1.6645 | Val Loss 2.4186 MAE 1.4807 R2 -1.5424
2026-08-26 21:07:52 |   Val R2 improved to -1.5424, model saved
2026-08-26 21:07:53 | Epoch   2/100 | Train Loss 1.2949 | Val Loss 2.4067 MAE 1.6019 R2 -1.8489
2026-08-26 21:07:53 | Epoch   3/100 | Train Loss 1.2101 | Val Loss 2.3947 MAE 1.5838 R2 -1.8186
2026-08-26 21:07:53 | Epoch   4/100 | Train Loss 1.1717 | Val Loss 2.3807 MAE 1.5013 R2 -1.6309
2026-08-26 21:07:54 | Epoch   5/100 | Train Loss 1.1510 | Val Loss 2.3662 MAE 1.4028 R2 -1.4058
2026-08-26 21:07:54 |   Val R2 improved to -1.4058, model saved
2026-08-26 21:07:54 | Epoch   6/100 | Train Loss 1.1362 | Val Loss 2.3536 MAE 1.3123 R2 -1.1981
2026-08-26 21:07:54 |   Val R2 improved to -1.1981, model saved
2026-08-26 21:07:55 | Epoch   7/100 | Train Loss 1.1233 | Val Loss 2.3425 MAE 1.2320 R2 -1.0146
2026-08-26 21:07:55 |   Val R2 improved to -1.0146, model saved
2026-08-26 21:07:55 | Epoch   8/100 | Train Loss 1.1130 | Val Loss 2.3330 MAE 1.1642 R2 -0.8545
2026-08-26 21:07:55 |   Val R2 improved to -0.8545, model saved
2026-08-26 21:07:55 | Epoch   9/100 | Train Loss 1.1044 | Val Loss 2.3248 MAE 1.1081 R2 -0.7170
2026-08-26 21:07:55 |   Val R2 improved to -0.7170, model saved
2026-08-26 21:07:56 | Epoch  10/100 | Train Loss 1.0951 | Val Loss 2.3177 MAE 1.0608 R2 -0.5977
2026-08-26 21:07:56 |   Val R2 improved to -0.5977, model saved
2026-08-26 21:07:56 | Epoch  11/100 | Train Loss 1.0894 | Val Loss 2.3118 MAE 1.0213 R2 -0.4950
2026-08-26 21:07:56 |   Val R2 improved to -0.4950, model saved
2026-08-26 21:07:57 | Epoch  12/100 | Train Loss 1.0840 | Val Loss 2.3065 MAE 0.9887 R2 -0.4077
2026-08-26 21:07:57 |   Val R2 improved to -0.4077, model saved
2026-08-26 21:07:57 | Epoch  13/100 | Train Loss 1.0788 | Val Loss 2.3021 MAE 0.9620 R2 -0.3333
2026-08-26 21:07:57 |   Val R2 improved to -0.3333, model saved
2026-08-26 21:07:57 | Epoch  14/100 | Train Loss 1.0749 | Val Loss 2.2985 MAE 0.9418 R2 -0.2716
2026-08-26 21:07:57 |   Val R2 improved to -0.2716, model saved
2026-08-26 21:07:58 | Epoch  15/100 | Train Loss 1.0718 | Val Loss 2.2954 MAE 0.9264 R2 -0.2197
2026-08-26 21:07:58 |   Val R2 improved to -0.2197, model saved
2026-08-26 21:07:58 | Epoch  16/100 | Train Loss 1.0688 | Val Loss 2.2929 MAE 0.9149 R2 -0.1762
2026-08-26 21:07:59 |   Val R2 improved to -0.1762, model saved
2026-08-26 21:07:59 | Epoch  17/100 | Train Loss 1.0668 | Val Loss 2.2908 MAE 0.9071 R2 -0.1412
2026-08-26 21:07:59 |   Val R2 improved to -0.1412, model saved
2026-08-26 21:07:59 | Epoch  18/100 | Train Loss 1.0647 | Val Loss 2.2890 MAE 0.9019 R2 -0.1118
2026-08-26 21:07:59 |   Val R2 improved to -0.1118, model saved
2026-08-26 21:08:00 | Epoch  19/100 | Train Loss 1.0631 | Val Loss 2.2875 MAE 0.8987 R2 -0.0880
2026-08-26 21:08:00 |   Val R2 improved to -0.0880, model saved
2026-08-26 21:08:01 | Epoch  20/100 | Train Loss 1.0617 | Val Loss 2.2865 MAE 0.8974 R2 -0.0691
2026-08-26 21:08:01 |   Val R2 improved to -0.0691, model saved
2026-08-26 21:08:01 | Epoch  21/100 | Train Loss 1.0608 | Val Loss 2.2856 MAE 0.8973 R2 -0.0537
2026-08-26 21:08:01 |   Val R2 improved to -0.0537, model saved
2026-08-26 21:08:02 | Epoch  22/100 | Train Loss 1.0601 | Val Loss 2.2849 MAE 0.8980 R2 -0.0414
2026-08-26 21:08:02 |   Val R2 improved to -0.0414, model saved
2026-08-26 21:08:02 | Epoch  23/100 | Train Loss 1.0595 | Val Loss 2.2844 MAE 0.8995 R2 -0.0320
2026-08-26 21:08:02 |   Val R2 improved to -0.0320, model saved
2026-08-26 21:08:03 | Epoch  24/100 | Train Loss 1.0590 | Val Loss 2.2838 MAE 0.9015 R2 -0.0245
2026-08-26 21:08:03 |   Val R2 improved to -0.0245, model saved
2026-08-26 21:08:03 | Epoch  25/100 | Train Loss 1.0587 | Val Loss 2.2833 MAE 0.9039 R2 -0.0184
2026-08-26 21:08:03 |   Val R2 improved to -0.0184, model saved
2026-08-26 21:08:03 | Epoch  26/100 | Train Loss 1.0582 | Val Loss 2.2832 MAE 0.9062 R2 -0.0140
2026-08-26 21:08:03 |   Val R2 improved to -0.0140, model saved
2026-08-26 21:08:04 | Epoch  27/100 | Train Loss 1.0585 | Val Loss 2.2830 MAE 0.9084 R2 -0.0106
2026-08-26 21:08:04 |   Val R2 improved to -0.0106, model saved
2026-08-26 21:08:04 | Epoch  28/100 | Train Loss 1.0582 | Val Loss 2.2828 MAE 0.9104 R2 -0.0081
2026-08-26 21:08:04 |   Val R2 improved to -0.0081, model saved
2026-08-26 21:08:04 | Epoch  29/100 | Train Loss 1.0579 | Val Loss 2.2827 MAE 0.9124 R2 -0.0061
2026-08-26 21:08:04 |   Val R2 improved to -0.0061, model saved
2026-08-26 21:08:05 | Epoch  30/100 | Train Loss 1.0576 | Val Loss 2.2825 MAE 0.9142 R2 -0.0045
2026-08-26 21:08:05 |   Val R2 improved to -0.0045, model saved
2026-08-26 21:08:05 | Epoch  31/100 | Train Loss 1.0577 | Val Loss 2.2823 MAE 0.9157 R2 -0.0035
2026-08-26 21:08:05 |   Val R2 improved to -0.0035, model saved
2026-08-26 21:08:05 | Epoch  32/100 | Train Loss 1.0580 | Val Loss 2.2823 MAE 0.9172 R2 -0.0026
2026-08-26 21:08:05 |   Val R2 improved to -0.0026, model saved
2026-08-26 21:08:06 | Epoch  33/100 | Train Loss 1.0573 | Val Loss 2.2823 MAE 0.9184 R2 -0.0020
2026-08-26 21:08:06 |   Val R2 improved to -0.0020, model saved
2026-08-26 21:08:06 | Epoch  34/100 | Train Loss 1.0578 | Val Loss 2.2824 MAE 0.9195 R2 -0.0015
2026-08-26 21:08:06 |   Val R2 improved to -0.0015, model saved
2026-08-26 21:08:06 | Epoch  35/100 | Train Loss 1.0576 | Val Loss 2.2823 MAE 0.9206 R2 -0.0011
2026-08-26 21:08:06 |   Val R2 improved to -0.0011, model saved
2026-08-26 21:08:07 | Epoch  36/100 | Train Loss 1.0574 | Val Loss 2.2824 MAE 0.9212 R2 -0.0009
2026-08-26 21:08:07 |   Val R2 improved to -0.0009, model saved
2026-08-26 21:08:07 | Epoch  37/100 | Train Loss 1.0577 | Val Loss 2.2822 MAE 0.9220 R2 -0.0007
2026-08-26 21:08:07 |   Val R2 improved to -0.0007, model saved
2026-08-26 21:08:08 | Epoch  38/100 | Train Loss 1.0574 | Val Loss 2.2823 MAE 0.9224 R2 -0.0006
2026-08-26 21:08:08 |   Val R2 improved to -0.0006, model saved
2026-08-26 21:08:08 | Epoch  39/100 | Train Loss 1.0576 | Val Loss 2.2823 MAE 0.9230 R2 -0.0005
2026-08-26 21:08:08 |   Val R2 improved to -0.0005, model saved
2026-08-26 21:08:08 | Epoch  40/100 | Train Loss 1.0577 | Val Loss 2.2823 MAE 0.9233 R2 -0.0004
2026-08-26 21:08:08 |   Val R2 improved to -0.0004, model saved
2026-08-26 21:08:09 | Epoch  41/100 | Train Loss 1.0573 | Val Loss 2.2822 MAE 0.9233 R2 -0.0004
2026-08-26 21:08:09 |   Val R2 improved to -0.0004, model saved
2026-08-26 21:08:09 | Epoch  42/100 | Train Loss 1.0581 | Val Loss 2.2822 MAE 0.9237 R2 -0.0003
2026-08-26 21:08:09 |   Val R2 improved to -0.0003, model saved
2026-08-26 21:08:09 | Epoch  43/100 | Train Loss 1.0578 | Val Loss 2.2821 MAE 0.9238 R2 -0.0003
2026-08-26 21:08:09 |   Val R2 improved to -0.0003, model saved
