2026-08-26 21:12:36 | Device: cuda
2026-08-26 21:12:36 | Args: {'model': 'fgib', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 6.0, 'max_len': 250, 'random_labels': False, 'beta': 0.001, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_fgib/california_mlp_fgib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results/california_mlp_fgib_beta_0.001_anchor_6/train.log', 'no_save': True}
2026-08-26 21:12:36 | ===== Run 1/5 (seed 0) =====
2026-08-26 21:12:37 | Epoch   1/100 | Train Loss 0.0903 | Val Loss 0.0650 MAE 0.5939 R2 0.1506
2026-08-26 21:12:37 |   Val R2 improved to 0.1506, model saved
2026-08-26 21:12:38 | Epoch   2/100 | Train Loss 0.0408 | Val Loss 0.0514 MAE 0.4952 R2 0.3574
2026-08-26 21:12:38 |   Val R2 improved to 0.3574, model saved
2026-08-26 21:12:38 | Epoch   3/100 | Train Loss 0.0349 | Val Loss 0.0707 MAE 0.4643 R2 0.0175
2026-08-26 21:12:38 | Epoch   4/100 | Train Loss 0.0369 | Val Loss 0.0425 MAE 0.4463 R2 0.4952
2026-08-26 21:12:38 |   Val R2 improved to 0.4952, model saved
2026-08-26 21:12:39 | Epoch   5/100 | Train Loss 0.0314 | Val Loss 0.0334 MAE 0.4316 R2 0.6327
2026-08-26 21:12:39 |   Val R2 improved to 0.6327, model saved
2026-08-26 21:12:39 | Epoch   6/100 | Train Loss 0.0294 | Val Loss 0.0270 MAE 0.4203 R2 0.7187
2026-08-26 21:12:39 |   Val R2 improved to 0.7187, model saved
2026-08-26 21:12:39 | Epoch   7/100 | Train Loss 0.0298 | Val Loss 0.0274 MAE 0.4308 R2 0.7046
2026-08-26 21:12:40 | Epoch   8/100 | Train Loss 0.0285 | Val Loss 0.0257 MAE 0.4203 R2 0.7321
2026-08-26 21:12:40 |   Val R2 improved to 0.7321, model saved
2026-08-26 21:12:40 | Epoch   9/100 | Train Loss 0.0281 | Val Loss 0.0258 MAE 0.4160 R2 0.7265
2026-08-26 21:12:40 | Epoch  10/100 | Train Loss 0.0267 | Val Loss 0.0243 MAE 0.4037 R2 0.7484
2026-08-26 21:12:40 |   Val R2 improved to 0.7484, model saved
