2026-08-26 21:12:22 | Device: cuda
2026-08-26 21:12:22 | Args: {'model': 'fgib', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 16.0, 'max_len': 250, 'random_labels': False, 'beta': 0.01, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_fgib/california_mlp_fgib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results/california_mlp_fgib_beta_0.01_anchor_16/train.log', 'no_save': True}
2026-08-26 21:12:22 | ===== Run 1/5 (seed 0) =====
2026-08-26 21:12:23 | Epoch   1/100 | Train Loss 1.1616 | Val Loss 1.0769 MAE 0.5667 R2 -0.2943
2026-08-26 21:12:23 |   Val R2 improved to -0.2943, model saved
2026-08-26 21:12:24 | Epoch   2/100 | Train Loss 0.9016 | Val Loss 0.8456 MAE 0.4921 R2 0.2649
2026-08-26 21:12:24 |   Val R2 improved to 0.2649, model saved
2026-08-26 21:12:24 | Epoch   3/100 | Train Loss 0.8052 | Val Loss 0.7938 MAE 0.4772 R2 0.0880
2026-08-26 21:12:24 | Epoch   4/100 | Train Loss 0.7669 | Val Loss 0.7270 MAE 0.4609 R2 0.6519
2026-08-26 21:12:24 |   Val R2 improved to 0.6519, model saved
2026-08-26 21:12:24 | Epoch   5/100 | Train Loss 0.7372 | Val Loss 0.7025 MAE 0.4426 R2 0.7151
2026-08-26 21:12:24 |   Val R2 improved to 0.7151, model saved
2026-08-26 21:12:25 | Epoch   6/100 | Train Loss 0.7167 | Val Loss 0.6869 MAE 0.4282 R2 0.7084
2026-08-26 21:12:25 | Epoch   7/100 | Train Loss 0.7030 | Val Loss 0.6708 MAE 0.4271 R2 0.7235
2026-08-26 21:12:25 |   Val R2 improved to 0.7235, model saved
2026-08-26 21:12:25 | Epoch   8/100 | Train Loss 0.6896 | Val Loss 0.6587 MAE 0.4270 R2 0.7434
2026-08-26 21:12:25 |   Val R2 improved to 0.7434, model saved
2026-08-26 21:12:25 | Epoch   9/100 | Train Loss 0.6803 | Val Loss 0.6493 MAE 0.4075 R2 0.7484
2026-08-26 21:12:25 |   Val R2 improved to 0.7484, model saved
2026-08-26 21:12:26 | Epoch  10/100 | Train Loss 0.6704 | Val Loss 0.6426 MAE 0.4077 R2 0.7240
2026-08-26 21:12:26 | Epoch  11/100 | Train Loss 0.6627 | Val Loss 0.6362 MAE 0.4093 R2 0.7229
2026-08-26 21:12:26 | Epoch  12/100 | Train Loss 0.6555 | Val Loss 0.6269 MAE 0.3966 R2 0.7621
2026-08-26 21:12:26 |   Val R2 improved to 0.7621, model saved
2026-08-26 21:12:26 | Epoch  13/100 | Train Loss 0.6530 | Val Loss 0.6222 MAE 0.3931 R2 0.7612
2026-08-26 21:12:26 | Epoch  14/100 | Train Loss 0.6433 | Val Loss 0.6194 MAE 0.4023 R2 0.7572
2026-08-26 21:12:27 | Epoch  15/100 | Train Loss 0.6352 | Val Loss 0.6098 MAE 0.3930 R2 0.7697
2026-08-26 21:12:27 |   Val R2 improved to 0.7697, model saved
2026-08-26 21:12:27 | Epoch  16/100 | Train Loss 0.6317 | Val Loss 0.6092 MAE 0.3911 R2 0.7715
2026-08-26 21:12:27 |   Val R2 improved to 0.7715, model saved
2026-08-26 21:12:27 | Epoch  17/100 | Train Loss 0.6285 | Val Loss 0.6057 MAE 0.3887 R2 0.7666
2026-08-26 21:12:27 | Epoch  18/100 | Train Loss 0.6224 | Val Loss 0.6039 MAE 0.3936 R2 0.7663
2026-08-26 21:12:27 | Epoch  19/100 | Train Loss 0.6216 | Val Loss 0.6013 MAE 0.3854 R2 0.7663
2026-08-26 21:12:28 | Epoch  20/100 | Train Loss 0.6163 | Val Loss 0.5991 MAE 0.3991 R2 0.7510
2026-08-26 21:12:28 | Epoch  21/100 | Train Loss 0.6134 | Val Loss 0.5934 MAE 0.3837 R2 0.7713
2026-08-26 21:12:28 | Epoch  22/100 | Train Loss 0.6095 | Val Loss 0.5929 MAE 0.3891 R2 0.7735
2026-08-26 21:12:28 |   Val R2 improved to 0.7735, model saved
2026-08-26 21:12:28 | Epoch  23/100 | Train Loss 0.6045 | Val Loss 0.5905 MAE 0.3807 R2 0.7752
