2026-08-26 21:09:09 | Device: cuda
2026-08-26 21:09:09 | Args: {'model': 'fgib', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 1.0, 'max_len': 250, 'random_labels': False, 'beta': 1.0, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_fgib/california_mlp_fgib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results/california_mlp_fgib_beta_1_anchor_1/train.log', 'no_save': True}
2026-08-26 21:09:09 | ===== Run 1/5 (seed 0) =====
2026-08-26 21:09:10 | Epoch   1/100 | Train Loss 0.8220 | Val Loss 0.4557 MAE 0.7856 R2 0.0782
2026-08-26 21:09:10 |   Val R2 improved to 0.0782, model saved
2026-08-26 21:09:11 | Epoch   2/100 | Train Loss 0.4254 | Val Loss 0.3383 MAE 0.5793 R2 0.4820
2026-08-26 21:09:11 |   Val R2 improved to 0.4820, model saved
2026-08-26 21:09:11 | Epoch   3/100 | Train Loss 0.3550 | Val Loss 0.3440 MAE 0.4607 R2 0.6657
2026-08-26 21:09:11 |   Val R2 improved to 0.6657, model saved
2026-08-26 21:09:11 | Epoch   4/100 | Train Loss 0.3348 | Val Loss 0.2943 MAE 0.4455 R2 0.6941
2026-08-26 21:09:11 |   Val R2 improved to 0.6941, model saved
2026-08-26 21:09:12 | Epoch   5/100 | Train Loss 0.3156 | Val Loss 0.2861 MAE 0.4370 R2 0.7119
2026-08-26 21:09:12 |   Val R2 improved to 0.7119, model saved
2026-08-26 21:09:12 | Epoch   6/100 | Train Loss 0.3053 | Val Loss 0.2766 MAE 0.4343 R2 0.7135
2026-08-26 21:09:12 |   Val R2 improved to 0.7135, model saved
2026-08-26 21:09:12 | Epoch   7/100 | Train Loss 0.2988 | Val Loss 0.2723 MAE 0.4285 R2 0.7247
2026-08-26 21:09:12 |   Val R2 improved to 0.7247, model saved
2026-08-26 21:09:13 | Epoch   8/100 | Train Loss 0.2935 | Val Loss 0.2678 MAE 0.4219 R2 0.7397
2026-08-26 21:09:13 |   Val R2 improved to 0.7397, model saved
2026-08-26 21:09:13 | Epoch   9/100 | Train Loss 0.2901 | Val Loss 0.2666 MAE 0.4232 R2 0.7287
2026-08-26 21:09:13 | Epoch  10/100 | Train Loss 0.2861 | Val Loss 0.2628 MAE 0.4162 R2 0.7360
2026-08-26 21:09:13 | Epoch  11/100 | Train Loss 0.2826 | Val Loss 0.2628 MAE 0.4169 R2 0.7284
2026-08-26 21:09:13 | Epoch  12/100 | Train Loss 0.2799 | Val Loss 0.2610 MAE 0.4171 R2 0.7266
2026-08-26 21:09:14 | Epoch  13/100 | Train Loss 0.2799 | Val Loss 0.2573 MAE 0.4082 R2 0.7503
2026-08-26 21:09:14 |   Val R2 improved to 0.7503, model saved
2026-08-26 21:09:14 | Epoch  14/100 | Train Loss 0.2768 | Val Loss 0.2543 MAE 0.4016 R2 0.7468
2026-08-26 21:09:14 | Epoch  15/100 | Train Loss 0.2719 | Val Loss 0.2535 MAE 0.4010 R2 0.7578
2026-08-26 21:09:15 |   Val R2 improved to 0.7578, model saved
2026-08-26 21:09:15 | Epoch  16/100 | Train Loss 0.2733 | Val Loss 0.2545 MAE 0.4010 R2 0.7520
2026-08-26 21:09:15 | Epoch  17/100 | Train Loss 0.2701 | Val Loss 0.2504 MAE 0.4033 R2 0.7625
2026-08-26 21:09:15 |   Val R2 improved to 0.7625, model saved
2026-08-26 21:09:16 | Epoch  18/100 | Train Loss 0.2675 | Val Loss 0.2507 MAE 0.3979 R2 0.7596
2026-08-26 21:09:16 | Epoch  19/100 | Train Loss 0.2668 | Val Loss 0.2511 MAE 0.3987 R2 0.7543
2026-08-26 21:09:16 | Epoch  20/100 | Train Loss 0.2657 | Val Loss 0.2517 MAE 0.4102 R2 0.7320
2026-08-26 21:09:17 | Epoch  21/100 | Train Loss 0.2667 | Val Loss 0.2479 MAE 0.3950 R2 0.7628
2026-08-26 21:09:17 |   Val R2 improved to 0.7628, model saved
2026-08-26 21:09:17 | Epoch  22/100 | Train Loss 0.2648 | Val Loss 0.2471 MAE 0.3927 R2 0.7622
2026-08-26 21:09:17 | Epoch  23/100 | Train Loss 0.2630 | Val Loss 0.2458 MAE 0.3902 R2 0.7637
2026-08-26 21:09:17 |   Val R2 improved to 0.7637, model saved
2026-08-26 21:09:17 | Epoch  24/100 | Train Loss 0.2615 | Val Loss 0.2453 MAE 0.3889 R2 0.7667
2026-08-26 21:09:17 |   Val R2 improved to 0.7667, model saved
2026-08-26 21:09:18 | Epoch  25/100 | Train Loss 0.2594 | Val Loss 0.2444 MAE 0.3920 R2 0.7687
2026-08-26 21:09:18 |   Val R2 improved to 0.7687, model saved
2026-08-26 21:09:18 | Epoch  26/100 | Train Loss 0.2601 | Val Loss 0.2474 MAE 0.3968 R2 0.7442
2026-08-26 21:09:18 | Epoch  27/100 | Train Loss 0.2596 | Val Loss 0.2429 MAE 0.3856 R2 0.7713
2026-08-26 21:09:18 |   Val R2 improved to 0.7713, model saved
2026-08-26 21:09:19 | Epoch  28/100 | Train Loss 0.2578 | Val Loss 0.2422 MAE 0.3870 R2 0.7718
2026-08-26 21:09:19 |   Val R2 improved to 0.7718, model saved
2026-08-26 21:09:19 | Epoch  29/100 | Train Loss 0.2586 | Val Loss 0.2414 MAE 0.3848 R2 0.7676
2026-08-26 21:09:20 | Epoch  30/100 | Train Loss 0.2571 | Val Loss 0.2397 MAE 0.3862 R2 0.7734
2026-08-26 21:09:20 |   Val R2 improved to 0.7734, model saved
2026-08-26 21:09:20 | Epoch  31/100 | Train Loss 0.2549 | Val Loss 0.2440 MAE 0.3966 R2 0.7556
2026-08-26 21:09:20 | Epoch  32/100 | Train Loss 0.2550 | Val Loss 0.2394 MAE 0.3855 R2 0.7726
2026-08-26 21:09:21 | Epoch  33/100 | Train Loss 0.2552 | Val Loss 0.2399 MAE 0.3825 R2 0.7757
2026-08-26 21:09:21 |   Val R2 improved to 0.7757, model saved
2026-08-26 21:09:21 | Epoch  34/100 | Train Loss 0.2550 | Val Loss 0.2413 MAE 0.3873 R2 0.7680
2026-08-26 21:09:21 | Epoch  35/100 | Train Loss 0.2521 | Val Loss 0.2392 MAE 0.3871 R2 0.7753
2026-08-26 21:09:22 | Epoch  36/100 | Train Loss 0.2529 | Val Loss 0.2390 MAE 0.3773 R2 0.7743
2026-08-26 21:09:22 | Epoch  37/100 | Train Loss 0.2527 | Val Loss 0.2391 MAE 0.3864 R2 0.7651
2026-08-26 21:09:22 | Epoch  38/100 | Train Loss 0.2510 | Val Loss 0.2359 MAE 0.3795 R2 0.7770
2026-08-26 21:09:22 |   Val R2 improved to 0.7770, model saved
2026-08-26 21:09:22 | Epoch  39/100 | Train Loss 0.2502 | Val Loss 0.2383 MAE 0.3819 R2 0.7722
2026-08-26 21:09:23 | Epoch  40/100 | Train Loss 0.2501 | Val Loss 0.2374 MAE 0.3850 R2 0.7775
2026-08-26 21:09:23 |   Val R2 improved to 0.7775, model saved
2026-08-26 21:09:23 | Epoch  41/100 | Train Loss 0.2493 | Val Loss 0.2363 MAE 0.3831 R2 0.7768
2026-08-26 21:09:24 | Epoch  42/100 | Train Loss 0.2497 | Val Loss 0.2366 MAE 0.3785 R2 0.7778
2026-08-26 21:09:24 |   Val R2 improved to 0.7778, model saved
2026-08-26 21:09:24 | Epoch  43/100 | Train Loss 0.2498 | Val Loss 0.2351 MAE 0.3841 R2 0.7786
2026-08-26 21:09:24 |   Val R2 improved to 0.7786, model saved
2026-08-26 21:09:24 | Epoch  44/100 | Train Loss 0.2479 | Val Loss 0.2357 MAE 0.3818 R2 0.7791
2026-08-26 21:09:25 |   Val R2 improved to 0.7791, model saved
2026-08-26 21:09:25 | Epoch  45/100 | Train Loss 0.2464 | Val Loss 0.2357 MAE 0.3798 R2 0.7775
2026-08-26 21:09:25 | Epoch  46/100 | Train Loss 0.2473 | Val Loss 0.2342 MAE 0.3777 R2 0.7832
2026-08-26 21:09:25 |   Val R2 improved to 0.7832, model saved
2026-08-26 21:09:26 | Epoch  47/100 | Train Loss 0.2481 | Val Loss 0.2352 MAE 0.3791 R2 0.7787
2026-08-26 21:09:26 | Epoch  48/100 | Train Loss 0.2458 | Val Loss 0.2337 MAE 0.3740 R2 0.7801
2026-08-26 21:09:26 | Epoch  49/100 | Train Loss 0.2461 | Val Loss 0.2338 MAE 0.3841 R2 0.7815
