2026-08-26 21:06:55 | Device: cuda
2026-08-26 21:06:55 | Args: {'model': 'nib', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'max_len': 250, 'random_labels': False, 'beta': 0.1, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_nib/california_mlp_nib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results/california_mlp_nib_beta_0.1/train.log', 'no_save': True}
2026-08-26 21:06:55 | ===== Run 1/5 (seed 0) =====
2026-08-26 21:06:59 | Epoch   1/100 | Train Loss 0.9123 | Val Loss 0.1158 MAE 0.5791 R2 0.4642
2026-08-26 21:06:59 |   Val R2 improved to 0.4642, model saved
2026-08-26 21:07:00 | Epoch   2/100 | Train Loss 0.7218 | Val Loss 0.1477 MAE 0.5396 R2 0.5573
2026-08-26 21:07:00 |   Val R2 improved to 0.5573, model saved
2026-08-26 21:07:00 | Epoch   3/100 | Train Loss 0.6650 | Val Loss 0.1985 MAE 0.5014 R2 0.6303
2026-08-26 21:07:00 |   Val R2 improved to 0.6303, model saved
2026-08-26 21:07:00 | Epoch   4/100 | Train Loss 0.6523 | Val Loss 0.2367 MAE 0.4870 R2 0.6606
2026-08-26 21:07:00 |   Val R2 improved to 0.6606, model saved
2026-08-26 21:07:01 | Epoch   5/100 | Train Loss 0.6479 | Val Loss 0.2595 MAE 0.4713 R2 0.6751
2026-08-26 21:07:01 |   Val R2 improved to 0.6751, model saved
2026-08-26 21:07:01 | Epoch   6/100 | Train Loss 0.6449 | Val Loss 0.2777 MAE 0.4570 R2 0.6939
2026-08-26 21:07:02 |   Val R2 improved to 0.6939, model saved
2026-08-26 21:07:02 | Epoch   7/100 | Train Loss 0.6443 | Val Loss 0.2915 MAE 0.4492 R2 0.7074
2026-08-26 21:07:02 |   Val R2 improved to 0.7074, model saved
2026-08-26 21:07:03 | Epoch   8/100 | Train Loss 0.6432 | Val Loss 0.2988 MAE 0.4417 R2 0.7140
2026-08-26 21:07:03 |   Val R2 improved to 0.7140, model saved
