2026-09-02 08:04:42 | Device: cuda
2026-09-02 08:04:42 | Args: {'model': 'opb', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 16.0, 'energy_classifier': False, 'tied_head': True, 'max_len': 250, 'random_labels': False, 'beta': 0.0001, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_opb/california_mlp_opb.pt', 'log_path': '/root/autodl-tmp/IB/tune_results/california_mlp_opb_beta_0.0001_anchor_16/train.log', 'no_save': True}
2026-09-02 08:04:42 | ===== Run 1/5 (seed 0) =====
2026-09-02 08:04:43 | Epoch   1/100 | Train Loss 0.0896 | Val Loss 0.0635 MAE 0.6797 R2 0.0336
2026-09-02 08:04:43 |   Val R2 improved to 0.0336, model saved
2026-09-02 08:04:44 | Epoch   2/100 | Train Loss 0.0350 | Val Loss 0.0303 MAE 0.5825 R2 0.4985
2026-09-02 08:04:44 |   Val R2 improved to 0.4985, model saved
2026-09-02 08:04:44 | Epoch   3/100 | Train Loss 0.0279 | Val Loss 0.0245 MAE 0.5357 R2 0.5931
2026-09-02 08:04:44 |   Val R2 improved to 0.5931, model saved
2026-09-02 08:04:44 | Epoch   4/100 | Train Loss 0.0241 | Val Loss 0.0208 MAE 0.4863 R2 0.6540
2026-09-02 08:04:44 |   Val R2 improved to 0.6540, model saved
2026-09-02 08:04:44 | Epoch   5/100 | Train Loss 0.0219 | Val Loss 0.0190 MAE 0.4793 R2 0.6859
2026-09-02 08:04:44 |   Val R2 improved to 0.6859, model saved
2026-09-02 08:04:45 | Epoch   6/100 | Train Loss 0.0204 | Val Loss 0.0179 MAE 0.4540 R2 0.7034
2026-09-02 08:04:45 |   Val R2 improved to 0.7034, model saved
2026-09-02 08:04:45 | Epoch   7/100 | Train Loss 0.0196 | Val Loss 0.0174 MAE 0.4535 R2 0.7134
2026-09-02 08:04:45 |   Val R2 improved to 0.7134, model saved
2026-09-02 08:04:45 | Epoch   8/100 | Train Loss 0.0192 | Val Loss 0.0170 MAE 0.4495 R2 0.7198
2026-09-02 08:04:45 |   Val R2 improved to 0.7198, model saved
2026-09-02 08:04:45 | Epoch   9/100 | Train Loss 0.0186 | Val Loss 0.0166 MAE 0.4368 R2 0.7242
2026-09-02 08:04:45 |   Val R2 improved to 0.7242, model saved
2026-09-02 08:04:46 | Epoch  10/100 | Train Loss 0.0182 | Val Loss 0.0160 MAE 0.4323 R2 0.7349
2026-09-02 08:04:46 |   Val R2 improved to 0.7349, model saved
2026-09-02 08:04:46 | Epoch  11/100 | Train Loss 0.0179 | Val Loss 0.0159 MAE 0.4325 R2 0.7376
2026-09-02 08:04:46 |   Val R2 improved to 0.7376, model saved
2026-09-02 08:04:46 | Epoch  12/100 | Train Loss 0.0180 | Val Loss 0.0159 MAE 0.4208 R2 0.7361
2026-09-02 08:04:46 | Epoch  13/100 | Train Loss 0.0175 | Val Loss 0.0161 MAE 0.4228 R2 0.7334
2026-09-02 08:04:47 | Epoch  14/100 | Train Loss 0.0174 | Val Loss 0.0158 MAE 0.4191 R2 0.7386
2026-09-02 08:04:47 |   Val R2 improved to 0.7386, model saved
2026-09-02 08:04:47 | Epoch  15/100 | Train Loss 0.0172 | Val Loss 0.0155 MAE 0.4181 R2 0.7441
2026-09-02 08:04:47 |   Val R2 improved to 0.7441, model saved
