2026-09-02 08:03:05 | Device: cuda
2026-09-02 08:03:05 | Args: {'model': 'opb', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 16.0, 'energy_classifier': False, 'tied_head': True, 'max_len': 250, 'random_labels': False, 'beta': 0.001, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_opb/california_mlp_opb.pt', 'log_path': '/root/autodl-tmp/IB/tune_results/california_mlp_opb_beta_0.001_anchor_16/train.log', 'no_save': True}
2026-09-02 08:03:05 | ===== Run 1/5 (seed 0) =====
2026-09-02 08:03:06 | Epoch   1/100 | Train Loss 0.1067 | Val Loss 0.0747 MAE 0.6737 R2 -0.0709
2026-09-02 08:03:06 |   Val R2 improved to -0.0709, model saved
2026-09-02 08:03:07 | Epoch   2/100 | Train Loss 0.0432 | Val Loss 0.0340 MAE 0.5744 R2 0.5157
2026-09-02 08:03:07 |   Val R2 improved to 0.5157, model saved
2026-09-02 08:03:07 | Epoch   3/100 | Train Loss 0.0339 | Val Loss 0.0265 MAE 0.5121 R2 0.6161
2026-09-02 08:03:07 |   Val R2 improved to 0.6161, model saved
2026-09-02 08:03:07 | Epoch   4/100 | Train Loss 0.0288 | Val Loss 0.0227 MAE 0.4729 R2 0.6689
2026-09-02 08:03:07 |   Val R2 improved to 0.6689, model saved
2026-09-02 08:03:07 | Epoch   5/100 | Train Loss 0.0263 | Val Loss 0.0208 MAE 0.4616 R2 0.6980
2026-09-02 08:03:07 |   Val R2 improved to 0.6980, model saved
2026-09-02 08:03:08 | Epoch   6/100 | Train Loss 0.0245 | Val Loss 0.0200 MAE 0.4458 R2 0.7074
2026-09-02 08:03:08 |   Val R2 improved to 0.7074, model saved
2026-09-02 08:03:08 | Epoch   7/100 | Train Loss 0.0237 | Val Loss 0.0190 MAE 0.4415 R2 0.7224
2026-09-02 08:03:08 |   Val R2 improved to 0.7224, model saved
2026-09-02 08:03:08 | Epoch   8/100 | Train Loss 0.0230 | Val Loss 0.0191 MAE 0.4500 R2 0.7238
2026-09-02 08:03:08 |   Val R2 improved to 0.7238, model saved
2026-09-02 08:03:08 | Epoch   9/100 | Train Loss 0.0221 | Val Loss 0.0185 MAE 0.4317 R2 0.7278
2026-09-02 08:03:08 |   Val R2 improved to 0.7278, model saved
2026-09-02 08:03:09 | Epoch  10/100 | Train Loss 0.0215 | Val Loss 0.0179 MAE 0.4275 R2 0.7363
2026-09-02 08:03:09 |   Val R2 improved to 0.7363, model saved
2026-09-02 08:03:09 | Epoch  11/100 | Train Loss 0.0209 | Val Loss 0.0177 MAE 0.4287 R2 0.7401
2026-09-02 08:03:09 |   Val R2 improved to 0.7401, model saved
2026-09-02 08:03:09 | Epoch  12/100 | Train Loss 0.0211 | Val Loss 0.0179 MAE 0.4198 R2 0.7356
2026-09-02 08:03:09 | Epoch  13/100 | Train Loss 0.0204 | Val Loss 0.0180 MAE 0.4223 R2 0.7350
2026-09-02 08:03:10 | Epoch  14/100 | Train Loss 0.0204 | Val Loss 0.0175 MAE 0.4180 R2 0.7424
2026-09-02 08:03:10 |   Val R2 improved to 0.7424, model saved
2026-09-02 08:03:10 | Epoch  15/100 | Train Loss 0.0201 | Val Loss 0.0172 MAE 0.4180 R2 0.7458
2026-09-02 08:03:10 |   Val R2 improved to 0.7458, model saved
2026-09-02 08:03:10 | Epoch  16/100 | Train Loss 0.0198 | Val Loss 0.0171 MAE 0.4209 R2 0.7485
2026-09-02 08:03:10 |   Val R2 improved to 0.7485, model saved
2026-09-02 08:03:10 | Epoch  17/100 | Train Loss 0.0196 | Val Loss 0.0169 MAE 0.4103 R2 0.7510
2026-09-02 08:03:10 |   Val R2 improved to 0.7510, model saved
2026-09-02 08:03:11 | Epoch  18/100 | Train Loss 0.0193 | Val Loss 0.0168 MAE 0.4145 R2 0.7511
2026-09-02 08:03:11 |   Val R2 improved to 0.7511, model saved
2026-09-02 08:03:11 | Epoch  19/100 | Train Loss 0.0189 | Val Loss 0.0168 MAE 0.4070 R2 0.7503
2026-09-02 08:03:11 | Epoch  20/100 | Train Loss 0.0187 | Val Loss 0.0167 MAE 0.4112 R2 0.7539
2026-09-02 08:03:11 |   Val R2 improved to 0.7539, model saved
2026-09-02 08:03:11 | Epoch  21/100 | Train Loss 0.0185 | Val Loss 0.0166 MAE 0.4041 R2 0.7535
2026-09-02 08:03:12 | Epoch  22/100 | Train Loss 0.0185 | Val Loss 0.0163 MAE 0.4065 R2 0.7580
2026-09-02 08:03:12 |   Val R2 improved to 0.7580, model saved
2026-09-02 08:03:12 | Epoch  23/100 | Train Loss 0.0183 | Val Loss 0.0163 MAE 0.4049 R2 0.7575
2026-09-02 08:03:12 | Epoch  24/100 | Train Loss 0.0180 | Val Loss 0.0166 MAE 0.4070 R2 0.7531
2026-09-02 08:03:12 | Epoch  25/100 | Train Loss 0.0180 | Val Loss 0.0165 MAE 0.3994 R2 0.7545
2026-09-02 08:03:13 | Epoch  26/100 | Train Loss 0.0180 | Val Loss 0.0159 MAE 0.3958 R2 0.7634
2026-09-02 08:03:13 |   Val R2 improved to 0.7634, model saved
2026-09-02 08:03:13 | Epoch  27/100 | Train Loss 0.0179 | Val Loss 0.0159 MAE 0.3952 R2 0.7617
2026-09-02 08:03:13 | Epoch  28/100 | Train Loss 0.0177 | Val Loss 0.0158 MAE 0.3943 R2 0.7641
2026-09-02 08:03:13 |   Val R2 improved to 0.7641, model saved
2026-09-02 08:03:13 | Epoch  29/100 | Train Loss 0.0176 | Val Loss 0.0158 MAE 0.3967 R2 0.7654
2026-09-02 08:03:13 |   Val R2 improved to 0.7654, model saved
2026-09-02 08:03:14 | Epoch  30/100 | Train Loss 0.0173 | Val Loss 0.0160 MAE 0.3917 R2 0.7599
2026-09-02 08:03:14 | Epoch  31/100 | Train Loss 0.0176 | Val Loss 0.0156 MAE 0.3942 R2 0.7678
2026-09-02 08:03:14 |   Val R2 improved to 0.7678, model saved
2026-09-02 08:03:14 | Epoch  32/100 | Train Loss 0.0172 | Val Loss 0.0155 MAE 0.3956 R2 0.7684
2026-09-02 08:03:14 |   Val R2 improved to 0.7684, model saved
