2026-09-01 03:57:06 | Device: cuda
2026-09-01 03:57:06 | Args: {'model': 'opb', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 10.0, 'max_len': 250, 'random_labels': False, 'beta': 0.01, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_opb/california_mlp_opb.pt', 'log_path': '/root/autodl-tmp/IB/tune_results/california_mlp_opb_beta_0.01_anchor_10/train.log', 'no_save': True}
2026-09-01 03:57:07 | ===== Run 1/5 (seed 0) =====
2026-09-01 03:57:07 | Epoch   1/100 | Train Loss 0.4566 | Val Loss 0.1230 MAE 0.6213 R2 0.2991
2026-09-01 03:57:07 |   Val R2 improved to 0.2991, model saved
2026-09-01 03:57:08 | Epoch   2/100 | Train Loss 0.1845 | Val Loss 0.0534 MAE 0.5305 R2 0.5887
2026-09-01 03:57:08 |   Val R2 improved to 0.5887, model saved
2026-09-01 03:57:08 | Epoch   3/100 | Train Loss 0.0943 | Val Loss 0.0341 MAE 0.4825 R2 0.6646
2026-09-01 03:57:08 |   Val R2 improved to 0.6646, model saved
2026-09-01 03:57:08 | Epoch   4/100 | Train Loss 0.0612 | Val Loss 0.0306 MAE 0.4664 R2 0.6691
2026-09-01 03:57:08 |   Val R2 improved to 0.6691, model saved
2026-09-01 03:57:08 | Epoch   5/100 | Train Loss 0.0484 | Val Loss 0.0273 MAE 0.4500 R2 0.7012
2026-09-01 03:57:08 |   Val R2 improved to 0.7012, model saved
2026-09-01 03:57:09 | Epoch   6/100 | Train Loss 0.0431 | Val Loss 0.0272 MAE 0.4471 R2 0.6908
2026-09-01 03:57:09 | Epoch   7/100 | Train Loss 0.0399 | Val Loss 0.0247 MAE 0.4295 R2 0.7311
2026-09-01 03:57:09 |   Val R2 improved to 0.7311, model saved
2026-09-01 03:57:09 | Epoch   8/100 | Train Loss 0.0382 | Val Loss 0.0246 MAE 0.4362 R2 0.7351
2026-09-01 03:57:09 |   Val R2 improved to 0.7351, model saved
2026-09-01 03:57:09 | Epoch   9/100 | Train Loss 0.0367 | Val Loss 0.0251 MAE 0.4327 R2 0.7149
2026-09-01 03:57:10 | Epoch  10/100 | Train Loss 0.0353 | Val Loss 0.0239 MAE 0.4215 R2 0.7358
2026-09-01 03:57:10 |   Val R2 improved to 0.7358, model saved
2026-09-01 03:57:10 | Epoch  11/100 | Train Loss 0.0342 | Val Loss 0.0236 MAE 0.4188 R2 0.7432
2026-09-01 03:57:10 |   Val R2 improved to 0.7432, model saved
2026-09-01 03:57:10 | Epoch  12/100 | Train Loss 0.0348 | Val Loss 0.0240 MAE 0.4176 R2 0.7348
2026-09-01 03:57:11 | Epoch  13/100 | Train Loss 0.0335 | Val Loss 0.0241 MAE 0.4271 R2 0.7293
2026-09-01 03:57:11 | Epoch  14/100 | Train Loss 0.0334 | Val Loss 0.0238 MAE 0.4187 R2 0.7376
2026-09-01 03:57:11 | Epoch  15/100 | Train Loss 0.0323 | Val Loss 0.0235 MAE 0.4150 R2 0.7464
2026-09-01 03:57:11 |   Val R2 improved to 0.7464, model saved
2026-09-01 03:57:11 | Epoch  16/100 | Train Loss 0.0326 | Val Loss 0.0229 MAE 0.4280 R2 0.7484
2026-09-01 03:57:11 |   Val R2 improved to 0.7484, model saved
2026-09-01 03:57:12 | Epoch  17/100 | Train Loss 0.0320 | Val Loss 0.0228 MAE 0.4150 R2 0.7532
2026-09-01 03:57:12 |   Val R2 improved to 0.7532, model saved
2026-09-01 03:57:12 | Epoch  18/100 | Train Loss 0.0316 | Val Loss 0.0230 MAE 0.4162 R2 0.7446
2026-09-01 03:57:12 | Epoch  19/100 | Train Loss 0.0311 | Val Loss 0.0243 MAE 0.4275 R2 0.7229
2026-09-01 03:57:12 | Epoch  20/100 | Train Loss 0.0307 | Val Loss 0.0224 MAE 0.4181 R2 0.7537
2026-09-01 03:57:12 |   Val R2 improved to 0.7537, model saved
2026-09-01 03:57:13 | Epoch  21/100 | Train Loss 0.0302 | Val Loss 0.0231 MAE 0.4219 R2 0.7389
2026-09-01 03:57:13 | Epoch  22/100 | Train Loss 0.0300 | Val Loss 0.0226 MAE 0.4159 R2 0.7455
2026-09-01 03:57:13 | Epoch  23/100 | Train Loss 0.0298 | Val Loss 0.0224 MAE 0.4151 R2 0.7498
2026-09-01 03:57:13 | Epoch  24/100 | Train Loss 0.0289 | Val Loss 0.0227 MAE 0.4171 R2 0.7499
2026-09-01 03:57:14 | Epoch  25/100 | Train Loss 0.0292 | Val Loss 0.0235 MAE 0.4232 R2 0.7331
2026-09-01 03:57:14 | Epoch  26/100 | Train Loss 0.0297 | Val Loss 0.0230 MAE 0.4220 R2 0.7381
2026-09-01 03:57:14 | Epoch  27/100 | Train Loss 0.0292 | Val Loss 0.0227 MAE 0.4102 R2 0.7519
2026-09-01 03:57:14 | Epoch  28/100 | Train Loss 0.0285 | Val Loss 0.0218 MAE 0.4080 R2 0.7560
2026-09-01 03:57:14 |   Val R2 improved to 0.7560, model saved
2026-09-01 03:57:15 | Epoch  29/100 | Train Loss 0.0286 | Val Loss 0.0215 MAE 0.4098 R2 0.7588
2026-09-01 03:57:15 |   Val R2 improved to 0.7588, model saved
2026-09-01 03:57:15 | Epoch  30/100 | Train Loss 0.0279 | Val Loss 0.0228 MAE 0.4184 R2 0.7364
2026-09-01 03:57:15 | Epoch  31/100 | Train Loss 0.0284 | Val Loss 0.0213 MAE 0.4058 R2 0.7677
2026-09-01 03:57:15 |   Val R2 improved to 0.7677, model saved
