2026-09-01 10:08:55 | Device: cuda
2026-09-01 10:08:55 | Args: {'model': 'opb', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 12.0, 'energy_classifier': False, 'max_len': 250, 'random_labels': False, 'beta': 0.01, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_opb/california_mlp_opb.pt', 'log_path': '/root/autodl-tmp/IB/tune_results/california_mlp_opb_beta_0.01_anchor_12/train.log', 'no_save': True}
2026-09-01 10:08:55 | ===== Run 1/5 (seed 0) =====
2026-09-01 10:08:56 | Epoch   1/100 | Train Loss 0.4921 | Val Loss 0.1546 MAE 0.6575 R2 0.2425
2026-09-01 10:08:56 |   Val R2 improved to 0.2425, model saved
2026-09-01 10:08:57 | Epoch   2/100 | Train Loss 0.2002 | Val Loss 0.0577 MAE 0.5297 R2 0.5989
2026-09-01 10:08:57 |   Val R2 improved to 0.5989, model saved
2026-09-01 10:08:57 | Epoch   3/100 | Train Loss 0.1026 | Val Loss 0.0403 MAE 0.4877 R2 0.6571
2026-09-01 10:08:57 |   Val R2 improved to 0.6571, model saved
2026-09-01 10:08:57 | Epoch   4/100 | Train Loss 0.0671 | Val Loss 0.0343 MAE 0.4637 R2 0.6761
2026-09-01 10:08:57 |   Val R2 improved to 0.6761, model saved
2026-09-01 10:08:57 | Epoch   5/100 | Train Loss 0.0527 | Val Loss 0.0308 MAE 0.4493 R2 0.7048
2026-09-01 10:08:57 |   Val R2 improved to 0.7048, model saved
2026-09-01 10:08:58 | Epoch   6/100 | Train Loss 0.0464 | Val Loss 0.0304 MAE 0.4453 R2 0.6969
2026-09-01 10:08:58 | Epoch   7/100 | Train Loss 0.0428 | Val Loss 0.0279 MAE 0.4322 R2 0.7312
2026-09-01 10:08:58 |   Val R2 improved to 0.7312, model saved
2026-09-01 10:08:58 | Epoch   8/100 | Train Loss 0.0410 | Val Loss 0.0276 MAE 0.4410 R2 0.7331
2026-09-01 10:08:58 |   Val R2 improved to 0.7331, model saved
2026-09-01 10:08:58 | Epoch   9/100 | Train Loss 0.0394 | Val Loss 0.0280 MAE 0.4314 R2 0.7187
2026-09-01 10:08:59 | Epoch  10/100 | Train Loss 0.0377 | Val Loss 0.0270 MAE 0.4222 R2 0.7338
2026-09-01 10:08:59 |   Val R2 improved to 0.7338, model saved
2026-09-01 10:08:59 | Epoch  11/100 | Train Loss 0.0366 | Val Loss 0.0267 MAE 0.4215 R2 0.7418
2026-09-01 10:08:59 |   Val R2 improved to 0.7418, model saved
2026-09-01 10:08:59 | Epoch  12/100 | Train Loss 0.0372 | Val Loss 0.0266 MAE 0.4168 R2 0.7351
2026-09-01 10:08:59 | Epoch  13/100 | Train Loss 0.0356 | Val Loss 0.0272 MAE 0.4272 R2 0.7259
2026-09-01 10:09:00 | Epoch  14/100 | Train Loss 0.0355 | Val Loss 0.0265 MAE 0.4175 R2 0.7353
2026-09-01 10:09:00 | Epoch  15/100 | Train Loss 0.0343 | Val Loss 0.0254 MAE 0.4136 R2 0.7490
2026-09-01 10:09:00 |   Val R2 improved to 0.7490, model saved
2026-09-01 10:09:00 | Epoch  16/100 | Train Loss 0.0344 | Val Loss 0.0248 MAE 0.4256 R2 0.7490
2026-09-01 10:09:00 |   Val R2 improved to 0.7490, model saved
2026-09-01 10:09:00 | Epoch  17/100 | Train Loss 0.0337 | Val Loss 0.0245 MAE 0.4170 R2 0.7553
2026-09-01 10:09:00 |   Val R2 improved to 0.7553, model saved
2026-09-01 10:09:00 | Epoch  18/100 | Train Loss 0.0331 | Val Loss 0.0250 MAE 0.4158 R2 0.7414
2026-09-01 10:09:01 | Epoch  19/100 | Train Loss 0.0327 | Val Loss 0.0263 MAE 0.4276 R2 0.7217
2026-09-01 10:09:01 | Epoch  20/100 | Train Loss 0.0324 | Val Loss 0.0239 MAE 0.4150 R2 0.7542
2026-09-01 10:09:01 | Epoch  21/100 | Train Loss 0.0316 | Val Loss 0.0239 MAE 0.4156 R2 0.7484
2026-09-01 10:09:01 | Epoch  22/100 | Train Loss 0.0311 | Val Loss 0.0241 MAE 0.4142 R2 0.7434
2026-09-01 10:09:02 | Epoch  23/100 | Train Loss 0.0311 | Val Loss 0.0237 MAE 0.4123 R2 0.7498
2026-09-01 10:09:02 | Epoch  24/100 | Train Loss 0.0302 | Val Loss 0.0230 MAE 0.4132 R2 0.7590
2026-09-01 10:09:02 |   Val R2 improved to 0.7590, model saved
2026-09-01 10:09:02 | Epoch  25/100 | Train Loss 0.0303 | Val Loss 0.0237 MAE 0.4112 R2 0.7472
2026-09-01 10:09:02 | Epoch  26/100 | Train Loss 0.0308 | Val Loss 0.0243 MAE 0.4241 R2 0.7313
2026-09-01 10:09:03 | Epoch  27/100 | Train Loss 0.0303 | Val Loss 0.0225 MAE 0.4060 R2 0.7605
2026-09-01 10:09:03 |   Val R2 improved to 0.7605, model saved
2026-09-01 10:09:03 | Epoch  28/100 | Train Loss 0.0294 | Val Loss 0.0223 MAE 0.4056 R2 0.7582
2026-09-01 10:09:03 | Epoch  29/100 | Train Loss 0.0295 | Val Loss 0.0223 MAE 0.4073 R2 0.7576
2026-09-01 10:09:03 | Epoch  30/100 | Train Loss 0.0288 | Val Loss 0.0232 MAE 0.4133 R2 0.7403
2026-09-01 10:09:04 | Epoch  31/100 | Train Loss 0.0293 | Val Loss 0.0219 MAE 0.4042 R2 0.7591
2026-09-01 10:09:04 | Epoch  32/100 | Train Loss 0.0285 | Val Loss 0.0216 MAE 0.4089 R2 0.7629
2026-09-01 10:09:04 |   Val R2 improved to 0.7629, model saved
2026-09-01 10:09:04 | Epoch  33/100 | Train Loss 0.0287 | Val Loss 0.0215 MAE 0.4077 R2 0.7634
2026-09-01 10:09:04 |   Val R2 improved to 0.7634, model saved
2026-09-01 10:09:04 | Epoch  34/100 | Train Loss 0.0283 | Val Loss 0.0215 MAE 0.4147 R2 0.7633
2026-09-01 10:09:05 | Epoch  35/100 | Train Loss 0.0283 | Val Loss 0.0225 MAE 0.4045 R2 0.7494
2026-09-01 10:09:05 | Epoch  36/100 | Train Loss 0.0284 | Val Loss 0.0217 MAE 0.4126 R2 0.7505
2026-09-01 10:09:05 | Epoch  37/100 | Train Loss 0.0276 | Val Loss 0.0214 MAE 0.4114 R2 0.7612
2026-09-01 10:09:05 | Epoch  38/100 | Train Loss 0.0277 | Val Loss 0.0210 MAE 0.4036 R2 0.7616
2026-09-01 10:09:06 | Epoch  39/100 | Train Loss 0.0275 | Val Loss 0.0229 MAE 0.4183 R2 0.7324
2026-09-01 10:09:06 | Epoch  40/100 | Train Loss 0.0279 | Val Loss 0.0206 MAE 0.4003 R2 0.7661
2026-09-01 10:09:06 |   Val R2 improved to 0.7661, model saved
2026-09-01 10:09:06 | Epoch  41/100 | Train Loss 0.0270 | Val Loss 0.0216 MAE 0.4072 R2 0.7507
2026-09-01 10:09:06 | Epoch  42/100 | Train Loss 0.0270 | Val Loss 0.0212 MAE 0.4056 R2 0.7589
2026-09-01 10:09:07 | Epoch  43/100 | Train Loss 0.0268 | Val Loss 0.0202 MAE 0.4005 R2 0.7749
2026-09-01 10:09:07 |   Val R2 improved to 0.7749, model saved
2026-09-01 10:09:07 | Epoch  44/100 | Train Loss 0.0268 | Val Loss 0.0213 MAE 0.4133 R2 0.7494
2026-09-01 10:09:07 | Epoch  45/100 | Train Loss 0.0270 | Val Loss 0.0199 MAE 0.4055 R2 0.7715
2026-09-01 10:09:07 | Epoch  46/100 | Train Loss 0.0271 | Val Loss 0.0215 MAE 0.4185 R2 0.7422
2026-09-01 10:09:08 | Epoch  47/100 | Train Loss 0.0267 | Val Loss 0.0202 MAE 0.3998 R2 0.7692
2026-09-01 10:09:08 | Epoch  48/100 | Train Loss 0.0261 | Val Loss 0.0202 MAE 0.4017 R2 0.7655
2026-09-01 10:09:08 | Epoch  49/100 | Train Loss 0.0267 | Val Loss 0.0200 MAE 0.3984 R2 0.7784
2026-09-01 10:09:08 |   Val R2 improved to 0.7784, model saved
2026-09-01 10:09:08 | Epoch  50/100 | Train Loss 0.0263 | Val Loss 0.0205 MAE 0.3991 R2 0.7640
2026-09-01 10:09:09 | Epoch  51/100 | Train Loss 0.0264 | Val Loss 0.0206 MAE 0.4114 R2 0.7552
2026-09-01 10:09:09 | Epoch  52/100 | Train Loss 0.0261 | Val Loss 0.0197 MAE 0.4027 R2 0.7735
2026-09-01 10:09:09 | Epoch  53/100 | Train Loss 0.0261 | Val Loss 0.0205 MAE 0.4157 R2 0.7533
2026-09-01 10:09:10 | Epoch  54/100 | Train Loss 0.0260 | Val Loss 0.0202 MAE 0.3964 R2 0.7681
2026-09-01 10:09:10 | Epoch  55/100 | Train Loss 0.0257 | Val Loss 0.0200 MAE 0.3987 R2 0.7723
2026-09-01 10:09:10 | Epoch  56/100 | Train Loss 0.0261 | Val Loss 0.0199 MAE 0.3995 R2 0.7678
2026-09-01 10:09:10 | Epoch  57/100 | Train Loss 0.0257 | Val Loss 0.0203 MAE 0.4045 R2 0.7586
2026-09-01 10:09:11 | Epoch  58/100 | Train Loss 0.0258 | Val Loss 0.0197 MAE 0.3913 R2 0.7768
2026-09-01 10:09:11 | Epoch  59/100 | Train Loss 0.0253 | Val Loss 0.0194 MAE 0.3981 R2 0.7764
2026-09-01 10:09:11 | Val R2 did not improve for 10 consecutive epochs, early stopping at Epoch 59 (best R2 0.7784 @ Epoch 49)
2026-09-01 10:09:11 | Run 1/5 | Test (best model @ Epoch 49) | Loss 0.0198 MAE 0.3970 R2 0.7676
2026-09-01 10:09:11 | ===== Run 2/5 (seed 1) =====
2026-09-01 10:09:11 | Epoch   1/100 | Train Loss 0.4074 | Val Loss 0.1482 MAE 0.6934 R2 0.2663
2026-09-01 10:09:11 |   Val R2 improved to 0.2663, model saved
2026-09-01 10:09:11 | Epoch   2/100 | Train Loss 0.1606 | Val Loss 0.0535 MAE 0.5777 R2 0.5707
2026-09-01 10:09:11 |   Val R2 improved to 0.5707, model saved
2026-09-01 10:09:12 | Epoch   3/100 | Train Loss 0.0810 | Val Loss 0.0398 MAE 0.5049 R2 0.6408
2026-09-01 10:09:12 |   Val R2 improved to 0.6408, model saved
2026-09-01 10:09:12 | Epoch   4/100 | Train Loss 0.0545 | Val Loss 0.0327 MAE 0.4782 R2 0.6862
2026-09-01 10:09:12 |   Val R2 improved to 0.6862, model saved
2026-09-01 10:09:12 | Epoch   5/100 | Train Loss 0.0470 | Val Loss 0.0306 MAE 0.4609 R2 0.7032
2026-09-01 10:09:12 |   Val R2 improved to 0.7032, model saved
2026-09-01 10:09:12 | Epoch   6/100 | Train Loss 0.0428 | Val Loss 0.0293 MAE 0.4502 R2 0.7167
2026-09-01 10:09:12 |   Val R2 improved to 0.7167, model saved
2026-09-01 10:09:13 | Epoch   7/100 | Train Loss 0.0404 | Val Loss 0.0287 MAE 0.4498 R2 0.7125
2026-09-01 10:09:13 | Epoch   8/100 | Train Loss 0.0393 | Val Loss 0.0288 MAE 0.4402 R2 0.7131
2026-09-01 10:09:13 | Epoch   9/100 | Train Loss 0.0384 | Val Loss 0.0295 MAE 0.4427 R2 0.7040
2026-09-01 10:09:14 | Epoch  10/100 | Train Loss 0.0379 | Val Loss 0.0276 MAE 0.4348 R2 0.7231
2026-09-01 10:09:14 |   Val R2 improved to 0.7231, model saved
2026-09-01 10:09:14 | Epoch  11/100 | Train Loss 0.0367 | Val Loss 0.0265 MAE 0.4328 R2 0.7398
2026-09-01 10:09:14 |   Val R2 improved to 0.7398, model saved
2026-09-01 10:09:14 | Epoch  12/100 | Train Loss 0.0353 | Val Loss 0.0276 MAE 0.4368 R2 0.7194
2026-09-01 10:09:14 | Epoch  13/100 | Train Loss 0.0351 | Val Loss 0.0260 MAE 0.4365 R2 0.7355
2026-09-01 10:09:15 | Epoch  14/100 | Train Loss 0.0342 | Val Loss 0.0259 MAE 0.4284 R2 0.7461
2026-09-01 10:09:15 |   Val R2 improved to 0.7461, model saved
2026-09-01 10:09:15 | Epoch  15/100 | Train Loss 0.0347 | Val Loss 0.0255 MAE 0.4270 R2 0.7458
2026-09-01 10:09:15 | Epoch  16/100 | Train Loss 0.0338 | Val Loss 0.0251 MAE 0.4335 R2 0.7456
2026-09-01 10:09:15 | Epoch  17/100 | Train Loss 0.0330 | Val Loss 0.0250 MAE 0.4225 R2 0.7448
2026-09-01 10:09:16 | Epoch  18/100 | Train Loss 0.0324 | Val Loss 0.0246 MAE 0.4153 R2 0.7514
2026-09-01 10:09:16 |   Val R2 improved to 0.7514, model saved
2026-09-01 10:09:16 | Epoch  19/100 | Train Loss 0.0323 | Val Loss 0.0250 MAE 0.4255 R2 0.7360
2026-09-01 10:09:16 | Epoch  20/100 | Train Loss 0.0322 | Val Loss 0.0238 MAE 0.4152 R2 0.7553
2026-09-01 10:09:16 |   Val R2 improved to 0.7553, model saved
2026-09-01 10:09:16 | Epoch  21/100 | Train Loss 0.0316 | Val Loss 0.0241 MAE 0.4217 R2 0.7506
2026-09-01 10:09:16 | Epoch  22/100 | Train Loss 0.0316 | Val Loss 0.0239 MAE 0.4133 R2 0.7515
2026-09-01 10:09:17 | Epoch  23/100 | Train Loss 0.0304 | Val Loss 0.0236 MAE 0.4290 R2 0.7548
2026-09-01 10:09:17 | Epoch  24/100 | Train Loss 0.0304 | Val Loss 0.0229 MAE 0.4129 R2 0.7568
2026-09-01 10:09:17 |   Val R2 improved to 0.7568, model saved
2026-09-01 10:09:17 | Epoch  25/100 | Train Loss 0.0300 | Val Loss 0.0229 MAE 0.4145 R2 0.7500
2026-09-01 10:09:17 | Epoch  26/100 | Train Loss 0.0302 | Val Loss 0.0225 MAE 0.4028 R2 0.7609
2026-09-01 10:09:17 |   Val R2 improved to 0.7609, model saved
2026-09-01 10:09:18 | Epoch  27/100 | Train Loss 0.0302 | Val Loss 0.0249 MAE 0.4284 R2 0.7211
2026-09-01 10:09:18 | Epoch  28/100 | Train Loss 0.0305 | Val Loss 0.0228 MAE 0.4029 R2 0.7563
2026-09-01 10:09:18 | Epoch  29/100 | Train Loss 0.0292 | Val Loss 0.0221 MAE 0.4041 R2 0.7645
2026-09-01 10:09:18 |   Val R2 improved to 0.7645, model saved
2026-09-01 10:09:18 | Epoch  30/100 | Train Loss 0.0291 | Val Loss 0.0220 MAE 0.4215 R2 0.7604
2026-09-01 10:09:19 | Epoch  31/100 | Train Loss 0.0288 | Val Loss 0.0218 MAE 0.4005 R2 0.7685
2026-09-01 10:09:19 |   Val R2 improved to 0.7685, model saved
2026-09-01 10:09:19 | Epoch  32/100 | Train Loss 0.0287 | Val Loss 0.0215 MAE 0.4000 R2 0.7681
2026-09-01 10:09:19 | Epoch  33/100 | Train Loss 0.0282 | Val Loss 0.0213 MAE 0.4169 R2 0.7669
