2026-09-02 07:54:41 | Device: cuda
2026-09-02 07:54:41 | Args: {'model': 'opb', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 8.0, 'energy_classifier': False, 'tied_head': True, 'max_len': 250, 'random_labels': False, 'beta': 10.0, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_opb/california_mlp_opb.pt', 'log_path': '/root/autodl-tmp/IB/tune_results/california_mlp_opb_beta_10_anchor_8/train.log', 'no_save': True}
2026-09-02 07:54:41 | ===== Run 1/5 (seed 0) =====
2026-09-02 07:54:42 | Epoch   1/100 | Train Loss 37.4011 | Val Loss 13.1579 MAE 0.6637 R2 0.3635
2026-09-02 07:54:42 |   Val R2 improved to 0.3635, model saved
2026-09-02 07:54:43 | Epoch   2/100 | Train Loss 15.7660 | Val Loss 7.2992 MAE 0.5118 R2 0.6173
2026-09-02 07:54:43 |   Val R2 improved to 0.6173, model saved
2026-09-02 07:54:43 | Epoch   3/100 | Train Loss 10.4388 | Val Loss 5.6890 MAE 0.4611 R2 0.6889
2026-09-02 07:54:43 |   Val R2 improved to 0.6889, model saved
2026-09-02 07:54:43 | Epoch   4/100 | Train Loss 8.2143 | Val Loss 5.3031 MAE 0.4441 R2 0.7023
2026-09-02 07:54:43 |   Val R2 improved to 0.7023, model saved
2026-09-02 07:54:44 | Epoch   5/100 | Train Loss 7.0472 | Val Loss 4.9642 MAE 0.4414 R2 0.7170
2026-09-02 07:54:44 |   Val R2 improved to 0.7170, model saved
2026-09-02 07:54:44 | Epoch   6/100 | Train Loss 6.2282 | Val Loss 4.7071 MAE 0.4293 R2 0.7273
2026-09-02 07:54:44 |   Val R2 improved to 0.7273, model saved
2026-09-02 07:54:44 | Epoch   7/100 | Train Loss 5.7558 | Val Loss 4.5777 MAE 0.4252 R2 0.7312
2026-09-02 07:54:44 |   Val R2 improved to 0.7312, model saved
2026-09-02 07:54:44 | Epoch   8/100 | Train Loss 5.4462 | Val Loss 4.5550 MAE 0.4357 R2 0.7332
2026-09-02 07:54:44 |   Val R2 improved to 0.7332, model saved
2026-09-02 07:54:45 | Epoch   9/100 | Train Loss 5.2473 | Val Loss 4.3800 MAE 0.4241 R2 0.7354
2026-09-02 07:54:45 |   Val R2 improved to 0.7354, model saved
2026-09-02 07:54:45 | Epoch  10/100 | Train Loss 4.9922 | Val Loss 4.1971 MAE 0.4146 R2 0.7418
2026-09-02 07:54:45 |   Val R2 improved to 0.7418, model saved
2026-09-02 07:54:45 | Epoch  11/100 | Train Loss 4.7916 | Val Loss 4.0135 MAE 0.4150 R2 0.7504
2026-09-02 07:54:45 |   Val R2 improved to 0.7504, model saved
2026-09-02 07:54:45 | Epoch  12/100 | Train Loss 4.8120 | Val Loss 4.0407 MAE 0.4083 R2 0.7443
2026-09-02 07:54:46 | Epoch  13/100 | Train Loss 4.5810 | Val Loss 4.0054 MAE 0.4139 R2 0.7411
2026-09-02 07:54:46 | Epoch  14/100 | Train Loss 4.4511 | Val Loss 3.7877 MAE 0.4037 R2 0.7508
2026-09-02 07:54:46 |   Val R2 improved to 0.7508, model saved
2026-09-02 07:54:46 | Epoch  15/100 | Train Loss 4.3128 | Val Loss 3.6887 MAE 0.4040 R2 0.7534
2026-09-02 07:54:46 |   Val R2 improved to 0.7534, model saved
2026-09-02 07:54:46 | Epoch  16/100 | Train Loss 4.1906 | Val Loss 3.5188 MAE 0.4077 R2 0.7606
2026-09-02 07:54:46 |   Val R2 improved to 0.7606, model saved
2026-09-02 07:54:47 | Epoch  17/100 | Train Loss 4.0690 | Val Loss 3.4098 MAE 0.3993 R2 0.7596
2026-09-02 07:54:47 | Epoch  18/100 | Train Loss 3.9120 | Val Loss 3.3120 MAE 0.3982 R2 0.7599
2026-09-02 07:54:47 | Epoch  19/100 | Train Loss 3.6905 | Val Loss 3.2216 MAE 0.3965 R2 0.7576
2026-09-02 07:54:47 | Epoch  20/100 | Train Loss 3.5589 | Val Loss 3.0088 MAE 0.3949 R2 0.7655
2026-09-02 07:54:47 |   Val R2 improved to 0.7655, model saved
2026-09-02 07:54:48 | Epoch  21/100 | Train Loss 3.3453 | Val Loss 2.9804 MAE 0.3963 R2 0.7548
2026-09-02 07:54:48 | Epoch  22/100 | Train Loss 3.2501 | Val Loss 2.7146 MAE 0.3914 R2 0.7658
2026-09-02 07:54:48 |   Val R2 improved to 0.7658, model saved
2026-09-02 07:54:48 | Epoch  23/100 | Train Loss 3.0636 | Val Loss 2.5599 MAE 0.3900 R2 0.7671
2026-09-02 07:54:48 |   Val R2 improved to 0.7671, model saved
2026-09-02 07:54:49 | Epoch  24/100 | Train Loss 2.8373 | Val Loss 2.4579 MAE 0.3908 R2 0.7653
2026-09-02 07:54:49 | Epoch  25/100 | Train Loss 2.7063 | Val Loss 2.3779 MAE 0.3962 R2 0.7531
2026-09-02 07:54:49 | Epoch  26/100 | Train Loss 2.5435 | Val Loss 2.1562 MAE 0.3874 R2 0.7631
2026-09-02 07:54:49 | Epoch  27/100 | Train Loss 2.3764 | Val Loss 2.0341 MAE 0.3903 R2 0.7612
2026-09-02 07:54:50 | Epoch  28/100 | Train Loss 2.2565 | Val Loss 1.8914 MAE 0.3869 R2 0.7643
2026-09-02 07:54:50 | Epoch  29/100 | Train Loss 2.1106 | Val Loss 1.7579 MAE 0.3832 R2 0.7721
2026-09-02 07:54:50 |   Val R2 improved to 0.7721, model saved
2026-09-02 07:54:50 | Epoch  30/100 | Train Loss 1.9866 | Val Loss 1.7649 MAE 0.3924 R2 0.7508
2026-09-02 07:54:50 | Epoch  31/100 | Train Loss 1.9306 | Val Loss 1.5899 MAE 0.3847 R2 0.7743
2026-09-02 07:54:50 |   Val R2 improved to 0.7743, model saved
2026-09-02 07:54:51 | Epoch  32/100 | Train Loss 1.7909 | Val Loss 1.4983 MAE 0.3824 R2 0.7710
2026-09-02 07:54:51 | Epoch  33/100 | Train Loss 1.7166 | Val Loss 1.4416 MAE 0.3850 R2 0.7710
2026-09-02 07:54:51 | Epoch  34/100 | Train Loss 1.6695 | Val Loss 1.3437 MAE 0.3806 R2 0.7773
2026-09-02 07:54:51 |   Val R2 improved to 0.7773, model saved
2026-09-02 07:54:51 | Epoch  35/100 | Train Loss 1.5796 | Val Loss 1.4114 MAE 0.3950 R2 0.7461
2026-09-02 07:54:51 | Epoch  36/100 | Train Loss 1.5585 | Val Loss 1.3227 MAE 0.3992 R2 0.7473
2026-09-02 07:54:52 | Epoch  37/100 | Train Loss 1.4243 | Val Loss 1.1812 MAE 0.3844 R2 0.7718
2026-09-02 07:54:52 | Epoch  38/100 | Train Loss 1.3875 | Val Loss 1.1360 MAE 0.3813 R2 0.7672
2026-09-02 07:54:52 | Epoch  39/100 | Train Loss 1.3285 | Val Loss 1.1300 MAE 0.3839 R2 0.7595
2026-09-02 07:54:53 | Epoch  40/100 | Train Loss 1.2863 | Val Loss 1.1029 MAE 0.3922 R2 0.7488
2026-09-02 07:54:53 | Epoch  41/100 | Train Loss 1.2265 | Val Loss 0.9980 MAE 0.3820 R2 0.7665
2026-09-02 07:54:53 | Epoch  42/100 | Train Loss 1.1740 | Val Loss 0.9742 MAE 0.3806 R2 0.7660
2026-09-02 07:54:53 | Epoch  43/100 | Train Loss 1.1291 | Val Loss 0.8960 MAE 0.3778 R2 0.7717
2026-09-02 07:54:54 | Epoch  44/100 | Train Loss 1.0864 | Val Loss 0.8707 MAE 0.3821 R2 0.7686
2026-09-02 07:54:54 | Val R2 did not improve for 10 consecutive epochs, early stopping at Epoch 44 (best R2 0.7773 @ Epoch 34)
2026-09-02 07:54:54 | Run 1/5 | Test (best model @ Epoch 34) | Loss 1.3302 MAE 0.3790 R2 0.7658
2026-09-02 07:54:54 | ===== Run 2/5 (seed 1) =====
2026-09-02 07:54:54 | Epoch   1/100 | Train Loss 39.3767 | Val Loss 14.2336 MAE 0.6556 R2 0.3590
2026-09-02 07:54:54 |   Val R2 improved to 0.3590, model saved
2026-09-02 07:54:54 | Epoch   2/100 | Train Loss 16.4681 | Val Loss 7.1797 MAE 0.5032 R2 0.6272
2026-09-02 07:54:54 |   Val R2 improved to 0.6272, model saved
2026-09-02 07:54:54 | Epoch   3/100 | Train Loss 10.7047 | Val Loss 5.6384 MAE 0.4619 R2 0.6940
2026-09-02 07:54:54 |   Val R2 improved to 0.6940, model saved
2026-09-02 07:54:55 | Epoch   4/100 | Train Loss 8.3532 | Val Loss 5.1204 MAE 0.4397 R2 0.7143
2026-09-02 07:54:55 |   Val R2 improved to 0.7143, model saved
2026-09-02 07:54:55 | Epoch   5/100 | Train Loss 7.0579 | Val Loss 4.9355 MAE 0.4388 R2 0.7199
2026-09-02 07:54:55 |   Val R2 improved to 0.7199, model saved
2026-09-02 07:54:55 | Epoch   6/100 | Train Loss 6.2495 | Val Loss 4.7723 MAE 0.4338 R2 0.7234
2026-09-02 07:54:55 |   Val R2 improved to 0.7234, model saved
2026-09-02 07:54:55 | Epoch   7/100 | Train Loss 5.7006 | Val Loss 4.6179 MAE 0.4277 R2 0.7279
2026-09-02 07:54:55 |   Val R2 improved to 0.7279, model saved
2026-09-02 07:54:56 | Epoch   8/100 | Train Loss 5.4969 | Val Loss 4.4415 MAE 0.4214 R2 0.7354
2026-09-02 07:54:56 |   Val R2 improved to 0.7354, model saved
2026-09-02 07:54:56 | Epoch   9/100 | Train Loss 5.2651 | Val Loss 4.5546 MAE 0.4259 R2 0.7240
2026-09-02 07:54:56 | Epoch  10/100 | Train Loss 5.1357 | Val Loss 4.4656 MAE 0.4192 R2 0.7292
2026-09-02 07:54:56 | Epoch  11/100 | Train Loss 4.8733 | Val Loss 4.0197 MAE 0.4115 R2 0.7519
2026-09-02 07:54:56 |   Val R2 improved to 0.7519, model saved
2026-09-02 07:54:57 | Epoch  12/100 | Train Loss 4.6846 | Val Loss 4.0630 MAE 0.4110 R2 0.7437
2026-09-02 07:54:57 | Epoch  13/100 | Train Loss 4.5714 | Val Loss 3.8637 MAE 0.4088 R2 0.7521
2026-09-02 07:54:57 |   Val R2 improved to 0.7521, model saved
2026-09-02 07:54:57 | Epoch  14/100 | Train Loss 4.4056 | Val Loss 3.7652 MAE 0.4083 R2 0.7558
2026-09-02 07:54:57 |   Val R2 improved to 0.7558, model saved
2026-09-02 07:54:58 | Epoch  15/100 | Train Loss 4.4377 | Val Loss 3.7388 MAE 0.4087 R2 0.7553
2026-09-02 07:54:58 | Epoch  16/100 | Train Loss 4.1963 | Val Loss 3.5466 MAE 0.4046 R2 0.7603
2026-09-02 07:54:58 |   Val R2 improved to 0.7603, model saved
2026-09-02 07:54:58 | Epoch  17/100 | Train Loss 4.0390 | Val Loss 3.4175 MAE 0.3974 R2 0.7623
2026-09-02 07:54:58 |   Val R2 improved to 0.7623, model saved
2026-09-02 07:54:58 | Epoch  18/100 | Train Loss 3.8693 | Val Loss 3.3229 MAE 0.3956 R2 0.7624
2026-09-02 07:54:58 |   Val R2 improved to 0.7624, model saved
2026-09-02 07:54:59 | Epoch  19/100 | Train Loss 3.7451 | Val Loss 3.2573 MAE 0.3990 R2 0.7583
2026-09-02 07:54:59 | Epoch  20/100 | Train Loss 3.6201 | Val Loss 3.0827 MAE 0.3942 R2 0.7609
2026-09-02 07:54:59 | Epoch  21/100 | Train Loss 3.5353 | Val Loss 2.9724 MAE 0.3942 R2 0.7598
2026-09-02 07:54:59 | Epoch  22/100 | Train Loss 3.2704 | Val Loss 2.7947 MAE 0.3910 R2 0.7625
2026-09-02 07:54:59 |   Val R2 improved to 0.7625, model saved
2026-09-02 07:55:00 | Epoch  23/100 | Train Loss 3.0750 | Val Loss 2.6024 MAE 0.3950 R2 0.7680
2026-09-02 07:55:00 |   Val R2 improved to 0.7680, model saved
2026-09-02 07:55:00 | Epoch  24/100 | Train Loss 2.8731 | Val Loss 2.3850 MAE 0.3875 R2 0.7712
2026-09-02 07:55:00 |   Val R2 improved to 0.7712, model saved
2026-09-02 07:55:00 | Epoch  25/100 | Train Loss 2.6698 | Val Loss 2.2472 MAE 0.3904 R2 0.7644
2026-09-02 07:55:00 | Epoch  26/100 | Train Loss 2.4858 | Val Loss 2.0511 MAE 0.3858 R2 0.7730
2026-09-02 07:55:00 |   Val R2 improved to 0.7730, model saved
2026-09-02 07:55:01 | Epoch  27/100 | Train Loss 2.3384 | Val Loss 1.9375 MAE 0.3855 R2 0.7626
2026-09-02 07:55:01 | Epoch  28/100 | Train Loss 2.1847 | Val Loss 1.7626 MAE 0.3845 R2 0.7736
2026-09-02 07:55:01 |   Val R2 improved to 0.7736, model saved
2026-09-02 07:55:01 | Epoch  29/100 | Train Loss 1.9687 | Val Loss 1.6488 MAE 0.3855 R2 0.7651
2026-09-02 07:55:01 | Epoch  30/100 | Train Loss 1.8205 | Val Loss 1.4941 MAE 0.3823 R2 0.7739
2026-09-02 07:55:01 |   Val R2 improved to 0.7739, model saved
2026-09-02 07:55:02 | Epoch  31/100 | Train Loss 1.6999 | Val Loss 1.3902 MAE 0.3804 R2 0.7727
2026-09-02 07:55:02 | Epoch  32/100 | Train Loss 1.5935 | Val Loss 1.3894 MAE 0.3811 R2 0.7603
2026-09-02 07:55:02 | Epoch  33/100 | Train Loss 1.5092 | Val Loss 1.2357 MAE 0.3804 R2 0.7701
2026-09-02 07:55:02 | Epoch  34/100 | Train Loss 1.4047 | Val Loss 1.2361 MAE 0.3854 R2 0.7589
2026-09-02 07:55:03 | Epoch  35/100 | Train Loss 1.3580 | Val Loss 1.0898 MAE 0.3834 R2 0.7654
2026-09-02 07:55:03 | Epoch  36/100 | Train Loss 1.2718 | Val Loss 1.0854 MAE 0.3877 R2 0.7573
2026-09-02 07:55:03 | Epoch  37/100 | Train Loss 1.2277 | Val Loss 0.9989 MAE 0.3824 R2 0.7639
2026-09-02 07:55:04 | Epoch  38/100 | Train Loss 1.1783 | Val Loss 0.9497 MAE 0.3817 R2 0.7634
2026-09-02 07:55:04 | Epoch  39/100 | Train Loss 1.1271 | Val Loss 0.9380 MAE 0.3887 R2 0.7529
2026-09-02 07:55:04 | Epoch  40/100 | Train Loss 1.0685 | Val Loss 0.8777 MAE 0.3815 R2 0.7647
2026-09-02 07:55:04 | Val R2 did not improve for 10 consecutive epochs, early stopping at Epoch 40 (best R2 0.7739 @ Epoch 30)
2026-09-02 07:55:04 | Run 2/5 | Test (best model @ Epoch 30) | Loss 1.4817 MAE 0.3809 R2 0.7625
2026-09-02 07:55:04 | ===== Run 3/5 (seed 2) =====
2026-09-02 07:55:04 | Epoch   1/100 | Train Loss 40.3476 | Val Loss 16.6451 MAE 0.6903 R2 0.2702
2026-09-02 07:55:04 |   Val R2 improved to 0.2702, model saved
2026-09-02 07:55:05 | Epoch   2/100 | Train Loss 16.0901 | Val Loss 7.0260 MAE 0.5017 R2 0.6317
2026-09-02 07:55:05 |   Val R2 improved to 0.6317, model saved
2026-09-02 07:55:05 | Epoch   3/100 | Train Loss 10.5140 | Val Loss 5.8915 MAE 0.4620 R2 0.6776
2026-09-02 07:55:05 |   Val R2 improved to 0.6776, model saved
2026-09-02 07:55:05 | Epoch   4/100 | Train Loss 8.2162 | Val Loss 5.2248 MAE 0.4440 R2 0.7087
2026-09-02 07:55:05 |   Val R2 improved to 0.7087, model saved
2026-09-02 07:55:05 | Epoch   5/100 | Train Loss 6.9959 | Val Loss 4.9016 MAE 0.4366 R2 0.7241
2026-09-02 07:55:05 |   Val R2 improved to 0.7241, model saved
2026-09-02 07:55:06 | Epoch   6/100 | Train Loss 6.3078 | Val Loss 4.7585 MAE 0.4296 R2 0.7279
2026-09-02 07:55:06 |   Val R2 improved to 0.7279, model saved
2026-09-02 07:55:06 | Epoch   7/100 | Train Loss 5.8257 | Val Loss 4.6226 MAE 0.4218 R2 0.7300
2026-09-02 07:55:06 |   Val R2 improved to 0.7300, model saved
2026-09-02 07:55:06 | Epoch   8/100 | Train Loss 5.4852 | Val Loss 4.4422 MAE 0.4262 R2 0.7386
2026-09-02 07:55:06 |   Val R2 improved to 0.7386, model saved
2026-09-02 07:55:06 | Epoch   9/100 | Train Loss 5.3140 | Val Loss 4.3022 MAE 0.4161 R2 0.7419
2026-09-02 07:55:06 |   Val R2 improved to 0.7419, model saved
2026-09-02 07:55:07 | Epoch  10/100 | Train Loss 5.1018 | Val Loss 4.2877 MAE 0.4153 R2 0.7381
2026-09-02 07:55:07 | Epoch  11/100 | Train Loss 4.9253 | Val Loss 4.0654 MAE 0.4115 R2 0.7490
2026-09-02 07:55:07 |   Val R2 improved to 0.7490, model saved
2026-09-02 07:55:07 | Epoch  12/100 | Train Loss 4.7344 | Val Loss 4.0154 MAE 0.4130 R2 0.7481
2026-09-02 07:55:07 | Epoch  13/100 | Train Loss 4.5229 | Val Loss 3.9324 MAE 0.4098 R2 0.7482
2026-09-02 07:55:08 | Epoch  14/100 | Train Loss 4.3616 | Val Loss 3.8804 MAE 0.4065 R2 0.7453
2026-09-02 07:55:08 | Epoch  15/100 | Train Loss 4.2484 | Val Loss 3.7123 MAE 0.4037 R2 0.7518
2026-09-02 07:55:08 |   Val R2 improved to 0.7518, model saved
2026-09-02 07:55:08 | Epoch  16/100 | Train Loss 4.1991 | Val Loss 3.5778 MAE 0.4145 R2 0.7570
2026-09-02 07:55:08 |   Val R2 improved to 0.7570, model saved
2026-09-02 07:55:08 | Epoch  17/100 | Train Loss 4.0164 | Val Loss 3.3564 MAE 0.3982 R2 0.7606
2026-09-02 07:55:08 |   Val R2 improved to 0.7606, model saved
2026-09-02 07:55:09 | Epoch  18/100 | Train Loss 3.7695 | Val Loss 3.2595 MAE 0.4007 R2 0.7581
2026-09-02 07:55:09 | Epoch  19/100 | Train Loss 3.5949 | Val Loss 3.1226 MAE 0.3961 R2 0.7564
2026-09-02 07:55:09 | Epoch  20/100 | Train Loss 3.4113 | Val Loss 2.9546 MAE 0.3990 R2 0.7587
2026-09-02 07:55:10 | Epoch  21/100 | Train Loss 3.1998 | Val Loss 2.7717 MAE 0.3942 R2 0.7626
2026-09-02 07:55:10 |   Val R2 improved to 0.7626, model saved
2026-09-02 07:55:10 | Epoch  22/100 | Train Loss 3.0791 | Val Loss 2.5801 MAE 0.3924 R2 0.7624
2026-09-02 07:55:10 | Epoch  23/100 | Train Loss 2.8779 | Val Loss 2.4646 MAE 0.3956 R2 0.7638
2026-09-02 07:55:10 |   Val R2 improved to 0.7638, model saved
2026-09-02 07:55:10 | Epoch  24/100 | Train Loss 2.7207 | Val Loss 2.2761 MAE 0.3920 R2 0.7617
2026-09-02 07:55:11 | Epoch  25/100 | Train Loss 2.5005 | Val Loss 2.1471 MAE 0.3908 R2 0.7606
2026-09-02 07:55:11 | Epoch  26/100 | Train Loss 2.3866 | Val Loss 1.9671 MAE 0.3894 R2 0.7717
2026-09-02 07:55:11 |   Val R2 improved to 0.7717, model saved
2026-09-02 07:55:11 | Epoch  27/100 | Train Loss 2.2086 | Val Loss 1.9005 MAE 0.3889 R2 0.7637
2026-09-02 07:55:11 | Epoch  28/100 | Train Loss 2.1591 | Val Loss 1.7979 MAE 0.3907 R2 0.7597
2026-09-02 07:55:12 | Epoch  29/100 | Train Loss 1.9863 | Val Loss 1.6553 MAE 0.3839 R2 0.7710
2026-09-02 07:55:12 | Epoch  30/100 | Train Loss 1.8875 | Val Loss 1.6312 MAE 0.3855 R2 0.7677
2026-09-02 07:55:12 | Epoch  31/100 | Train Loss 1.7964 | Val Loss 1.5404 MAE 0.3840 R2 0.7648
2026-09-02 07:55:12 | Epoch  32/100 | Train Loss 1.7025 | Val Loss 1.5042 MAE 0.3922 R2 0.7538
2026-09-02 07:55:13 | Epoch  33/100 | Train Loss 1.6383 | Val Loss 1.3649 MAE 0.3823 R2 0.7699
2026-09-02 07:55:13 | Epoch  34/100 | Train Loss 1.5866 | Val Loss 1.3210 MAE 0.3807 R2 0.7724
2026-09-02 07:55:13 |   Val R2 improved to 0.7724, model saved
2026-09-02 07:55:13 | Epoch  35/100 | Train Loss 1.5198 | Val Loss 1.3139 MAE 0.3838 R2 0.7638
2026-09-02 07:55:13 | Epoch  36/100 | Train Loss 1.4619 | Val Loss 1.2443 MAE 0.3794 R2 0.7669
2026-09-02 07:55:14 | Epoch  37/100 | Train Loss 1.4365 | Val Loss 1.1784 MAE 0.3827 R2 0.7652
2026-09-02 07:55:14 | Epoch  38/100 | Train Loss 1.3867 | Val Loss 1.1322 MAE 0.3823 R2 0.7740
2026-09-02 07:55:14 |   Val R2 improved to 0.7740, model saved
2026-09-02 07:55:14 | Epoch  39/100 | Train Loss 1.3327 | Val Loss 1.2254 MAE 0.3930 R2 0.7474
2026-09-02 07:55:14 | Epoch  40/100 | Train Loss 1.2842 | Val Loss 1.2311 MAE 0.3779 R2 0.7633
2026-09-02 07:55:15 | Epoch  41/100 | Train Loss 1.5793 | Val Loss 1.0409 MAE 0.3830 R2 0.7670
