2026-08-26 21:06:55 | Device: cuda
2026-08-26 21:06:55 | Args: {'model': 'svib', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'max_len': 250, 'random_labels': False, 'beta': 10.0, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_svib/california_mlp_svib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results/california_mlp_svib_beta_10/train.log', 'no_save': True}
2026-08-26 21:06:55 | ===== Run 1/5 (seed 0) =====
2026-08-26 21:06:59 | Epoch   1/100 | Train Loss 3.8644 | Val Loss 0.2866 MAE 1.7022 R2 -2.1050
2026-08-26 21:06:59 |   Val R2 improved to -2.1050, model saved
2026-08-26 21:07:00 | Epoch   2/100 | Train Loss 0.3014 | Val Loss 0.1764 MAE 1.5939 R2 -1.8453
2026-08-26 21:07:00 |   Val R2 improved to -1.8453, model saved
2026-08-26 21:07:00 | Epoch   3/100 | Train Loss 0.2072 | Val Loss 0.1637 MAE 1.5483 R2 -1.7409
2026-08-26 21:07:00 |   Val R2 improved to -1.7409, model saved
2026-08-26 21:07:00 | Epoch   4/100 | Train Loss 0.1746 | Val Loss 0.1537 MAE 1.4888 R2 -1.6032
2026-08-26 21:07:00 |   Val R2 improved to -1.6032, model saved
2026-08-26 21:07:01 | Epoch   5/100 | Train Loss 0.1554 | Val Loss 0.1423 MAE 1.4081 R2 -1.4168
2026-08-26 21:07:01 |   Val R2 improved to -1.4168, model saved
2026-08-26 21:07:01 | Epoch   6/100 | Train Loss 0.1402 | Val Loss 0.1306 MAE 1.3241 R2 -1.2237
2026-08-26 21:07:01 |   Val R2 improved to -1.2237, model saved
2026-08-26 21:07:02 | Epoch   7/100 | Train Loss 0.1284 | Val Loss 0.1202 MAE 1.2475 R2 -1.0484
2026-08-26 21:07:02 |   Val R2 improved to -1.0484, model saved
2026-08-26 21:07:02 | Epoch   8/100 | Train Loss 0.1176 | Val Loss 0.1111 MAE 1.1818 R2 -0.8958
2026-08-26 21:07:03 |   Val R2 improved to -0.8958, model saved
2026-08-26 21:07:03 | Epoch   9/100 | Train Loss 0.1090 | Val Loss 0.1030 MAE 1.1253 R2 -0.7590
2026-08-26 21:07:03 |   Val R2 improved to -0.7590, model saved
2026-08-26 21:07:03 | Epoch  10/100 | Train Loss 0.1003 | Val Loss 0.0958 MAE 1.0764 R2 -0.6369
2026-08-26 21:07:03 |   Val R2 improved to -0.6369, model saved
2026-08-26 21:07:04 | Epoch  11/100 | Train Loss 0.0943 | Val Loss 0.0897 MAE 1.0358 R2 -0.5330
2026-08-26 21:07:04 |   Val R2 improved to -0.5330, model saved
2026-08-26 21:07:04 | Epoch  12/100 | Train Loss 0.0878 | Val Loss 0.0845 MAE 1.0027 R2 -0.4456
2026-08-26 21:07:04 |   Val R2 improved to -0.4456, model saved
2026-08-26 21:07:04 | Epoch  13/100 | Train Loss 0.0829 | Val Loss 0.0801 MAE 0.9745 R2 -0.3692
2026-08-26 21:07:04 |   Val R2 improved to -0.3692, model saved
2026-08-26 21:07:05 | Epoch  14/100 | Train Loss 0.0782 | Val Loss 0.0762 MAE 0.9517 R2 -0.3029
2026-08-26 21:07:05 |   Val R2 improved to -0.3029, model saved
2026-08-26 21:07:05 | Epoch  15/100 | Train Loss 0.0751 | Val Loss 0.0729 MAE 0.9344 R2 -0.2475
2026-08-26 21:07:05 |   Val R2 improved to -0.2475, model saved
2026-08-26 21:07:05 | Epoch  16/100 | Train Loss 0.0716 | Val Loss 0.0702 MAE 0.9209 R2 -0.2000
2026-08-26 21:07:05 |   Val R2 improved to -0.2000, model saved
2026-08-26 21:07:05 | Epoch  17/100 | Train Loss 0.0687 | Val Loss 0.0679 MAE 0.9115 R2 -0.1624
2026-08-26 21:07:05 |   Val R2 improved to -0.1624, model saved
2026-08-26 21:07:06 | Epoch  18/100 | Train Loss 0.0671 | Val Loss 0.0660 MAE 0.9049 R2 -0.1306
2026-08-26 21:07:06 |   Val R2 improved to -0.1306, model saved
2026-08-26 21:07:06 | Epoch  19/100 | Train Loss 0.0651 | Val Loss 0.0645 MAE 0.9007 R2 -0.1043
2026-08-26 21:07:06 |   Val R2 improved to -0.1043, model saved
2026-08-26 21:07:07 | Epoch  20/100 | Train Loss 0.0638 | Val Loss 0.0632 MAE 0.8981 R2 -0.0820
2026-08-26 21:07:07 |   Val R2 improved to -0.0820, model saved
2026-08-26 21:07:07 | Epoch  21/100 | Train Loss 0.0623 | Val Loss 0.0621 MAE 0.8971 R2 -0.0637
2026-08-26 21:07:07 |   Val R2 improved to -0.0637, model saved
2026-08-26 21:07:07 | Epoch  22/100 | Train Loss 0.0618 | Val Loss 0.0614 MAE 0.8974 R2 -0.0510
2026-08-26 21:07:07 |   Val R2 improved to -0.0510, model saved
2026-08-26 21:07:08 | Epoch  23/100 | Train Loss 0.0609 | Val Loss 0.0607 MAE 0.8983 R2 -0.0395
2026-08-26 21:07:08 |   Val R2 improved to -0.0395, model saved
2026-08-26 21:07:08 | Epoch  24/100 | Train Loss 0.0600 | Val Loss 0.0602 MAE 0.8998 R2 -0.0307
2026-08-26 21:07:08 |   Val R2 improved to -0.0307, model saved
2026-08-26 21:07:08 | Epoch  25/100 | Train Loss 0.0596 | Val Loss 0.0598 MAE 0.9018 R2 -0.0237
2026-08-26 21:07:08 |   Val R2 improved to -0.0237, model saved
