2026-08-26 21:06:55 | Device: cuda
2026-08-26 21:06:55 | Args: {'model': 'vib', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'max_len': 250, 'random_labels': False, 'beta': 0.01, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_vib/california_mlp_vib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results/california_mlp_vib_beta_0.01/train.log', 'no_save': True}
2026-08-26 21:06:55 | ===== Run 1/5 (seed 0) =====
2026-08-26 21:06:58 | Epoch   1/100 | Train Loss 0.3324 | Val Loss 0.0604 MAE 0.6009 R2 0.4147
2026-08-26 21:06:58 |   Val R2 improved to 0.4147, model saved
2026-08-26 21:06:59 | Epoch   2/100 | Train Loss 0.1336 | Val Loss 0.0521 MAE 0.5540 R2 0.5018
2026-08-26 21:06:59 |   Val R2 improved to 0.5018, model saved
2026-08-26 21:06:59 | Epoch   3/100 | Train Loss 0.0877 | Val Loss 0.0492 MAE 0.5147 R2 0.5833
2026-08-26 21:06:59 |   Val R2 improved to 0.5833, model saved
2026-08-26 21:06:59 | Epoch   4/100 | Train Loss 0.0767 | Val Loss 0.0474 MAE 0.5302 R2 0.5651
2026-08-26 21:07:00 | Epoch   5/100 | Train Loss 0.0719 | Val Loss 0.0447 MAE 0.5182 R2 0.5839
2026-08-26 21:07:00 |   Val R2 improved to 0.5839, model saved
2026-08-26 21:07:00 | Epoch   6/100 | Train Loss 0.0683 | Val Loss 0.0429 MAE 0.5103 R2 0.5928
2026-08-26 21:07:00 |   Val R2 improved to 0.5928, model saved
2026-08-26 21:07:00 | Epoch   7/100 | Train Loss 0.0646 | Val Loss 0.0410 MAE 0.4964 R2 0.6226
2026-08-26 21:07:00 |   Val R2 improved to 0.6226, model saved
2026-08-26 21:07:01 | Epoch   8/100 | Train Loss 0.0613 | Val Loss 0.0400 MAE 0.5162 R2 0.5982
2026-08-26 21:07:01 | Epoch   9/100 | Train Loss 0.0588 | Val Loss 0.0385 MAE 0.4987 R2 0.6222
2026-08-26 21:07:02 | Epoch  10/100 | Train Loss 0.0562 | Val Loss 0.0372 MAE 0.4933 R2 0.6338
