2026-08-27 16:10:22 | Device: cuda
2026-08-27 16:10:22 | Args: {'model': 'gcn', 'backbone': 'gnn', 'task': 'cora', 'epochs': 100, 'batch_size': 512, 'lr': 0.01, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'max_len': 250, 'random_labels': False, 'beta': 0.001, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/cora_gcn/cora_gcn.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results/cora_gcn/train.log', 'no_save': True}
2026-08-27 16:10:27 | Cora 划分（60/20/20 分层）：train 1624 / val 542 / test 542（共 2708 节点，7 类）
2026-08-27 16:10:35 | ===== Run 1/5 (seed 0) =====
2026-08-27 16:10:36 | Epoch   1/100 | Train Loss 1.9542 Acc 0.1096 | Val Loss 1.9069 Acc 0.4539 AUC 0.9091 Pre 0.2552 Rec 0.2889
2026-08-27 16:10:37 |   Val AUC improved to 0.9091, model saved
2026-08-27 16:10:37 | Epoch   2/100 | Train Loss 1.9053 Acc 0.4618 | Val Loss 1.7937 Acc 0.3026 AUC 0.8800 Pre 0.0432 Rec 0.1429
2026-08-27 16:10:37 | Epoch   3/100 | Train Loss 1.7889 Acc 0.3017 | Val Loss 1.6930 Acc 0.3026 AUC 0.8400 Pre 0.0432 Rec 0.1429
2026-08-27 16:10:37 | Epoch   4/100 | Train Loss 1.6884 Acc 0.3017 | Val Loss 1.5509 Acc 0.3100 AUC 0.9059 Pre 0.1864 Rec 0.1497
2026-08-27 16:10:37 | Epoch   5/100 | Train Loss 1.5346 Acc 0.3091 | Val Loss 1.3737 Acc 0.5074 AUC 0.9416 Pre 0.4608 Rec 0.3328
2026-08-27 16:10:37 |   Val AUC improved to 0.9416, model saved
2026-08-27 16:10:37 | Epoch   6/100 | Train Loss 1.3424 Acc 0.5406 | Val Loss 1.1924 Acc 0.6845 AUC 0.9543 Pre 0.5426 Rec 0.5275
2026-08-27 16:10:37 |   Val AUC improved to 0.9543, model saved
2026-08-27 16:10:37 | Epoch   7/100 | Train Loss 1.1474 Acc 0.7161 | Val Loss 1.0021 Acc 0.7306 AUC 0.9607 Pre 0.5329 Rec 0.5838
2026-08-27 16:10:38 |   Val AUC improved to 0.9607, model saved
2026-08-27 16:10:38 | Epoch   8/100 | Train Loss 0.9444 Acc 0.7549 | Val Loss 0.8386 Acc 0.7565 AUC 0.9625 Pre 0.6884 Rec 0.6154
2026-08-27 16:10:38 |   Val AUC improved to 0.9625, model saved
2026-08-27 16:10:38 | Epoch   9/100 | Train Loss 0.7670 Acc 0.7722 | Val Loss 0.7246 Acc 0.7546 AUC 0.9643 Pre 0.6816 Rec 0.6188
2026-08-27 16:10:38 |   Val AUC improved to 0.9643, model saved
2026-08-27 16:10:38 | Epoch  10/100 | Train Loss 0.6282 Acc 0.7857 | Val Loss 0.6423 Acc 0.7860 AUC 0.9671 Pre 0.8395 Rec 0.6689
2026-08-27 16:10:39 |   Val AUC improved to 0.9671, model saved
2026-08-27 16:10:39 | Epoch  11/100 | Train Loss 0.5225 Acc 0.8079 | Val Loss 0.5871 Acc 0.8007 AUC 0.9700 Pre 0.8469 Rec 0.7012
2026-08-27 16:10:39 |   Val AUC improved to 0.9700, model saved
2026-08-27 16:10:39 | Epoch  12/100 | Train Loss 0.4396 Acc 0.8368 | Val Loss 0.5538 Acc 0.8210 AUC 0.9723 Pre 0.8487 Rec 0.7505
2026-08-27 16:10:39 |   Val AUC improved to 0.9723, model saved
