2026-08-27 16:10:46 | Device: cuda
2026-08-27 16:10:46 | Args: {'model': 'dvcca', 'backbone': 'gnn', 'task': 'cora', 'epochs': 100, 'batch_size': 512, 'lr': 0.01, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'max_len': 250, 'random_labels': False, 'beta': 0.01, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/cora_gnn_dvcca/cora_gnn_dvcca.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results/cora_gnn_dvcca_beta_0.01/train.log', 'no_save': True}
2026-08-27 16:10:57 | Cora 划分（60/20/20 分层）：train 1624 / val 542 / test 542（共 2708 节点，7 类）
2026-08-27 16:10:58 | ===== Run 1/5 (seed 0) =====
2026-08-27 16:11:00 | Epoch   1/100 | Train Loss 2.0916 Acc 0.1478 | Val Loss 1.8965 Acc 0.3026 AUC 0.9178 Pre 0.0432 Rec 0.1429
2026-08-27 16:11:01 |   Val AUC improved to 0.9178, model saved
2026-08-27 16:11:01 | Epoch   2/100 | Train Loss 2.0071 Acc 0.1878 | Val Loss 1.7954 Acc 0.3026 AUC 0.8099 Pre 0.0432 Rec 0.1429
2026-08-27 16:11:01 | Epoch   3/100 | Train Loss 1.9170 Acc 0.2863 | Val Loss 1.6953 Acc 0.3026 AUC 0.8771 Pre 0.0432 Rec 0.1429
2026-08-27 16:11:01 | Epoch   4/100 | Train Loss 1.7691 Acc 0.3381 | Val Loss 1.5477 Acc 0.4908 AUC 0.9339 Pre 0.3219 Rec 0.3157
2026-08-27 16:11:01 |   Val AUC improved to 0.9339, model saved
2026-08-27 16:11:01 | Epoch   5/100 | Train Loss 1.6432 Acc 0.4046 | Val Loss 1.3490 Acc 0.6015 AUC 0.9380 Pre 0.5047 Rec 0.4348
2026-08-27 16:11:02 |   Val AUC improved to 0.9380, model saved
2026-08-27 16:11:02 | Epoch   6/100 | Train Loss 1.4007 Acc 0.5603 | Val Loss 1.1882 Acc 0.6679 AUC 0.9409 Pre 0.4929 Rec 0.5157
2026-08-27 16:11:02 |   Val AUC improved to 0.9409, model saved
2026-08-27 16:11:02 | Epoch   7/100 | Train Loss 1.1991 Acc 0.6398 | Val Loss 1.0649 Acc 0.7325 AUC 0.9502 Pre 0.6538 Rec 0.5992
2026-08-27 16:11:02 |   Val AUC improved to 0.9502, model saved
2026-08-27 16:11:02 | Epoch   8/100 | Train Loss 1.0876 Acc 0.7069 | Val Loss 1.0124 Acc 0.7491 AUC 0.9631 Pre 0.5381 Rec 0.6216
2026-08-27 16:11:03 |   Val AUC improved to 0.9631, model saved
2026-08-27 16:11:03 | Epoch   9/100 | Train Loss 1.0229 Acc 0.7611 | Val Loss 0.9868 Acc 0.7491 AUC 0.9637 Pre 0.5402 Rec 0.6215
2026-08-27 16:11:03 |   Val AUC improved to 0.9637, model saved
2026-08-27 16:11:03 | Epoch  10/100 | Train Loss 0.9483 Acc 0.7851 | Val Loss 0.9276 Acc 0.7546 AUC 0.9644 Pre 0.5325 Rec 0.6280
2026-08-27 16:11:03 |   Val AUC improved to 0.9644, model saved
2026-08-27 16:11:04 | Epoch  11/100 | Train Loss 0.8756 Acc 0.7993 | Val Loss 0.8598 Acc 0.7952 AUC 0.9629 Pre 0.8389 Rec 0.6840
2026-08-27 16:11:04 | Epoch  12/100 | Train Loss 0.7798 Acc 0.8097 | Val Loss 0.7918 Acc 0.8192 AUC 0.9633 Pre 0.8403 Rec 0.7415
