2026-08-27 16:13:34 | Device: cuda
2026-08-27 16:13:34 | Args: {'model': 'fgib', 'backbone': 'gnn', 'task': 'cora', 'epochs': 100, 'batch_size': 512, 'lr': 0.01, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 16.0, 'max_len': 250, 'random_labels': False, 'beta': 0.001, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/cora_gnn_fgib/cora_gnn_fgib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results/cora_gnn_fgib_beta_0.001_anchor_16/train.log', 'no_save': True}
2026-08-27 16:13:46 | Cora 划分（60/20/20 分层）：train 1624 / val 542 / test 542（共 2708 节点，7 类）
2026-08-27 16:13:47 | ===== Run 1/5 (seed 0) =====
2026-08-27 16:13:50 | Epoch   1/100 | Train Loss 2.0827 Acc 0.1096 | Val Loss 2.0340 Acc 0.4483 AUC 0.9091 Pre 0.2547 Rec 0.2838
2026-08-27 16:13:51 |   Val AUC improved to 0.9091, model saved
2026-08-27 16:13:51 | Epoch   2/100 | Train Loss 2.0324 Acc 0.4594 | Val Loss 1.9127 Acc 0.3026 AUC 0.8792 Pre 0.0432 Rec 0.1429
2026-08-27 16:13:51 | Epoch   3/100 | Train Loss 1.9079 Acc 0.3017 | Val Loss 1.8063 Acc 0.3026 AUC 0.8355 Pre 0.0432 Rec 0.1429
2026-08-27 16:13:51 | Epoch   4/100 | Train Loss 1.8022 Acc 0.3017 | Val Loss 1.6583 Acc 0.3100 AUC 0.9054 Pre 0.1864 Rec 0.1497
2026-08-27 16:13:51 | Epoch   5/100 | Train Loss 1.6425 Acc 0.3091 | Val Loss 1.4789 Acc 0.5055 AUC 0.9415 Pre 0.4581 Rec 0.3320
2026-08-27 16:13:51 |   Val AUC improved to 0.9415, model saved
2026-08-27 16:13:51 | Epoch   6/100 | Train Loss 1.4476 Acc 0.5419 | Val Loss 1.2946 Acc 0.6827 AUC 0.9541 Pre 0.5498 Rec 0.5255
2026-08-27 16:13:52 |   Val AUC improved to 0.9541, model saved
2026-08-27 16:13:52 | Epoch   7/100 | Train Loss 1.2488 Acc 0.7118 | Val Loss 1.0981 Acc 0.7306 AUC 0.9607 Pre 0.5327 Rec 0.5831
2026-08-27 16:13:52 |   Val AUC improved to 0.9607, model saved
2026-08-27 16:13:52 | Epoch   8/100 | Train Loss 1.0390 Acc 0.7537 | Val Loss 0.9287 Acc 0.7565 AUC 0.9625 Pre 0.5446 Rec 0.6153
2026-08-27 16:13:53 |   Val AUC improved to 0.9625, model saved
2026-08-27 16:13:53 | Epoch   9/100 | Train Loss 0.8556 Acc 0.7722 | Val Loss 0.8091 Acc 0.7565 AUC 0.9646 Pre 0.6827 Rec 0.6205
2026-08-27 16:13:53 |   Val AUC improved to 0.9646, model saved
2026-08-27 16:13:53 | Epoch  10/100 | Train Loss 0.7121 Acc 0.7888 | Val Loss 0.7214 Acc 0.7878 AUC 0.9674 Pre 0.8387 Rec 0.6700
2026-08-27 16:13:54 |   Val AUC improved to 0.9674, model saved
2026-08-27 16:13:54 | Epoch  11/100 | Train Loss 0.6029 Acc 0.8030 | Val Loss 0.6643 Acc 0.7934 AUC 0.9701 Pre 0.8397 Rec 0.6977
2026-08-27 16:13:55 |   Val AUC improved to 0.9701, model saved
2026-08-27 16:13:55 | Epoch  12/100 | Train Loss 0.5201 Acc 0.8374 | Val Loss 0.6306 Acc 0.8247 AUC 0.9720 Pre 0.8447 Rec 0.7574
2026-08-27 16:13:55 |   Val AUC improved to 0.9720, model saved
2026-08-27 16:13:55 | Epoch  13/100 | Train Loss 0.4513 Acc 0.8904 | Val Loss 0.6063 Acc 0.8579 AUC 0.9733 Pre 0.8434 Rec 0.8297
2026-08-27 16:13:56 |   Val AUC improved to 0.9733, model saved
2026-08-27 16:13:56 | Epoch  14/100 | Train Loss 0.3865 Acc 0.9181 | Val Loss 0.6041 Acc 0.8616 AUC 0.9741 Pre 0.8340 Rec 0.8445
2026-08-27 16:13:56 |   Val AUC improved to 0.9741, model saved
