2026-08-27 16:10:22 | Device: cuda
2026-08-27 16:10:22 | Args: {'model': 'nib', 'backbone': 'gnn', 'task': 'cora', 'epochs': 100, 'batch_size': 512, 'lr': 0.01, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'max_len': 250, 'random_labels': False, 'beta': 1.0, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/cora_gnn_nib/cora_gnn_nib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results/cora_gnn_nib_beta_1/train.log', 'no_save': True}
2026-08-27 16:10:26 | Cora 划分（60/20/20 分层）：train 1624 / val 542 / test 542（共 2708 节点，7 类）
2026-08-27 16:10:28 | ===== Run 1/5 (seed 0) =====
2026-08-27 16:10:31 | Epoch   1/100 | Train Loss 9.4890 Acc 0.1453 | Val Loss 1.9011 Acc 0.3026 AUC 0.9028 Pre 0.0432 Rec 0.1429
2026-08-27 16:10:32 |   Val AUC improved to 0.9028, model saved
2026-08-27 16:10:32 | Epoch   2/100 | Train Loss 9.3950 Acc 0.1767 | Val Loss 1.9825 Acc 0.3026 AUC 0.7954 Pre 0.0432 Rec 0.1429
2026-08-27 16:10:32 | Epoch   3/100 | Train Loss 9.2852 Acc 0.2814 | Val Loss 2.5879 Acc 0.3026 AUC 0.8361 Pre 0.0432 Rec 0.1429
2026-08-27 16:10:32 | Epoch   4/100 | Train Loss 9.1400 Acc 0.3257 | Val Loss 2.9787 Acc 0.5535 AUC 0.9227 Pre 0.3144 Rec 0.3753
2026-08-27 16:10:32 |   Val AUC improved to 0.9227, model saved
2026-08-27 16:10:32 | Epoch   5/100 | Train Loss 9.0175 Acc 0.4027 | Val Loss 3.5403 Acc 0.5738 AUC 0.9369 Pre 0.4980 Rec 0.3978
2026-08-27 16:10:32 |   Val AUC improved to 0.9369, model saved
2026-08-27 16:10:32 | Epoch   6/100 | Train Loss 8.7501 Acc 0.5462 | Val Loss 4.2531 Acc 0.6218 AUC 0.9288 Pre 0.4655 Rec 0.4627
2026-08-27 16:10:32 | Epoch   7/100 | Train Loss 8.4599 Acc 0.6133 | Val Loss 4.8880 Acc 0.7030 AUC 0.9415 Pre 0.4903 Rec 0.5556
2026-08-27 16:10:32 |   Val AUC improved to 0.9415, model saved
2026-08-27 16:10:32 | Epoch   8/100 | Train Loss 8.2436 Acc 0.6878 | Val Loss 5.4946 Acc 0.7306 AUC 0.9532 Pre 0.5231 Rec 0.5995
2026-08-27 16:10:32 |   Val AUC improved to 0.9532, model saved
2026-08-27 16:10:33 | Epoch   9/100 | Train Loss 8.1433 Acc 0.7352 | Val Loss 6.0050 Acc 0.7362 AUC 0.9600 Pre 0.5262 Rec 0.6085
2026-08-27 16:10:33 |   Val AUC improved to 0.9600, model saved
2026-08-27 16:10:33 | Epoch  10/100 | Train Loss 7.9958 Acc 0.7783 | Val Loss 6.4819 Acc 0.7583 AUC 0.9570 Pre 0.6868 Rec 0.6312
2026-08-27 16:10:33 | Epoch  11/100 | Train Loss 7.9550 Acc 0.7919 | Val Loss 6.6509 Acc 0.8007 AUC 0.9635 Pre 0.8070 Rec 0.7101
2026-08-27 16:10:33 |   Val AUC improved to 0.9635, model saved
2026-08-27 16:10:33 | Epoch  12/100 | Train Loss 7.8606 Acc 0.8479 | Val Loss 6.7810 Acc 0.8137 AUC 0.9677 Pre 0.7641 Rec 0.7693
2026-08-27 16:10:33 |   Val AUC improved to 0.9677, model saved
2026-08-27 16:10:33 | Epoch  13/100 | Train Loss 7.8090 Acc 0.8534 | Val Loss 6.8903 Acc 0.8432 AUC 0.9694 Pre 0.8124 Rec 0.8259
2026-08-27 16:10:33 |   Val AUC improved to 0.9694, model saved
2026-08-27 16:10:33 | Epoch  14/100 | Train Loss 7.7386 Acc 0.8861 | Val Loss 6.9791 Acc 0.8708 AUC 0.9689 Pre 0.8515 Rec 0.8507
2026-08-27 16:10:33 | Epoch  15/100 | Train Loss 7.6760 Acc 0.9039 | Val Loss 7.0943 Acc 0.8708 AUC 0.9688 Pre 0.8577 Rec 0.8541
2026-08-27 16:10:34 | Epoch  16/100 | Train Loss 7.6519 Acc 0.9218 | Val Loss 7.1388 Acc 0.8598 AUC 0.9693 Pre 0.8391 Rec 0.8474
2026-08-27 16:10:34 | Epoch  17/100 | Train Loss 7.5958 Acc 0.9335 | Val Loss 7.2469 Acc 0.8450 AUC 0.9691 Pre 0.8304 Rec 0.8269
2026-08-27 16:10:34 | Epoch  18/100 | Train Loss 7.6075 Acc 0.9317 | Val Loss 7.3293 Acc 0.8506 AUC 0.9688 Pre 0.8387 Rec 0.8327
2026-08-27 16:10:34 | Epoch  19/100 | Train Loss 7.5652 Acc 0.9433 | Val Loss 7.3801 Acc 0.8598 AUC 0.9684 Pre 0.8439 Rec 0.8463
2026-08-27 16:10:34 | Epoch  20/100 | Train Loss 7.5417 Acc 0.9507 | Val Loss 7.4425 Acc 0.8542 AUC 0.9680 Pre 0.8392 Rec 0.8420
2026-08-27 16:10:34 | Epoch  21/100 | Train Loss 7.5402 Acc 0.9514 | Val Loss 7.4959 Acc 0.8579 AUC 0.9679 Pre 0.8440 Rec 0.8361
2026-08-27 16:10:34 | Epoch  22/100 | Train Loss 7.5117 Acc 0.9618 | Val Loss 7.5986 Acc 0.8506 AUC 0.9673 Pre 0.8446 Rec 0.8263
2026-08-27 16:10:34 | Epoch  23/100 | Train Loss 7.5087 Acc 0.9569 | Val Loss 7.6268 Acc 0.8579 AUC 0.9673 Pre 0.8434 Rec 0.8410
2026-08-27 16:10:34 | Val AUC did not improve for 10 consecutive epochs, early stopping at Epoch 23 (best AUC 0.9694 @ Epoch 13)
2026-08-27 16:10:34 | Run 1/5 | Test (best model @ Epoch 13) | Loss 6.8567 Acc 0.8542 AUC 0.9745 Pre 0.8315 Rec 0.8534
2026-08-27 16:10:34 | ===== Run 2/5 (seed 1) =====
2026-08-27 16:10:34 | Epoch   1/100 | Train Loss 9.4720 Acc 0.1466 | Val Loss 1.8868 Acc 0.3026 AUC 0.8998 Pre 0.0432 Rec 0.1429
2026-08-27 16:10:34 |   Val AUC improved to 0.8998, model saved
2026-08-27 16:10:34 | Epoch   2/100 | Train Loss 9.3917 Acc 0.1940 | Val Loss 1.9597 Acc 0.3026 AUC 0.8221 Pre 0.0432 Rec 0.1429
