2026-09-02 01:59:55 | Device: cuda
2026-09-02 01:59:55 | Args: {'model': 'opb', 'backbone': 'gnn', 'task': 'cora', 'epochs': 100, 'batch_size': 512, 'lr': 0.01, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'energy_classifier': False, 'max_len': 250, 'random_labels': False, 'beta': 0.0001, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/cora_gnn_opb/cora_gnn_opb.pt', 'log_path': '/root/autodl-tmp/IB/tune_results/cora_gnn_opb_beta_0.0001_anchor_4/train.log', 'no_save': True}
2026-09-02 01:59:58 | Cora 划分（60/20/20 分层）：train 1624 / val 542 / test 542（共 2708 节点，7 类）
2026-09-02 01:59:58 | ===== Run 1/5 (seed 0) =====
2026-09-02 01:59:59 | Epoch   1/100 | Train Loss 2.0900 Acc 0.1478 | Val Loss 1.8946 Acc 0.3026 AUC 0.9160 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:59 |   Val AUC improved to 0.9160, model saved
2026-09-02 02:00:00 | Epoch   2/100 | Train Loss 2.0035 Acc 0.1860 | Val Loss 1.7724 Acc 0.3026 AUC 0.8009 Pre 0.0432 Rec 0.1429
2026-09-02 02:00:00 | Epoch   3/100 | Train Loss 1.8848 Acc 0.2882 | Val Loss 1.6776 Acc 0.3026 AUC 0.8216 Pre 0.0432 Rec 0.1429
2026-09-02 02:00:00 | Epoch   4/100 | Train Loss 1.7539 Acc 0.3239 | Val Loss 1.5621 Acc 0.5406 AUC 0.9230 Pre 0.3022 Rec 0.3636
2026-09-02 02:00:00 |   Val AUC improved to 0.9230, model saved
2026-09-02 02:00:00 | Epoch   5/100 | Train Loss 1.6317 Acc 0.4083 | Val Loss 1.3532 Acc 0.5701 AUC 0.9375 Pre 0.3879 Rec 0.3931
2026-09-02 02:00:00 |   Val AUC improved to 0.9375, model saved
2026-09-02 02:00:00 | Epoch   6/100 | Train Loss 1.3959 Acc 0.5419 | Val Loss 1.1196 Acc 0.5959 AUC 0.9333 Pre 0.4827 Rec 0.4373
2026-09-02 02:00:00 | Epoch   7/100 | Train Loss 1.1375 Acc 0.5794 | Val Loss 0.9265 Acc 0.6605 AUC 0.9425 Pre 0.4772 Rec 0.5073
2026-09-02 02:00:00 |   Val AUC improved to 0.9425, model saved
2026-09-02 02:00:00 | Epoch   8/100 | Train Loss 0.9091 Acc 0.6755 | Val Loss 0.7494 Acc 0.7435 AUC 0.9579 Pre 0.6712 Rec 0.6113
2026-09-02 02:00:00 |   Val AUC improved to 0.9579, model saved
2026-09-02 02:00:00 | Epoch   9/100 | Train Loss 0.7455 Acc 0.7475 | Val Loss 0.7040 Acc 0.7491 AUC 0.9622 Pre 0.6768 Rec 0.6266
2026-09-02 02:00:00 |   Val AUC improved to 0.9622, model saved
2026-09-02 02:00:00 | Epoch  10/100 | Train Loss 0.6300 Acc 0.7783 | Val Loss 0.7505 Acc 0.7601 AUC 0.9609 Pre 0.6881 Rec 0.6475
2026-09-02 02:00:00 | Epoch  11/100 | Train Loss 0.6104 Acc 0.7796 | Val Loss 0.7147 Acc 0.8118 AUC 0.9656 Pre 0.6699 Rec 0.7339
2026-09-02 02:00:00 |   Val AUC improved to 0.9656, model saved
2026-09-02 02:00:00 | Epoch  12/100 | Train Loss 0.5170 Acc 0.8270 | Val Loss 0.7401 Acc 0.8635 AUC 0.9627 Pre 0.8323 Rec 0.8287
2026-09-02 02:00:00 | Epoch  13/100 | Train Loss 0.4719 Acc 0.8510 | Val Loss 0.7980 Acc 0.8395 AUC 0.9616 Pre 0.8280 Rec 0.7863
2026-09-02 02:00:00 | Epoch  14/100 | Train Loss 0.4233 Acc 0.8633 | Val Loss 0.8108 Acc 0.8598 AUC 0.9653 Pre 0.8349 Rec 0.8256
2026-09-02 02:00:00 | Epoch  15/100 | Train Loss 0.3377 Acc 0.9027 | Val Loss 0.8629 Acc 0.8579 AUC 0.9665 Pre 0.8354 Rec 0.8331
2026-09-02 02:00:00 |   Val AUC improved to 0.9665, model saved
2026-09-02 02:00:00 | Epoch  16/100 | Train Loss 0.3153 Acc 0.9175 | Val Loss 0.9181 Acc 0.8524 AUC 0.9664 Pre 0.8306 Rec 0.8329
2026-09-02 02:00:00 | Epoch  17/100 | Train Loss 0.2612 Acc 0.9286 | Val Loss 0.9734 Acc 0.8469 AUC 0.9662 Pre 0.8304 Rec 0.8293
2026-09-02 02:00:00 | Epoch  18/100 | Train Loss 0.2253 Acc 0.9347 | Val Loss 1.0511 Acc 0.8579 AUC 0.9661 Pre 0.8494 Rec 0.8387
2026-09-02 02:00:00 | Epoch  19/100 | Train Loss 0.2065 Acc 0.9470 | Val Loss 1.0858 Acc 0.8542 AUC 0.9663 Pre 0.8385 Rec 0.8431
2026-09-02 02:00:00 | Epoch  20/100 | Train Loss 0.1896 Acc 0.9495 | Val Loss 1.0911 Acc 0.8450 AUC 0.9669 Pre 0.8286 Rec 0.8340
2026-09-02 02:00:00 |   Val AUC improved to 0.9669, model saved
2026-09-02 02:00:00 | Epoch  21/100 | Train Loss 0.1739 Acc 0.9612 | Val Loss 1.1163 Acc 0.8450 AUC 0.9665 Pre 0.8239 Rec 0.8360
2026-09-02 02:00:00 | Epoch  22/100 | Train Loss 0.1652 Acc 0.9594 | Val Loss 1.1402 Acc 0.8469 AUC 0.9661 Pre 0.8305 Rec 0.8338
2026-09-02 02:00:00 | Epoch  23/100 | Train Loss 0.1508 Acc 0.9631 | Val Loss 1.1628 Acc 0.8561 AUC 0.9661 Pre 0.8376 Rec 0.8487
2026-09-02 02:00:00 | Epoch  24/100 | Train Loss 0.1332 Acc 0.9692 | Val Loss 1.1935 Acc 0.8542 AUC 0.9660 Pre 0.8338 Rec 0.8478
2026-09-02 02:00:00 | Epoch  25/100 | Train Loss 0.1245 Acc 0.9748 | Val Loss 1.2020 Acc 0.8579 AUC 0.9657 Pre 0.8382 Rec 0.8465
2026-09-02 02:00:00 | Epoch  26/100 | Train Loss 0.1114 Acc 0.9748 | Val Loss 1.2098 Acc 0.8506 AUC 0.9654 Pre 0.8334 Rec 0.8371
2026-09-02 02:00:00 | Epoch  27/100 | Train Loss 0.1037 Acc 0.9791 | Val Loss 1.1982 Acc 0.8487 AUC 0.9652 Pre 0.8270 Rec 0.8333
2026-09-02 02:00:00 | Epoch  28/100 | Train Loss 0.0971 Acc 0.9766 | Val Loss 1.2164 Acc 0.8469 AUC 0.9647 Pre 0.8237 Rec 0.8321
2026-09-02 02:00:00 | Epoch  29/100 | Train Loss 0.0929 Acc 0.9748 | Val Loss 1.2420 Acc 0.8450 AUC 0.9639 Pre 0.8251 Rec 0.8253
2026-09-02 02:00:00 | Epoch  30/100 | Train Loss 0.0839 Acc 0.9821 | Val Loss 1.2619 Acc 0.8469 AUC 0.9634 Pre 0.8290 Rec 0.8277
2026-09-02 02:00:00 | Val AUC did not improve for 10 consecutive epochs, early stopping at Epoch 30 (best AUC 0.9669 @ Epoch 20)
2026-09-02 02:00:00 | Run 1/5 | Test (best model @ Epoch 20) | Loss 0.9326 Acc 0.8653 AUC 0.9736 Pre 0.8499 Rec 0.8687
2026-09-02 02:00:00 | ===== Run 2/5 (seed 1) =====
2026-09-02 02:00:00 | Epoch   1/100 | Train Loss 2.0862 Acc 0.1558 | Val Loss 1.8941 Acc 0.3026 AUC 0.8889 Pre 0.0432 Rec 0.1429
2026-09-02 02:00:00 |   Val AUC improved to 0.8889, model saved
2026-09-02 02:00:00 | Epoch   2/100 | Train Loss 2.0113 Acc 0.1817 | Val Loss 1.7753 Acc 0.3026 AUC 0.7733 Pre 0.0432 Rec 0.1429
2026-09-02 02:00:01 | Epoch   3/100 | Train Loss 1.8798 Acc 0.2919 | Val Loss 1.6661 Acc 0.3026 AUC 0.8321 Pre 0.0432 Rec 0.1429
2026-09-02 02:00:01 | Epoch   4/100 | Train Loss 1.7328 Acc 0.3337 | Val Loss 1.5417 Acc 0.5166 AUC 0.9153 Pre 0.2827 Rec 0.3444
2026-09-02 02:00:01 |   Val AUC improved to 0.9153, model saved
2026-09-02 02:00:01 | Epoch   5/100 | Train Loss 1.6089 Acc 0.4200 | Val Loss 1.2989 Acc 0.5664 AUC 0.9309 Pre 0.2438 Rec 0.3871
2026-09-02 02:00:01 |   Val AUC improved to 0.9309, model saved
2026-09-02 02:00:01 | Epoch   6/100 | Train Loss 1.3435 Acc 0.5573 | Val Loss 1.0915 Acc 0.5554 AUC 0.9292 Pre 0.2297 Rec 0.3763
2026-09-02 02:00:01 | Epoch   7/100 | Train Loss 1.0851 Acc 0.5948 | Val Loss 0.9150 Acc 0.5923 AUC 0.9452 Pre 0.3914 Rec 0.4197
2026-09-02 02:00:01 |   Val AUC improved to 0.9452, model saved
2026-09-02 02:00:01 | Epoch   8/100 | Train Loss 0.8938 Acc 0.6336 | Val Loss 0.7969 Acc 0.7325 AUC 0.9499 Pre 0.6323 Rec 0.6203
2026-09-02 02:00:01 |   Val AUC improved to 0.9499, model saved
2026-09-02 02:00:01 | Epoch   9/100 | Train Loss 0.7345 Acc 0.7229 | Val Loss 0.8072 Acc 0.7528 AUC 0.9509 Pre 0.6554 Rec 0.6743
2026-09-02 02:00:01 |   Val AUC improved to 0.9509, model saved
2026-09-02 02:00:01 | Epoch  10/100 | Train Loss 0.6797 Acc 0.7506 | Val Loss 0.7448 Acc 0.7528 AUC 0.9606 Pre 0.6243 Rec 0.6261
2026-09-02 02:00:01 |   Val AUC improved to 0.9606, model saved
2026-09-02 02:00:01 | Epoch  11/100 | Train Loss 0.5498 Acc 0.7962 | Val Loss 0.7828 Acc 0.8081 AUC 0.9597 Pre 0.7748 Rec 0.7493
2026-09-02 02:00:01 | Epoch  12/100 | Train Loss 0.4838 Acc 0.8399 | Val Loss 0.8348 Acc 0.8598 AUC 0.9599 Pre 0.8348 Rec 0.8360
2026-09-02 02:00:01 | Epoch  13/100 | Train Loss 0.4174 Acc 0.8750 | Val Loss 0.9150 Acc 0.8561 AUC 0.9618 Pre 0.8334 Rec 0.8328
2026-09-02 02:00:01 |   Val AUC improved to 0.9618, model saved
2026-09-02 02:00:01 | Epoch  14/100 | Train Loss 0.3517 Acc 0.9076 | Val Loss 0.9996 Acc 0.8542 AUC 0.9646 Pre 0.8310 Rec 0.8372
2026-09-02 02:00:01 |   Val AUC improved to 0.9646, model saved
2026-09-02 02:00:01 | Epoch  15/100 | Train Loss 0.3022 Acc 0.9280 | Val Loss 1.1049 Acc 0.8339 AUC 0.9652 Pre 0.8121 Rec 0.8196
2026-09-02 02:00:01 |   Val AUC improved to 0.9652, model saved
2026-09-02 02:00:01 | Epoch  16/100 | Train Loss 0.2920 Acc 0.9280 | Val Loss 1.1695 Acc 0.8450 AUC 0.9655 Pre 0.8265 Rec 0.8331
2026-09-02 02:00:01 |   Val AUC improved to 0.9655, model saved
2026-09-02 02:00:01 | Epoch  17/100 | Train Loss 0.2496 Acc 0.9378 | Val Loss 1.2126 Acc 0.8506 AUC 0.9653 Pre 0.8348 Rec 0.8317
2026-09-02 02:00:01 | Epoch  18/100 | Train Loss 0.2193 Acc 0.9514 | Val Loss 1.2507 Acc 0.8561 AUC 0.9651 Pre 0.8448 Rec 0.8386
2026-09-02 02:00:01 | Epoch  19/100 | Train Loss 0.2074 Acc 0.9538 | Val Loss 1.2836 Acc 0.8432 AUC 0.9649 Pre 0.8309 Rec 0.8300
2026-09-02 02:00:01 | Epoch  20/100 | Train Loss 0.1900 Acc 0.9631 | Val Loss 1.3101 Acc 0.8524 AUC 0.9651 Pre 0.8393 Rec 0.8429
2026-09-02 02:00:01 | Epoch  21/100 | Train Loss 0.1773 Acc 0.9606 | Val Loss 1.3137 Acc 0.8487 AUC 0.9655 Pre 0.8357 Rec 0.8351
2026-09-02 02:00:01 | Epoch  22/100 | Train Loss 0.1544 Acc 0.9661 | Val Loss 1.3299 Acc 0.8469 AUC 0.9655 Pre 0.8369 Rec 0.8310
2026-09-02 02:00:01 | Epoch  23/100 | Train Loss 0.1410 Acc 0.9680 | Val Loss 1.3332 Acc 0.8579 AUC 0.9654 Pre 0.8473 Rec 0.8465
2026-09-02 02:00:01 | Epoch  24/100 | Train Loss 0.1283 Acc 0.9711 | Val Loss 1.3290 Acc 0.8487 AUC 0.9649 Pre 0.8376 Rec 0.8359
2026-09-02 02:00:01 | Epoch  25/100 | Train Loss 0.1237 Acc 0.9717 | Val Loss 1.3499 Acc 0.8395 AUC 0.9646 Pre 0.8287 Rec 0.8260
2026-09-02 02:00:01 | Epoch  26/100 | Train Loss 0.1144 Acc 0.9711 | Val Loss 1.3494 Acc 0.8487 AUC 0.9647 Pre 0.8297 Rec 0.8382
2026-09-02 02:00:01 | Val AUC did not improve for 10 consecutive epochs, early stopping at Epoch 26 (best AUC 0.9655 @ Epoch 16)
