2026-09-03 00:51:14 | Device: cuda
2026-09-03 00:51:14 | Args: {'model': 'opb', 'backbone': 'gnn', 'task': 'cora', 'epochs': 100, 'batch_size': 512, 'lr': 0.01, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'energy_classifier': True, 'tied_head': False, 'max_len': 250, 'random_labels': False, 'beta': 0.1, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/cora_gnn_opb/cora_gnn_opb.pt', 'log_path': '/root/autodl-tmp/IB/tune_results/cora_gnn_opb_beta_0.1_anchor_4/train.log', 'no_save': True}
2026-09-03 00:51:17 | Cora 划分（60/20/20 分层）：train 1624 / val 542 / test 542（共 2708 节点，7 类）
2026-09-03 00:51:18 | ===== Run 1/5 (seed 0) =====
2026-09-03 00:51:18 | Epoch   1/100 | Train Loss 6.5530 Acc 0.1379 | Val Loss 2.5431 Acc 0.3026 AUC 0.9067 Pre 0.0432 Rec 0.1429
2026-09-03 00:51:18 |   Val AUC improved to 0.9067, model saved
2026-09-03 00:51:19 | Epoch   2/100 | Train Loss 6.1986 Acc 0.1780 | Val Loss 2.4733 Acc 0.3026 AUC 0.8571 Pre 0.0432 Rec 0.1429
2026-09-03 00:51:19 | Epoch   3/100 | Train Loss 5.7508 Acc 0.2611 | Val Loss 2.1564 Acc 0.6458 AUC 0.9564 Pre 0.5198 Rec 0.5195
2026-09-03 00:51:19 |   Val AUC improved to 0.9564, model saved
2026-09-03 00:51:19 | Epoch   4/100 | Train Loss 5.1131 Acc 0.2235 | Val Loss 1.7181 Acc 0.7306 AUC 0.9693 Pre 0.5270 Rec 0.5973
2026-09-03 00:51:19 |   Val AUC improved to 0.9693, model saved
2026-09-03 00:51:19 | Epoch   5/100 | Train Loss 4.1579 Acc 0.3374 | Val Loss 1.5573 Acc 0.6790 AUC 0.9623 Pre 0.5380 Rec 0.5286
2026-09-03 00:51:19 | Epoch   6/100 | Train Loss 3.2330 Acc 0.5160 | Val Loss 1.5062 Acc 0.7565 AUC 0.9653 Pre 0.8290 Rec 0.6329
2026-09-03 00:51:19 | Epoch   7/100 | Train Loss 2.3573 Acc 0.6521 | Val Loss 1.7943 Acc 0.8137 AUC 0.9675 Pre 0.8458 Rec 0.7394
2026-09-03 00:51:19 | Epoch   8/100 | Train Loss 2.1964 Acc 0.7291 | Val Loss 1.9259 Acc 0.8247 AUC 0.9702 Pre 0.8475 Rec 0.7682
2026-09-03 00:51:19 |   Val AUC improved to 0.9702, model saved
2026-09-03 00:51:19 | Epoch   9/100 | Train Loss 2.1351 Acc 0.7833 | Val Loss 1.7940 Acc 0.8506 AUC 0.9727 Pre 0.8365 Rec 0.8211
2026-09-03 00:51:19 |   Val AUC improved to 0.9727, model saved
2026-09-03 00:51:19 | Epoch  10/100 | Train Loss 1.9006 Acc 0.8097 | Val Loss 1.6278 Acc 0.8672 AUC 0.9748 Pre 0.8580 Rec 0.8353
2026-09-03 00:51:19 |   Val AUC improved to 0.9748, model saved
2026-09-03 00:51:19 | Epoch  11/100 | Train Loss 1.6117 Acc 0.8356 | Val Loss 1.4580 Acc 0.8727 AUC 0.9750 Pre 0.8816 Rec 0.8478
2026-09-03 00:51:19 |   Val AUC improved to 0.9750, model saved
