2026-09-02 01:59:29 | Device: cuda
2026-09-02 01:59:29 | Args: {'model': 'opb', 'backbone': 'gnn', 'task': 'cora', 'epochs': 100, 'batch_size': 512, 'lr': 0.01, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'energy_classifier': False, 'max_len': 250, 'random_labels': False, 'beta': 0.01, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/cora_gnn_opb/cora_gnn_opb.pt', 'log_path': '/root/autodl-tmp/IB/tune_results/cora_gnn_opb_beta_0.01_anchor_4/train.log', 'no_save': True}
2026-09-02 01:59:31 | Cora 划分（60/20/20 分层）：train 1624 / val 542 / test 542（共 2708 节点，7 类）
2026-09-02 01:59:32 | ===== Run 1/5 (seed 0) =====
2026-09-02 01:59:32 | Epoch   1/100 | Train Loss 2.1711 Acc 0.1478 | Val Loss 1.9702 Acc 0.3026 AUC 0.9194 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:32 |   Val AUC improved to 0.9194, model saved
2026-09-02 01:59:33 | Epoch   2/100 | Train Loss 2.0791 Acc 0.1841 | Val Loss 1.8588 Acc 0.3026 AUC 0.8018 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:33 | Epoch   3/100 | Train Loss 1.9732 Acc 0.2869 | Val Loss 1.7454 Acc 0.3026 AUC 0.8649 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:33 | Epoch   4/100 | Train Loss 1.8325 Acc 0.3319 | Val Loss 1.5957 Acc 0.4779 AUC 0.9295 Pre 0.3186 Rec 0.3039
2026-09-02 01:59:33 |   Val AUC improved to 0.9295, model saved
2026-09-02 01:59:33 | Epoch   5/100 | Train Loss 1.6740 Acc 0.4286 | Val Loss 1.3960 Acc 0.5461 AUC 0.9354 Pre 0.3684 Rec 0.3723
2026-09-02 01:59:33 |   Val AUC improved to 0.9354, model saved
2026-09-02 01:59:33 | Epoch   6/100 | Train Loss 1.4453 Acc 0.5283 | Val Loss 1.2375 Acc 0.6292 AUC 0.9359 Pre 0.5052 Rec 0.4715
2026-09-02 01:59:33 |   Val AUC improved to 0.9359, model saved
2026-09-02 01:59:33 | Epoch   7/100 | Train Loss 1.2644 Acc 0.6121 | Val Loss 1.0898 Acc 0.7214 AUC 0.9478 Pre 0.6466 Rec 0.5838
2026-09-02 01:59:33 |   Val AUC improved to 0.9478, model saved
2026-09-02 01:59:33 | Epoch   8/100 | Train Loss 1.1085 Acc 0.7069 | Val Loss 1.0080 Acc 0.7565 AUC 0.9620 Pre 0.5376 Rec 0.6297
2026-09-02 01:59:33 |   Val AUC improved to 0.9620, model saved
2026-09-02 01:59:33 | Epoch   9/100 | Train Loss 1.0180 Acc 0.7611 | Val Loss 0.9818 Acc 0.7620 AUC 0.9631 Pre 0.5469 Rec 0.6289
2026-09-02 01:59:33 |   Val AUC improved to 0.9631, model saved
2026-09-02 01:59:33 | Epoch  10/100 | Train Loss 0.9349 Acc 0.7789 | Val Loss 0.9016 Acc 0.7620 AUC 0.9655 Pre 0.5383 Rec 0.6319
2026-09-02 01:59:33 |   Val AUC improved to 0.9655, model saved
2026-09-02 01:59:33 | Epoch  11/100 | Train Loss 0.8318 Acc 0.7888 | Val Loss 0.8304 Acc 0.7768 AUC 0.9653 Pre 0.7936 Rec 0.6551
2026-09-02 01:59:33 | Epoch  12/100 | Train Loss 0.7418 Acc 0.8183 | Val Loss 0.7561 Acc 0.8303 AUC 0.9649 Pre 0.8216 Rec 0.7626
2026-09-02 01:59:33 | Epoch  13/100 | Train Loss 0.6527 Acc 0.8276 | Val Loss 0.7298 Acc 0.8506 AUC 0.9640 Pre 0.8397 Rec 0.8175
2026-09-02 01:59:33 | Epoch  14/100 | Train Loss 0.6024 Acc 0.8374 | Val Loss 0.7291 Acc 0.8450 AUC 0.9622 Pre 0.8267 Rec 0.8218
2026-09-02 01:59:33 | Epoch  15/100 | Train Loss 0.5546 Acc 0.8701 | Val Loss 0.7134 Acc 0.8542 AUC 0.9614 Pre 0.8426 Rec 0.8304
2026-09-02 01:59:33 | Epoch  16/100 | Train Loss 0.5177 Acc 0.8842 | Val Loss 0.7189 Acc 0.8579 AUC 0.9610 Pre 0.8536 Rec 0.8302
2026-09-02 01:59:33 | Epoch  17/100 | Train Loss 0.4640 Acc 0.8929 | Val Loss 0.7317 Acc 0.8653 AUC 0.9616 Pre 0.8601 Rec 0.8454
2026-09-02 01:59:33 | Epoch  18/100 | Train Loss 0.4226 Acc 0.9169 | Val Loss 0.7453 Acc 0.8745 AUC 0.9616 Pre 0.8665 Rec 0.8650
2026-09-02 01:59:33 | Epoch  19/100 | Train Loss 0.3669 Acc 0.9329 | Val Loss 0.7769 Acc 0.8745 AUC 0.9615 Pre 0.8677 Rec 0.8619
2026-09-02 01:59:33 | Epoch  20/100 | Train Loss 0.3477 Acc 0.9458 | Val Loss 0.7911 Acc 0.8745 AUC 0.9618 Pre 0.8656 Rec 0.8630
2026-09-02 01:59:33 | Val AUC did not improve for 10 consecutive epochs, early stopping at Epoch 20 (best AUC 0.9655 @ Epoch 10)
2026-09-02 01:59:33 | Run 1/5 | Test (best model @ Epoch 10) | Loss 0.9324 Acc 0.7472 AUC 0.9663 Pre 0.5363 Rec 0.6258
2026-09-02 01:59:33 | ===== Run 2/5 (seed 1) =====
2026-09-02 01:59:33 | Epoch   1/100 | Train Loss 2.1666 Acc 0.1558 | Val Loss 1.9695 Acc 0.3026 AUC 0.8880 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:33 |   Val AUC improved to 0.8880, model saved
2026-09-02 01:59:33 | Epoch   2/100 | Train Loss 2.0866 Acc 0.1817 | Val Loss 1.8654 Acc 0.3026 AUC 0.7765 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:33 | Epoch   3/100 | Train Loss 1.9717 Acc 0.2937 | Val Loss 1.7395 Acc 0.3026 AUC 0.8776 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:33 | Epoch   4/100 | Train Loss 1.8177 Acc 0.3411 | Val Loss 1.5687 Acc 0.4410 AUC 0.9183 Pre 0.3154 Rec 0.2710
2026-09-02 01:59:33 |   Val AUC improved to 0.9183, model saved
2026-09-02 01:59:33 | Epoch   5/100 | Train Loss 1.6454 Acc 0.4286 | Val Loss 1.3618 Acc 0.5572 AUC 0.9274 Pre 0.2342 Rec 0.3787
2026-09-02 01:59:33 |   Val AUC improved to 0.9274, model saved
2026-09-02 01:59:33 | Epoch   6/100 | Train Loss 1.4146 Acc 0.5505 | Val Loss 1.1986 Acc 0.5812 AUC 0.9404 Pre 0.2493 Rec 0.4048
2026-09-02 01:59:33 |   Val AUC improved to 0.9404, model saved
