2026-09-02 01:58:55 | Device: cuda
2026-09-02 01:58:55 | Args: {'model': 'opb', 'backbone': 'gnn', 'task': 'cora', 'epochs': 100, 'batch_size': 512, 'lr': 0.01, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 6.0, 'energy_classifier': False, 'max_len': 250, 'random_labels': False, 'beta': 1.0, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/cora_gnn_opb/cora_gnn_opb.pt', 'log_path': '/root/autodl-tmp/IB/tune_results/cora_gnn_opb_beta_1_anchor_6/train.log', 'no_save': True}
2026-09-02 01:58:57 | Cora 划分（60/20/20 分层）：train 1624 / val 542 / test 542（共 2708 节点，7 类）
2026-09-02 01:58:58 | ===== Run 1/5 (seed 0) =====
2026-09-02 01:58:58 | Epoch   1/100 | Train Loss 20.2859 Acc 0.1478 | Val Loss 18.9374 Acc 0.3026 AUC 0.7297 Pre 0.0432 Rec 0.1429
2026-09-02 01:58:58 |   Val AUC improved to 0.7297, model saved
2026-09-02 01:58:59 | Epoch   2/100 | Train Loss 19.0414 Acc 0.1589 | Val Loss 17.2718 Acc 0.3026 AUC 0.6211 Pre 0.0432 Rec 0.1429
2026-09-02 01:58:59 | Epoch   3/100 | Train Loss 17.4633 Acc 0.1823 | Val Loss 16.1770 Acc 0.3026 AUC 0.6867 Pre 0.0432 Rec 0.1429
2026-09-02 01:58:59 | Epoch   4/100 | Train Loss 16.2806 Acc 0.2180 | Val Loss 15.4713 Acc 0.3026 AUC 0.7816 Pre 0.0432 Rec 0.1429
2026-09-02 01:58:59 |   Val AUC improved to 0.7816, model saved
2026-09-02 01:58:59 | Epoch   5/100 | Train Loss 15.6068 Acc 0.2672 | Val Loss 14.6084 Acc 0.3026 AUC 0.7858 Pre 0.0432 Rec 0.1429
2026-09-02 01:58:59 |   Val AUC improved to 0.7858, model saved
2026-09-02 01:58:59 | Epoch   6/100 | Train Loss 14.7137 Acc 0.2919 | Val Loss 13.7924 Acc 0.3026 AUC 0.8194 Pre 0.0432 Rec 0.1429
2026-09-02 01:58:59 |   Val AUC improved to 0.8194, model saved
2026-09-02 01:58:59 | Epoch   7/100 | Train Loss 13.8621 Acc 0.3153 | Val Loss 13.1942 Acc 0.3026 AUC 0.8264 Pre 0.0432 Rec 0.1429
2026-09-02 01:58:59 |   Val AUC improved to 0.8264, model saved
