2026-08-27 16:10:22 | Device: cuda
2026-08-27 16:10:22 | Args: {'model': 'svib', 'backbone': 'gnn', 'task': 'cora', 'epochs': 100, 'batch_size': 512, 'lr': 0.01, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'max_len': 250, 'random_labels': False, 'beta': 0.01, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/cora_gnn_svib/cora_gnn_svib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results/cora_gnn_svib_beta_0.01/train.log', 'no_save': True}
2026-08-27 16:10:28 | Cora 划分（60/20/20 分层）：train 1624 / val 542 / test 542（共 2708 节点，7 类）
2026-08-27 16:10:35 | ===== Run 1/5 (seed 0) =====
2026-08-27 16:10:37 | Epoch   1/100 | Train Loss 2.0895 Acc 0.1478 | Val Loss 1.8945 Acc 0.3026 AUC 0.9166 Pre 0.0432 Rec 0.1429
2026-08-27 16:10:38 |   Val AUC improved to 0.9166, model saved
2026-08-27 16:10:38 | Epoch   2/100 | Train Loss 2.0034 Acc 0.1860 | Val Loss 1.8418 Acc 0.3026 AUC 0.8037 Pre 0.0432 Rec 0.1429
2026-08-27 16:10:38 | Epoch   3/100 | Train Loss 1.9593 Acc 0.2863 | Val Loss 1.7814 Acc 0.3026 AUC 0.9433 Pre 0.0432 Rec 0.1429
2026-08-27 16:10:39 |   Val AUC improved to 0.9433, model saved
2026-08-27 16:10:39 | Epoch   4/100 | Train Loss 1.8793 Acc 0.2543 | Val Loss 1.7295 Acc 0.4151 AUC 0.9540 Pre 0.3300 Rec 0.2466
2026-08-27 16:10:39 |   Val AUC improved to 0.9540, model saved
2026-08-27 16:10:40 | Epoch   5/100 | Train Loss 1.8271 Acc 0.2980 | Val Loss 1.5883 Acc 0.4889 AUC 0.9417 Pre 0.2859 Rec 0.3141
2026-08-27 16:10:40 | Epoch   6/100 | Train Loss 1.6696 Acc 0.3990 | Val Loss 1.5172 Acc 0.5166 AUC 0.9212 Pre 0.4344 Rec 0.3436
2026-08-27 16:10:40 | Epoch   7/100 | Train Loss 1.5942 Acc 0.4938 | Val Loss 1.3953 Acc 0.5996 AUC 0.9263 Pre 0.5372 Rec 0.4369
2026-08-27 16:10:40 | Epoch   8/100 | Train Loss 1.5012 Acc 0.5437 | Val Loss 1.2668 Acc 0.7509 AUC 0.9264 Pre 0.5199 Rec 0.6151
