2026-08-29 01:56:43 | Device: cuda
2026-08-29 01:56:43 | Args: {'model': 'centfgib', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 16.0, 'max_len': 250, 'random_labels': False, 'beta': 1.0, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_centfgib/california_mlp_centfgib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results_ablation/centfgib_all/california_mlp_centfgib_beta_1_anchor_16/train.log', 'no_save': True, 'freeze_a': False, 'a_identity': False, 'cosine_classifier': False, 'log_variance_stats': False, 'subject_disjoint': False}
2026-08-29 01:56:43 | ===== Run 1/5 (seed 0) =====
2026-08-29 01:56:44 | Epoch   1/100 | Train Loss 104.0650 | Val Loss 88.4652 MAE 0.7028 R2 0.1263
2026-08-29 01:56:44 |   Val R2 improved to 0.1263, model saved
2026-08-29 01:56:45 | Epoch   2/100 | Train Loss 82.3063 | Val Loss 74.6227 MAE 0.5606 R2 0.5347
2026-08-29 01:56:45 |   Val R2 improved to 0.5347, model saved
2026-08-29 01:56:45 | Epoch   3/100 | Train Loss 75.2315 | Val Loss 70.7594 MAE 0.5081 R2 0.6347
2026-08-29 01:56:45 |   Val R2 improved to 0.6347, model saved
2026-08-29 01:56:45 | Epoch   4/100 | Train Loss 72.2967 | Val Loss 68.5092 MAE 0.4930 R2 0.6472
2026-08-29 01:56:45 |   Val R2 improved to 0.6472, model saved
2026-08-29 01:56:45 | Epoch   5/100 | Train Loss 70.3233 | Val Loss 66.9176 MAE 0.4679 R2 0.6906
2026-08-29 01:56:45 |   Val R2 improved to 0.6906, model saved
2026-08-29 01:56:45 | Epoch   6/100 | Train Loss 68.6537 | Val Loss 65.4634 MAE 0.4598 R2 0.6974
2026-08-29 01:56:45 |   Val R2 improved to 0.6974, model saved
2026-08-29 01:56:45 | Epoch   7/100 | Train Loss 67.3898 | Val Loss 64.4122 MAE 0.4466 R2 0.7097
2026-08-29 01:56:45 |   Val R2 improved to 0.7097, model saved
2026-08-29 01:56:45 | Epoch   8/100 | Train Loss 66.4119 | Val Loss 63.5290 MAE 0.4461 R2 0.7160
2026-08-29 01:56:45 |   Val R2 improved to 0.7160, model saved
2026-08-29 01:56:45 | Epoch   9/100 | Train Loss 65.7963 | Val Loss 62.7482 MAE 0.4309 R2 0.7247
2026-08-29 01:56:45 |   Val R2 improved to 0.7247, model saved
